일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2017년 07월 02일 09시,0,20.6,127.1,1002,18,65,150,약,소형,북서,45,0
2017년 07월 02일 09시,24,26.4,124.1,996,20,72,180,약,소형,북북서,30,140
2017년 07월 02일 09시,48,32.3,127.6,998,19,68,170,약,소형,북북동,31,230
2017년 07월 02일 09시,72,36.4,138.5,1002,-1,-4,0,-,-,동북동,46,0
2017년 07월 02일 15시,0,21.9,125.8,1002,18,65,160,약,소형,북서,33,0
2017년 07월 02일 15시,12,25.1,124.2,996,20,72,170,약,소형,북북서,33,60
2017년 07월 02일 15시,24,28.8,124,996,20,72,170,약,소형,북,34,140
2017년 07월 02일 15시,36,31.9,126.2,998,19,68,140,약,소형,북동,34,185
2017년 07월 02일 15시,48,34.1,130.3,1000,18,65,100,약,소형,동북동,38,230
2017년 07월 02일 15시,60,35.5,135.3,1002,-1,-4,0,-,-,동북동,40,0
2017년 07월 02일 21시,0,23.6,124.5,1000,18,65,160,약,소형,북서,39,0
2017년 07월 02일 21시,12,26.6,123.9,996,20,72,170,약,소형,북북서,28,60
2017년 07월 02일 21시,24,30.4,125.3,996,20,72,170,약,소형,북북동,37,140
2017년 07월 02일 21시,36,33.2,128.6,998,19,68,140,약,소형,북동,37,185
2017년 07월 02일 21시,48,35,134.2,1002,18,65,100,약,소형,동북동,46,230
2017년 07월 02일 21시,60,36.3,140.5,0,-1,-4,0,-,-,동북동,49,0
2017년 07월 03일 03시,0,24.8,124,994,21,76,170,약,소형,북북서,24,0
2017년 07월 03일 03시,12,28.1,124.3,992,23,83,180,약,소형,북,31,60
2017년 07월 03일 03시,24,31.8,126.5,992,23,83,180,약,소형,북북동,37,140
2017년 07월 03일 03시,36,34.3,131.8,998,19,68,150,약,소형,동북동,47,185
2017년 07월 03일 03시,48,35.4,138.1,1004,-1,-4,0,-,-,동,49,0
2017년 07월 03일 09시,0,26.1,124,992,23,83,170,약,소형,북,24,0
2017년 07월 03일 09시,12,29.7,125.3,990,24,86,180,약,소형,북북동,34,60
2017년 07월 03일 09시,24,32.9,129.1,990,24,86,180,약,소형,북동,42,140
2017년 07월 03일 09시,36,34.6,134.8,998,19,68,130,약,소형,동북동,47,185
2017년 07월 03일 09시,48,35.8,141.2,1002,-1,-4,0,-,-,동,50,0
2017년 07월 03일 15시,0,27.8,124.8,985,27,97,170,중,소형,북북동,34,0
2017년 07월 03일 15시,12,31.3,126.6,985,27,97,180,중,소형,북북동,37,60
2017년 07월 03일 15시,24,34.3,132.3,994,21,76,150,약,소형,동북동,52,140
2017년 07월 03일 15시,36,35.7,139.5,998,-1,-4,0,-,-,동북동,56,0
2017년 07월 03일 21시,0,29.5,126.1,985,27,97,170,중,소형,북동,38,0
2017년 07월 03일 21시,12,32.8,129.6,990,24,86,160,약,소형,북동,41,80
2017년 07월 03일 21시,24,35,135.3,994,21,76,110,약,소형,동북동,49,140
2017년 07월 03일 21시,36,35.8,142.3,998,-1,-4,0,-,-,동,53,0
2017년 07월 04일 03시,0,31.4,127.8,985,27,97,170,중,소형,북동,44,0
2017년 07월 04일 03시,12,34,132.9,992,23,83,120,약,소형,동북동,46,60
2017년 07월 04일 03시,24,35.6,141.4,996,-1,-4,0,-,-,동,67,0
2017년 07월 04일 09시,0,32.8,130.3,990,24,86,70,약,소형,동북동,47,0
2017년 07월 04일 09시,12,34.5,137.6,994,21,76,70,약,소형,동북동,58,60
2017년 07월 04일 09시,24,35.9,145.5,998,-1,-4,0,-,-,동,61,0
2017년 07월 04일 15시,0,33.5,134.4,994,21,76,70,약,소형,동,65,0
2017년 07월 04일 15시,12,35.4,141.4,998,-1,-4,0,-,-,동북동,57,0
2017년 07월 04일 21시,0,34.4,138.3,996,20,72,70,약,소형,동북동,62,0
2017년 07월 04일 21시,12,36.6,146.8,1000,-1,-4,0,-,-,동북동,68,0
2017년 07월 05일 03시,0,35.8,142.4,998,-1,-4,0,-,-,동북동,67,0
