일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2015년 07월 04일 03시,0,9,170.6,1000,18,65,180,약,소형,서남서,18,0
2015년 07월 04일 03시,24,10.8,167.4,996,20,72,200,약,소형,서북서,17,140
2015년 07월 04일 03시,48,12.2,162.9,990,24,86,230,약,소형,서북서,22,230
2015년 07월 04일 03시,72,14.2,158.3,985,27,97,250,중,소형,서북서,23,320
2015년 07월 04일 03시,96,16.8,153.7,975,32,115,270,중,소형,서북서,24,460
2015년 07월 04일 03시,120,19.6,148.9,965,37,133,300,강,중형,서북서,25,550
2015년 07월 04일 09시,0,10.2,170,1000,18,65,180,약,소형,북북서,25,0
2015년 07월 04일 09시,24,11.5,167.1,995,21,76,200,약,소형,서북서,14,140
2015년 07월 04일 09시,48,12.8,162.5,990,24,86,230,약,소형,서북서,22,230
2015년 07월 04일 09시,72,14.4,156.2,985,27,97,250,중,소형,서북서,29,320
2015년 07월 04일 09시,96,16.7,151.6,975,32,115,280,중,소형,서북서,23,460
2015년 07월 04일 09시,120,18.8,147.4,965,37,133,310,강,중형,서북서,21,550
2015년 07월 04일 15시,0,10.9,168.9,996,20,72,240,약,소형,서북서,24,0
2015년 07월 04일 15시,24,11.1,164.2,990,24,86,270,약,소형,서,25,140
2015년 07월 04일 15시,48,12.7,158.9,985,27,97,290,중,소형,서북서,25,230
2015년 07월 04일 15시,72,14.4,154.9,975,32,115,300,중,중형,서북서,20,320
2015년 07월 04일 15시,96,16.4,151.3,970,35,126,310,강,중형,서북서,19,460
2015년 07월 04일 15시,120,19.1,146.6,965,37,133,320,강,중형,서북서,24,550
2015년 07월 04일 21시,0,11.1,167.2,994,21,76,250,약,소형,서,31,0
2015년 07월 04일 21시,24,11.6,162.6,990,24,86,270,약,소형,서,23,140
2015년 07월 04일 21시,48,13.3,157.5,980,29,104,290,중,소형,서북서,25,230
2015년 07월 04일 21시,72,15.5,152.1,970,35,126,300,강,중형,서북서,26,320
2015년 07월 04일 21시,96,17.5,147.9,960,39,140,310,강,중형,서북서,20,460
2015년 07월 04일 21시,120,21,143.7,950,43,155,340,강,중형,서북서,22,550
2015년 07월 05일 03시,0,11.6,165.9,990,24,86,260,약,소형,서북서,25,0
2015년 07월 05일 03시,24,12.5,160.5,985,27,97,280,중,소형,서,25,140
2015년 07월 05일 03시,48,14,156,975,32,115,300,중,중형,서북서,22,230
2015년 07월 05일 03시,72,16.1,152,965,37,133,320,강,중형,서북서,20,320
2015년 07월 05일 03시,96,18.8,148,955,40,144,330,강,중형,서북서,22,460
2015년 07월 05일 03시,120,22.1,143.9,945,45,162,350,매우강,중형,북서,23,550
2015년 07월 05일 09시,0,11.5,164.8,990,24,86,260,약,소형,서,20,0
2015년 07월 05일 09시,24,12.4,160.2,985,27,97,280,중,소형,서,21,140
2015년 07월 05일 09시,48,14,155.7,975,32,115,290,중,소형,서북서,21,230
2015년 07월 05일 09시,72,16.1,151.8,965,37,133,300,강,중형,서북서,20,320
2015년 07월 05일 09시,96,18.7,147.8,955,40,144,320,강,중형,서북서,22,460
2015년 07월 05일 09시,120,21.6,143.5,945,45,162,330,매우강,중형,북서,23,550
2015년 07월 05일 15시,0,11.2,164,990,24,86,280,약,소형,서남서,16,0
2015년 07월 05일 15시,24,12.3,159.2,980,29,104,300,중,중형,서북서,22,140
2015년 07월 05일 15시,48,13.9,155.2,970,35,126,350,강,중형,서북서,19,230
2015년 07월 05일 15시,72,16.5,151.4,955,40,144,370,강,중형,북서,21,320
2015년 07월 05일 15시,96,19.1,147.4,940,47,169,400,매우강,중형,서북서,21,460
2015년 07월 05일 15시,120,21.9,143.5,940,47,169,400,매우강,중형,북서,21,550
2015년 07월 05일 21시,0,11.2,162,990,24,86,250,약,소형,서,36,0
2015년 07월 05일 21시,24,12.6,157.8,980,29,104,280,중,소형,서북서,20,140
2015년 07월 05일 21시,48,14.7,153.7,970,35,126,320,강,중형,서북서,21,230
2015년 07월 05일 21시,72,17,150.2,955,40,144,350,강,중형,서북서,19,320
2015년 07월 05일 21시,96,19.4,145.9,940,47,169,370,매우강,중형,서북서,22,460
2015년 07월 05일 21시,120,21.9,142.3,940,47,169,370,매우강,중형,북서,19,550
2015년 07월 06일 03시,0,11.3,161.4,985,27,97,250,중,소형,서,11,0
2015년 07월 06일 03시,24,13,156.8,975,32,115,280,중,소형,서북서,22,140
2015년 07월 06일 03시,48,15.1,152.8,965,37,133,320,강,중형,서북서,20,230
2015년 07월 06일 03시,72,17.3,149.2,955,40,144,350,강,중형,서북서,19,320
2015년 07월 06일 03시,96,19.9,144.7,945,45,162,380,매우강,중형,서북서,23,460
2015년 07월 06일 03시,120,21.6,141,940,47,169,400,매우강,중형,서북서,18,550
2015년 07월 06일 09시,0,11.7,159.9,980,29,104,280,중,소형,서북서,28,0
2015년 07월 06일 09시,24,13.3,155.5,965,37,133,300,강,중형,서북서,21,140
2015년 07월 06일 09시,48,15.9,151.6,955,40,144,330,강,중형,서북서,21,230
2015년 07월 06일 09시,72,18.2,147.2,945,45,162,360,매우강,중형,서북서,22,320
2015년 07월 06일 09시,96,20.5,143.5,940,47,169,390,매우강,중형,서북서,19,460
2015년 07월 06일 09시,120,23.1,140.6,935,49,176,410,매우강,중형,북서,17,550
2015년 07월 06일 15시,0,11.8,158.9,975,32,115,290,중,소형,서,18,0
2015년 07월 06일 15시,24,13.4,154,960,39,140,310,강,중형,서북서,22,140
2015년 07월 06일 15시,48,15.7,150.3,950,43,155,340,강,중형,서북서,20,230
2015년 07월 06일 15시,72,18.3,146.5,940,47,169,370,매우강,중형,북서,21,320
