일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2017년 07월 21일 09시,0,27.6,158.1,1006,18,65,150,약,소형,서,17,0
2017년 07월 21일 09시,24,28.8,155.2,998,19,68,160,약,소형,서북서,12,140
2017년 07월 21일 09시,48,29.6,152.5,992,23,83,180,약,소형,서북서,12,230
2017년 07월 21일 09시,72,28.6,152.7,985,27,97,200,중,소형,남,5,320
2017년 07월 21일 09시,96,27.7,154.3,980,29,104,230,중,소형,동남동,8,460
2017년 07월 21일 09시,120,27.3,156.5,975,32,115,270,중,소형,동,9,550
2017년 07월 21일 15시,0,28,157.2,1004,18,65,180,약,소형,서북서,17,0
2017년 07월 21일 15시,24,29.1,154.2,996,20,72,200,약,소형,서북서,14,140
2017년 07월 21일 15시,48,29.3,152.4,985,27,97,230,중,소형,서,7,230
2017년 07월 21일 15시,72,28.5,153,980,29,104,270,중,소형,남동,5,320
2017년 07월 21일 15시,96,27.8,155,975,32,115,300,중,중형,동남동,9,460
2017년 07월 21일 15시,120,27.7,157,975,32,115,300,중,중형,동,8,550
2017년 07월 21일 21시,0,28.1,156,1004,18,65,180,약,소형,서,20,0
2017년 07월 21일 21시,24,28.9,153.8,992,23,83,220,약,소형,서북서,10,140
2017년 07월 21일 21시,48,28.9,152.6,985,27,97,250,중,소형,서,5,230
2017년 07월 21일 21시,72,28.2,153.4,980,29,104,280,중,소형,남동,5,320
2017년 07월 21일 21시,96,27.7,155.2,975,32,115,300,중,중형,동남동,8,460
2017년 07월 21일 21시,120,27.5,156.6,975,32,115,300,중,중형,동,6,550
2017년 07월 22일 03시,0,28.4,154.8,1004,18,65,280,약,소형,서북서,20,0
2017년 07월 22일 03시,24,29,153.4,992,23,83,300,약,중형,서북서,7,140
2017년 07월 22일 03시,48,28.6,152.7,985,27,97,320,중,중형,서남서,3,230
2017년 07월 22일 03시,72,27.9,153.7,980,29,104,350,중,중형,남동,5,320
2017년 07월 22일 03시,96,27.5,155.7,975,32,115,350,중,중형,동남동,8,460
2017년 07월 22일 03시,120,29.3,155.4,975,32,115,350,중,중형,북,8,550
2017년 07월 22일 09시,0,28.5,154.3,1004,18,65,280,약,소형,서북서,8,0
2017년 07월 22일 09시,24,28.8,152.5,992,23,83,300,약,중형,서,7,140
2017년 07월 22일 09시,48,28,152.8,985,27,97,320,중,중형,남남동,4,230
2017년 07월 22일 09시,72,27.7,154.6,980,29,104,350,중,중형,동,7,320
2017년 07월 22일 09시,96,28.6,155.6,975,32,115,350,중,중형,북동,6,460
2017년 07월 22일 09시,120,30.7,155,975,32,115,350,중,중형,북북서,10,550
2017년 07월 22일 15시,0,28.4,153.8,1002,18,65,280,약,소형,서남서,8,0
2017년 07월 22일 15시,24,28.6,152.4,990,24,86,300,약,중형,서,6,140
2017년 07월 22일 15시,48,27.4,153.8,980,29,104,330,중,중형,남동,8,230
2017년 07월 22일 15시,72,27.6,156.2,970,35,126,350,강,중형,동,10,320
2017년 07월 22일 15시,96,29.6,156.7,960,39,140,380,강,중형,북북동,10,460
2017년 07월 22일 15시,120,31.4,154.8,960,39,140,380,강,중형,북서,11,550
2017년 07월 22일 21시,0,28.6,153.3,1000,18,65,280,약,소형,서북서,9,0
2017년 07월 22일 21시,24,28.3,152.5,985,27,97,320,중,중형,서남서,3,140
2017년 07월 22일 21시,48,27.3,154.2,975,32,115,350,중,중형,동남동,8,230
2017년 07월 22일 21시,72,27.8,156.5,960,39,140,380,강,중형,동북동,10,320
2017년 07월 22일 21시,96,30.2,156.3,960,39,140,380,강,중형,북,11,460
2017년 07월 22일 21시,120,31.1,152.8,965,37,133,380,강,중형,서북서,15,550
2017년 07월 23일 03시,0,28.6,152.2,994,21,76,300,약,중형,서,18,0
2017년 07월 23일 03시,24,27.5,153.2,980,29,104,330,중,중형,남동,7,140
2017년 07월 23일 03시,48,27.2,155,970,35,126,350,강,중형,동,7,230
2017년 07월 23일 03시,72,28.6,156.6,960,39,140,350,강,중형,북동,10,320
2017년 07월 23일 03시,96,30.7,155.3,960,39,140,370,강,중형,북북서,11,460
2017년 07월 23일 03시,120,31.2,152.3,965,37,133,370,강,중형,서,12,550
2017년 07월 23일 09시,0,28.1,151.8,990,24,86,300,약,중형,남서,11,0
2017년 07월 23일 09시,24,27.3,153.5,975,32,115,330,중,중형,동남동,8,140
2017년 07월 23일 09시,48,27,156.1,965,37,133,350,강,중형,동,11,230
2017년 07월 23일 09시,72,29.4,156.4,955,40,144,380,강,중형,북,8,320
2017년 07월 23일 09시,96,30.5,152.7,960,39,140,370,강,중형,서북서,15,460
2017년 07월 23일 09시,120,30.3,149,965,37,133,370,강,중형,서,15,550
2017년 07월 23일 15시,0,28.1,151.2,985,27,97,320,중,중형,서,10,0
