일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 07월 16일 15시,0,17,125.3,996,18,65,200,-,소형,서,23,null
2019년 07월 16일 15시,12,17.5,123.9,994,19,68,220,-,소형,서북서,13,48
2019년 07월 16일 15시,24,18.9,122.8,992,20,72,230,-,소형,북서,16,110
2019년 07월 16일 15시,36,20.2,122.1,990,22,79,250,-,소형,북북서,13,140
2019년 07월 16일 15시,48,21.9,121.3,990,22,79,250,-,소형,북북서,17,170
2019년 07월 16일 15시,72,25.6,120.8,994,19,68,200,-,소형,북,17,260
2019년 07월 16일 15시,96,29,120.8,996,18,65,130,-,소형,북,16,370
2019년 07월 16일 15시,120,33.5,121.2,998,18,65,130,-,소형,북,21,480
2019년 07월 16일 21시,0,17.5,124,996,18,65,200,-,소형,서북서,25,null
2019년 07월 16일 21시,12,18.3,123.2,992,19,68,220,-,소형,북서,10,48
2019년 07월 16일 21시,24,19.7,122.3,990,20,72,230,-,소형,북북서,15,110
2019년 07월 16일 21시,36,21.4,121.5,990,22,79,250,-,소형,북북서,17,140
2019년 07월 16일 21시,48,23.1,121.1,990,22,79,240,-,소형,북,17,170
2019년 07월 16일 21시,72,27.1,120.8,994,19,68,190,-,소형,북,19,260
2019년 07월 16일 21시,96,30.6,120.9,998,19,68,130,-,소형,북,16,370
2019년 07월 16일 21시,120,35,121.3,1002,18,65,130,-,소형,북북동,16,480
2019년 07월 17일 03시,0,17.4,123.3,996,18,65,200,-,소형,서,13,null
2019년 07월 17일 03시,12,18.9,122.4,992,23,83,220,-,소형,북북서,16,48
2019년 07월 17일 03시,24,21,121.7,990,24,86,230,-,소형,북북서,21,110
2019년 07월 17일 03시,36,23.1,121.1,990,24,86,250,-,소형,북북서,20,140
2019년 07월 17일 03시,48,25,121,990,24,86,240,-,소형,북,18,170
2019년 07월 17일 03시,72,27.9,120.8,994,21,76,190,-,소형,북,13,260
2019년 07월 17일 03시,96,32.1,121.1,998,19,68,130,-,소형,북,19,370
2019년 07월 17일 03시,120,36.3,122.4,1002,17,61,120,-,소형,북북동,20,480
2019년 07월 17일 09시,0,18.2,123.5,996,18,65,200,-,소형,북북동,15,null
2019년 07월 17일 09시,12,19.9,122,990,24,86,230,-,소형,북서,20,50
2019년 07월 17일 09시,24,22.1,121.5,990,24,86,240,-,소형,북북서,21,110
2019년 07월 17일 09시,36,24.1,121.2,990,24,86,250,-,소형,북,18,140
2019년 07월 17일 09시,48,25.7,121.3,990,24,86,230,-,소형,북,15,170
2019년 07월 17일 09시,72,29.9,122,994,21,76,180,-,소형,북,20,260
2019년 07월 17일 09시,96,34.1,122.8,998,19,68,130,-,소형,북,19,370
2019년 07월 17일 09시,120,36.9,124.7,1002,17,61,120,-,소형,북동,15,480
2019년 07월 17일 15시,0,19,123.7,996,18,65,200,-,소형,북북동,15,null
2019년 07월 17일 15시,12,21.2,122.4,990,24,86,240,-,소형,북북서,23,50
2019년 07월 17일 15시,24,24.6,122.6,990,24,86,250,-,소형,북,32,110
2019년 07월 17일 15시,36,28,123,990,24,86,240,-,소형,북,31,140
2019년 07월 17일 15시,48,32,124,990,24,86,220,-,소형,북북동,38,170
2019년 07월 17일 15시,72,35.8,130.4,994,21,76,170,-,소형,동북동,30,260
2019년 07월 17일 15시,96,39.1,138.1,998,19,68,0,-,-,동북동,32,0
2019년 07월 17일 21시,0,20.5,124.1,996,20,72,220,-,소형,북북동,29,null
2019년 07월 17일 21시,12,23.8,124,990,24,86,240,-,소형,북,30,48
2019년 07월 17일 21시,24,26.9,123.4,990,24,86,250,-,소형,북,29,110
2019년 07월 17일 21시,36,30.1,123.4,990,24,86,240,-,소형,북,30,140
2019년 07월 17일 21시,48,33,125.2,990,24,86,220,-,소형,북북동,30,170
2019년 07월 17일 21시,72,36.8,132.5,994,21,76,170,-,소형,동북동,33,260
2019년 07월 17일 21시,96,39.5,139.1,998,15,54,0,-,-,동북동,32,0
2019년 07월 18일 03시,0,21.5,124.1,992,23,83,230,-,소형,북,18,null
2019년 07월 18일 03시,12,24.7,123.7,990,24,86,250,-,소형,북,30,48
2019년 07월 18일 03시,24,28,123.3,990,24,86,250,-,소형,북,31,110
2019년 07월 18일 03시,36,31.2,123.8,990,24,86,250,-,소형,북,30,140
2019년 07월 18일 03시,48,33.7,126.1,992,23,83,230,-,소형,북동,30,170
2019년 07월 18일 03시,72,37.6,134.3,994,21,76,180,-,소형,동북동,36,260
2019년 07월 18일 03시,96,39.8,140.6,998,15,54,0,-,-,동북동,25,0
2019년 07월 18일 09시,0,23.6,124.2,990,24,86,230,-,소형,북,39,null
2019년 07월 18일 09시,12,26.4,123.5,985,27,97,250,중,소형,북북서,26,50
2019년 07월 18일 09시,24,29.6,123.3,985,27,97,250,중,소형,북,30,110
2019년 07월 18일 09시,36,32.6,124.6,990,24,86,240,-,소형,북북동,29,140
2019년 07월 18일 09시,48,35,127.3,992,23,83,220,-,소형,북동,31,170
2019년 07월 18일 09시,72,39.2,135.3,994,21,76,0,-,-,동북동,35,0
2019년 07월 18일 15시,0,25.6,124.2,990,24,86,230,-,소형,북,37,null
2019년 07월 18일 15시,12,28,123.7,985,27,97,250,중,소형,북북서,23,50
2019년 07월 18일 15시,24,30.7,123.8,985,27,97,250,중,소형,북,25,110
2019년 07월 18일 15시,36,33,125,990,24,86,230,-,소형,북북동,23,140
2019년 07월 18일 15시,48,35.2,127.7,994,21,76,200,-,소형,북동,28,170
2019년 07월 18일 15시,72,39.3,135.4,998,16,58,0,-,-,동북동,35,0
2019년 07월 18일 21시,0,26.3,123.9,990,24,86,240,-,소형,북북서,14,null
2019년 07월 18일 21시,12,29,123.6,985,27,97,250,중,소형,북,25,50
2019년 07월 18일 21시,24,31.7,124.2,985,27,97,250,중,소형,북북동,25,110
2019년 07월 18일 21시,36,34,125.9,992,23,83,230,-,소형,북동,25,140
2019년 07월 18일 21시,48,36.2,129.4,994,21,76,200,-,소형,동북동,33,170
2019년 07월 18일 21시,60,38.5,133.9,996,15,54,0,-,-,동북동,37,0
2019년 07월 19일 03시,0,27.5,123.9,990,24,86,240,-,소형,북,22,null
2019년 07월 19일 03시,6,28.8,123.8,985,27,97,250,중,소형,북,24,25
2019년 07월 19일 03시,12,30.4,123.9,985,27,97,250,중,소형,북,27,50
2019년 07월 19일 03시,18,31.8,124.3,990,24,86,245,-,소형,북,26,80
2019년 07월 19일 03시,24,33.1,125.1,990,24,86,240,-,소형,북북동,26,110
2019년 07월 19일 03시,30,34.1,126.1,992,23,83,220,-,소형,북북동,26,125
2019년 07월 19일 03시,36,35.1,127.5,994,21,76,200,-,소형,북동,26,140
2019년 07월 19일 03시,42,36.4,129.9,996,20,72,150,-,소형,북동,33,155
2019년 07월 19일 03시,48,37.5,131.9,998,15,54,0,-,-,동북동,40,0
2019년 07월 19일 09시,0,29,124,990,24,86,250,-,소형,북,28,null
2019년 07월 19일 09시,6,30.5,123.9,990,24,86,250,-,소형,북,28,25
2019년 07월 19일 09시,12,31.9,124.4,992,23,83,240,-,소형,북북동,27,50
2019년 07월 19일 09시,18,33.1,125.2,992,23,83,240,-,소형,북북동,25,75
2019년 07월 19일 09시,24,34.3,126.1,994,21,76,220,-,소형,북동,26,110
2019년 07월 19일 09시,30,35.2,127.6,996,18,65,200,-,소형,동북동,28,125
2019년 07월 19일 09시,36,36.4,129.9,998,15,54,0,-,-,동북동,41,0
2019년 07월 19일 12시,0,29.6,124,990,24,86,250,-,소형,북,22,null
2019년 07월 19일 12시,6,31.1,124.1,990,24,86,250,-,소형,북,27,24
2019년 07월 19일 12시,12,32.6,124.7,992,23,83,240,-,소형,북북동,30,48
2019년 07월 19일 12시,18,33.8,125.6,992,23,83,240,-,소형,북동,26,72
2019년 07월 19일 12시,24,34.9,127,994,21,76,220,-,소형,북동,30,110
2019년 07월 19일 12시,30,35.8,128.7,996,20,72,200,-,소형,동북동,30,125
2019년 07월 19일 12시,36,36.9,131,1002,14,50,0,-,-,동북동,40,0
2019년 07월 19일 15시,0,30,124.2,990,24,86,250,-,소형,북북동,16,null
2019년 07월 19일 15시,6,31.5,124.4,990,24,86,250,-,소형,북,25,24
2019년 07월 19일 15시,12,32.9,124.9,992,23,83,240,-,소형,북북동,27,48
2019년 07월 19일 15시,18,34.1,125.9,994,21,76,230,-,소형,북동,27,72
2019년 07월 19일 15시,24,35.1,127.3,996,20,72,220,-,소형,북동,28,110
2019년 07월 19일 15시,30,36.1,129.3,998,18,65,200,-,소형,동북동,35,125
2019년 07월 19일 15시,36,37,131.6,1000,15,54,0,-,-,동북동,38,0
2019년 07월 19일 18시,0,30.8,124.2,990,24,86,250,-,소형,북,30,null
2019년 07월 19일 18시,6,32.1,124.6,992,23,83,240,-,소형,북북동,23,24
2019년 07월 19일 18시,12,33.5,125.2,994,21,76,230,-,소형,북북동,27,48
2019년 07월 19일 18시,18,34.6,126.6,996,20,72,220,-,소형,북동,29,72
2019년 07월 19일 18시,24,35.6,128.3,998,19,68,200,-,소형,동북동,32,110
2019년 07월 19일 18시,30,36.5,130.4,998,18,65,180,-,소형,동북동,36,125
2019년 07월 19일 18시,36,37.4,132.7,1002,15,54,0,-,-,동북동,37,0
2019년 07월 19일 21시,0,31.5,124.7,990,24,86,230,-,소형,북동,30,null
2019년 07월 19일 21시,6,33,125.1,992,23,83,220,-,소형,북북동,28,24
2019년 07월 19일 21시,12,34.1,125.9,994,21,76,210,-,소형,북동,24,48
2019년 07월 19일 21시,18,35.1,127.4,996,20,72,200,-,소형,북동,29,72
2019년 07월 19일 21시,24,35.9,129.2,998,19,68,190,-,소형,동북동,31,110
2019년 07월 19일 21시,30,36.7,131.2,1000,15,54,0,-,-,동북동,33,0
2019년 07월 20일 00시,0,32.7,125.2,990,24,86,200,-,소형,북북동,47,null
2019년 07월 20일 00시,6,33.9,125.8,992,23,83,190,-,소형,북북동,25,24
2019년 07월 20일 00시,12,35,127.3,994,21,76,180,-,소형,북동,30,48
2019년 07월 20일 00시,18,35.8,128.9,996,20,72,170,-,소형,동북동,30,72
2019년 07월 20일 00시,24,36.6,130.9,1000,15,54,0,-,-,동북동,33,0
2019년 07월 20일 03시,0,33.2,125.3,990,20,72,180,-,소형,북북동,19,null
2019년 07월 20일 03시,6,34.1,125.8,994,18,65,170,-,소형,북북동,18,24
