일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2013년 10월 04일 15시,0,16.3,146.3,1000,18,65,200,약,소형,서북서,20,0
2013년 10월 04일 15시,24,17.9,141.2,992,22,79,220,약,소형,서북서,24,140
2013년 10월 04일 15시,48,20,135.9,985,27,97,250,중,소형,서북서,25,230
2013년 10월 04일 15시,72,23,130.5,975,34,122,300,강,중형,서북서,27,320
2013년 10월 04일 15시,96,27,126.7,980,31,112,280,중,소형,북서,24,460
2013년 10월 04일 15시,120,33.1,128.2,990,24,86,250,약,소형,북북동,29,550
2013년 10월 04일 21시,0,17.3,145.1,998,18,65,200,약,소형,북서,28,0
2013년 10월 04일 21시,24,19.3,138.9,990,24,86,220,약,소형,서북서,28,140
2013년 10월 04일 21시,48,22.1,133.3,985,27,97,250,중,소형,서북서,28,230
2013년 10월 04일 21시,72,25.7,128.1,975,34,122,300,강,중형,북서,27,320
2013년 10월 04일 21시,96,31.6,127.6,985,27,97,250,중,소형,북,27,460
2013년 10월 04일 21시,120,38.6,132.5,992,22,79,220,약,소형,북동,37,550
2013년 10월 05일 03시,0,17.9,143.9,994,21,76,200,약,소형,서북서,24,0
2013년 10월 05일 03시,24,19.7,138.2,990,24,86,220,약,소형,서북서,26,140
2013년 10월 05일 03시,48,22.9,132.3,980,31,112,270,중,소형,서북서,30,230
2013년 10월 05일 03시,72,28,127.8,975,34,122,300,강,중형,북서,30,320
2013년 10월 05일 03시,96,34.5,129.4,985,27,97,250,중,소형,북북동,31,460
2013년 10월 05일 03시,120,40.3,136.1,996,-1,-4,0,-,-,북동,36,0
2013년 10월 05일 09시,0,18.3,142.4,992,22,79,280,약,소형,서북서,27,0
2013년 10월 05일 09시,24,21.3,136.5,985,27,97,300,중,중형,서북서,29,140
2013년 10월 05일 09시,48,24.9,130.7,980,31,112,330,중,중형,서북서,30,230
2013년 10월 05일 09시,72,30.5,126.9,970,36,130,380,강,중형,북서,30,320
2013년 10월 05일 09시,96,36.4,131.8,990,24,86,300,약,중형,북동,33,460
2013년 10월 05일 09시,120,40.9,139.8,996,-1,-4,0,-,-,동북동,36,0
2013년 10월 05일 15시,0,18.9,141.2,990,24,86,280,약,소형,서북서,24,0
2013년 10월 05일 15시,24,21.5,135.2,985,27,97,300,중,중형,서북서,28,140
2013년 10월 05일 15시,48,25.3,129.3,975,34,122,350,강,중형,서북서,31,230
2013년 10월 05일 15시,72,32.3,127.5,985,27,97,300,중,중형,북북서,33,320
2013년 10월 05일 15시,96,37.6,134.5,992,22,79,260,약,소형,북동,36,460
2013년 10월 05일 15시,120,41.6,144.6,998,-1,-4,0,-,-,동북동,41,0
2013년 10월 05일 21시,0,19.3,139.6,985,27,97,300,중,중형,서북서,29,0
2013년 10월 05일 21시,24,22.7,133.1,980,31,112,330,중,중형,서북서,31,140
2013년 10월 05일 21시,48,27.4,128.2,970,36,130,380,강,중형,북서,30,230
2013년 10월 05일 21시,72,33.5,129,980,31,112,330,중,중형,북,28,320
2013년 10월 05일 21시,96,38.5,136.8,992,22,79,260,약,소형,동북동,37,460
2013년 10월 05일 21시,120,42.4,149.5,998,-1,-4,0,-,-,동북동,48,0
2013년 10월 06일 03시,0,20.4,138.1,975,34,122,300,강,중형,북서,33,0
2013년 10월 06일 03시,24,24.1,132,970,36,130,330,강,중형,서북서,31,140
2013년 10월 06일 03시,48,28.7,127.5,965,38,137,380,강,중형,북서,28,230
2013년 10월 06일 03시,60,31.7,127.4,975,34,122,330,강,중형,북,27,275
2013년 10월 06일 03시,72,34.7,130.6,985,27,97,300,중,중형,북동,37,320
2013년 10월 06일 03시,84,37.3,134.7,990,24,86,280,약,소형,동북동,39,390
2013년 10월 06일 03시,96,39.7,139.6,998,-1,-4,0,-,-,동북동,42,0
2013년 10월 06일 09시,0,21.2,136.4,970,36,130,330,강,중형,서북서,33,0
2013년 10월 06일 09시,24,24.6,130.3,965,38,137,380,강,중형,서북서,40,140
2013년 10월 06일 09시,48,30.6,127.6,975,34,122,330,강,중형,북북서,30,230
2013년 10월 06일 09시,60,33.8,129.7,980,31,112,300,중,중형,북북동,34,275
2013년 10월 06일 09시,72,37.2,133.5,990,24,86,280,약,소형,북동,43,320
2013년 10월 06일 09시,84,40,138.8,994,21,76,200,약,소형,동북동,46,390
2013년 10월 06일 09시,96,42.5,146,998,-1,-4,0,-,-,동북동,55,0
2013년 10월 06일 15시,0,21.9,135,965,38,137,350,강,중형,서북서,27,0
2013년 10월 06일 15시,24,25.9,129,960,40,144,380,강,중형,서북서,31,140
2013년 10월 06일 15시,36,28.8,127.4,965,38,137,350,강,중형,북북서,30,185
2013년 10월 06일 15시,48,32.2,128.2,975,34,122,300,강,중형,북북동,32,230
2013년 10월 06일 15시,60,35.8,131.7,990,24,86,200,약,소형,북동,43,275
2013년 10월 06일 15시,72,39.1,136.8,998,-1,-4,0,-,-,동북동,48,0
