일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 07월 28일 21시,0,25.7,147.4,1004,18,65,150,약,소형,서,5,0
2012년 07월 28일 21시,24,26.4,144.8,998,19,68,180,약,소형,서북서,11,150
2012년 07월 28일 21시,48,27.4,141.7,996,20,72,200,약,소형,서북서,14,250
2012년 07월 28일 21시,72,28.8,137.5,996,20,72,200,약,소형,서북서,18,400
2012년 07월 28일 21시,96,29.8,133.2,998,19,68,180,약,소형,서북서,18,550
2012년 07월 28일 21시,120,30.3,128.8,998,19,68,180,약,소형,서,18,700
2012년 07월 29일 03시,0,25.8,147.1,1000,18,65,150,약,소형,서북서,5,0
2012년 07월 29일 03시,24,26.6,144.5,996,19,68,180,약,소형,서북서,11,150
2012년 07월 29일 03시,48,27.8,140.7,994,21,76,200,약,소형,서북서,16,250
2012년 07월 29일 03시,72,29.1,135.9,992,22,79,200,약,소형,서북서,20,400
2012년 07월 29일 03시,96,30.2,130.7,994,21,76,180,약,소형,서북서,21,550
2012년 07월 29일 03시,120,31.1,125.4,994,21,76,180,약,소형,서,22,700
2012년 07월 29일 09시,0,25.8,146.5,996,19,68,180,약,소형,서,10,0
2012년 07월 29일 09시,24,26.7,143.6,992,22,79,200,약,소형,서북서,13,150
2012년 07월 29일 09시,48,28,139.3,990,24,86,220,약,소형,서북서,19,250
2012년 07월 29일 09시,72,29.1,134.1,985,27,97,250,중,소형,서북서,22,400
2012년 07월 29일 09시,96,30.9,128.8,990,24,86,220,약,소형,서북서,23,550
2012년 07월 29일 09시,120,31.9,122.6,996,19,68,180,약,소형,서,25,700
2012년 07월 29일 15시,0,26,145.6,996,19,68,200,약,소형,서북서,15,0
2012년 07월 29일 15시,24,27,141.5,990,24,86,220,약,소형,서북서,18,150
2012년 07월 29일 15시,48,28.4,137.1,985,27,97,250,중,소형,서북서,19,250
2012년 07월 29일 15시,72,30,132,980,31,112,300,중,중형,서북서,22,400
2012년 07월 29일 15시,96,31.9,125.6,985,27,97,250,중,소형,서북서,27,550
2012년 07월 29일 15시,120,33.9,118.4,996,19,68,200,약,소형,서북서,30,700
2012년 07월 29일 21시,0,25.9,145.8,996,19,68,200,약,소형,동남동,4,0
2012년 07월 29일 21시,24,26.9,141.6,990,24,86,220,약,소형,서북서,18,150
2012년 07월 29일 21시,48,28.5,136.7,985,27,97,250,중,소형,서북서,21,250
