일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 08월 19일 09시,0,17.6,124.8,1002,18,65,200,약,소형,남서,14,0
2012년 08월 19일 09시,24,18.3,124.8,996,19,68,230,약,소형,북,3,150
2012년 08월 19일 09시,48,20.1,124.7,990,24,86,250,약,소형,북,8,250
2012년 08월 19일 09시,72,22.6,123.8,980,31,112,300,중,중형,북북서,12,400
2012년 08월 19일 09시,96,24.6,121.7,980,31,112,300,중,중형,북서,13,600
2012년 08월 19일 09시,120,25.5,119.2,985,27,97,280,중,소형,서북서,11,800
2012년 08월 19일 15시,0,17.6,124.7,998,18,65,230,약,소형,서,2,0
2012년 08월 19일 15시,24,18.5,124.8,990,24,86,250,약,소형,북,4,150
2012년 08월 19일 15시,48,20.4,124.6,985,27,97,280,중,소형,북,9,250
2012년 08월 19일 15시,72,22.7,123.7,975,34,122,330,강,중형,북북서,11,400
2012년 08월 19일 15시,96,24.5,121.6,975,34,122,330,강,중형,북서,12,600
2012년 08월 19일 15시,120,25.3,119,985,27,97,280,중,소형,서북서,12,800
2012년 08월 19일 21시,0,17.5,124.8,996,19,68,230,약,소형,남동,3,0
2012년 08월 19일 21시,24,18.8,124.8,990,24,86,250,약,소형,북,6,150
2012년 08월 19일 21시,48,21,124.4,985,27,97,280,중,소형,북,10,250
2012년 08월 19일 21시,72,23.1,123.2,975,34,122,330,강,중형,북북서,11,400
2012년 08월 19일 21시,96,24.7,121,980,31,112,300,중,중형,북서,12,600
2012년 08월 19일 21시,120,25.5,118.3,985,27,97,280,중,소형,서북서,12,800
2012년 08월 20일 03시,0,17.6,124.7,992,22,79,230,약,소형,북서,3,0
2012년 08월 20일 03시,24,19.3,124.9,985,27,97,280,중,소형,북,8,150
2012년 08월 20일 03시,48,21.6,124.4,980,31,112,300,중,중형,북,11,250
2012년 08월 20일 03시,72,23.2,122.5,975,34,122,330,강,중형,북서,11,400
2012년 08월 20일 03시,96,24.4,120.1,980,31,112,300,중,중형,서북서,11,600
2012년 08월 20일 03시,120,25.3,117.4,985,27,97,280,중,소형,서북서,12,800
2012년 08월 20일 09시,0,18,124.8,980,31,112,280,중,소형,북북동,8,0
2012년 08월 20일 09시,24,20.1,125,975,34,122,300,강,중형,북,10,150
2012년 08월 20일 09시,48,22.2,124.1,965,38,137,330,강,중형,북북서,11,250
