일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2010년 08월 08일 21시,0,23.6,125.1,994,21,76,100,약,소형,북,19,0
2010년 08월 08일 21시,24,27.5,125.1,992,22,79,120,약,소형,북,19,150
2010년 08월 08일 21시,48,31.5,126.1,992,22,79,120,약,소형,북북동,19,250
2010년 08월 08일 21시,72,34.9,129,996,19,68,100,약,소형,북동,20,400
2010년 08월 08일 21시,96,39.9,136,998,18,65,80,약,소형,북동,35,550
2010년 08월 08일 21시,120,45.4,147.7,1000,-1,-4,0,-,-,동북동,48,0
2010년 08월 09일 03시,0,24.3,125.2,992,22,79,120,약,소형,북,16,0
2010년 08월 09일 03시,24,28.6,125,992,22,79,120,약,소형,북,20,150
2010년 08월 09일 03시,48,32.6,125.5,992,22,79,120,약,소형,북,19,250
2010년 08월 09일 03시,72,36.4,129.5,996,19,68,100,약,소형,북동,24,400
2010년 08월 09일 03시,96,41.1,137.9,998,18,65,80,약,소형,동북동,38,550
2010년 08월 09일 03시,120,46.4,149.3,1000,-1,-4,0,-,-,동북동,46,0
2010년 08월 09일 09시,0,25.7,125.6,990,24,86,200,약,소형,북북동,27,0
2010년 08월 09일 09시,24,30.3,125.6,985,27,97,230,중,소형,북,22,150
2010년 08월 09일 09시,48,33.8,126,990,24,86,200,약,소형,북,17,250
2010년 08월 09일 09시,72,37.4,130.4,995,20,72,150,약,소형,북동,24,400
2010년 08월 09일 09시,96,41.7,138,999,-1,-4,0,-,-,동북동,34,0
2010년 08월 09일 15시,0,27.1,125.6,985,27,97,250,중,소형,북,26,0
2010년 08월 09일 15시,24,31.4,125.2,985,27,97,250,중,소형,북,20,150
2010년 08월 09일 15시,48,34.4,126.5,990,24,86,200,약,소형,북북동,15,250
2010년 08월 09일 15시,72,38,131.5,995,20,72,150,약,소형,북동,26,400
2010년 08월 09일 15시,96,41.7,139.9,999,-1,-4,0,-,-,동북동,35,0
2010년 08월 09일 18시,0,28,125.6,985,27,97,250,중,소형,북,34,0
2010년 08월 09일 18시,24,32.4,125.3,985,27,97,250,중,소형,북,21,150
2010년 08월 09일 18시,48,34.7,127.1,995,20,72,200,약,소형,북동,13,250
2010년 08월 09일 18시,72,38.3,132.7,995,20,72,200,약,소형,동북동,27,400
2010년 08월 09일 18시,96,42.7,140.7,1000,-1,-4,0,-,-,동북동,35,0
2010년 08월 09일 22시,0,28.8,125.2,985,27,97,250,중,소형,북북서,25,0
2010년 08월 09일 22시,24,33.7,125.7,990,24,86,200,약,소형,북북동,22,150
2010년 08월 09일 22시,48,35.8,128.4,995,20,72,180,약,소형,동북동,13,250
2010년 08월 09일 22시,72,39.1,134.4,995,20,72,180,약,소형,동북동,27,400
2010년 08월 09일 22시,96,43.1,141.7,999,-1,-4,0,-,-,동북동,32,0
2010년 08월 10일 00시,0,29.2,125,985,27,97,250,중,소형,북북서,25,0
2010년 08월 10일 00시,24,34.1,126.1,990,24,86,200,약,소형,북북동,24,150
2010년 08월 10일 00시,48,36.5,129.2,995,20,72,180,약,소형,북동,17,250
2010년 08월 10일 00시,72,39.9,135.8,997,18,65,150,약,소형,동북동,36,400
2010년 08월 10일 00시,96,44.8,145.4,1000,-1,-4,0,-,-,동북동,40,0
2010년 08월 10일 03시,0,29.7,125.1,985,27,97,250,중,소형,북북동,19,0
2010년 08월 10일 03시,24,34.5,126.6,990,24,86,200,약,소형,북북동,25,150
2010년 08월 10일 03시,48,36.7,130.3,995,20,72,180,약,소형,동북동,19,250
2010년 08월 10일 03시,72,39.9,137.1,997,18,65,150,약,소형,동북동,36,400
2010년 08월 10일 03시,96,44.9,146.4,1000,-1,-4,0,-,-,동북동,40,0
2010년 08월 10일 06시,0,30.1,125.2,985,27,97,300,중,중형,북북동,16,0
2010년 08월 10일 06시,24,34.4,126.7,990,24,86,220,약,소형,북동,20,150
2010년 08월 10일 06시,48,37.6,132,995,20,72,180,약,소형,동북동,27,250
2010년 08월 10일 06시,72,40.9,139.8,997,18,65,150,약,소형,동북동,37,400
2010년 08월 10일 06시,96,47.4,151.8,1000,-1,-4,0,-,-,동북동,50,0
2010년 08월 10일 09시,0,31.1,125.1,980,31,112,300,중,중형,북,38,0
2010년 08월 10일 09시,24,34.7,126.8,985,27,97,250,중,소형,북동,18,150
2010년 08월 10일 09시,48,37.8,132.5,995,20,72,200,약,소형,동북동,29,250
2010년 08월 10일 09시,72,41.3,140.7,998,18,65,150,약,소형,동북동,38,400
2010년 08월 10일 09시,96,48.2,152.9,1000,-1,-4,0,-,-,동북동,52,0
2010년 08월 10일 12시,0,31.4,125.3,980,31,112,300,중,중형,북북동,13,0
2010년 08월 10일 12시,24,35,127.2,985,27,97,250,중,소형,북동,19,120
2010년 08월 10일 12시,48,38,133.7,995,20,72,200,약,소형,동북동,33,250
2010년 08월 10일 12시,72,40.9,148,998,-1,-4,0,-,-,동,60,0
2010년 08월 10일 15시,0,31.9,125.2,980,31,112,300,중,중형,북,19,0
2010년 08월 10일 15시,24,35.3,127.8,985,27,97,200,중,소형,북동,21,120
2010년 08월 10일 15시,48,38.3,134.8,995,20,72,120,약,소형,동북동,35,250
2010년 08월 10일 15시,72,41.2,150,998,-1,-4,0,-,-,동,61,0
2010년 08월 10일 18시,0,32.7,125.5,980,31,112,300,중,중형,북북동,32,0
2010년 08월 10일 18시,24,36,129,990,24,86,200,약,소형,동북동,23,120
2010년 08월 10일 18시,48,38.9,137.4,995,20,72,120,약,소형,동북동,38,250
2010년 08월 10일 18시,72,41.4,152.5,1000,-1,-4,0,-,-,동,63,0
2010년 08월 10일 21시,0,33.1,125.7,980,31,112,300,중,중형,북북동,17,0
2010년 08월 10일 21시,24,36.4,129.9,990,24,86,200,약,소형,동북동,26,120
2010년 08월 10일 21시,48,39.4,139.2,995,20,72,120,약,소형,동북동,40,250
2010년 08월 10일 21시,60,40.7,145.8,998,-1,-4,0,-,-,동,49,0
2010년 08월 11일 00시,0,33.7,126.3,985,27,97,250,중,소형,북동,29,0
2010년 08월 11일 00시,24,36.4,130.8,995,20,72,180,약,소형,동북동,26,120
2010년 08월 11일 00시,48,39.6,141.2,998,18,65,120,약,소형,동북동,45,250
2010년 08월 11일 00시,60,40.8,148.4,1000,-1,-4,0,-,-,동,52,0
2010년 08월 11일 03시,0,34.2,126.7,985,27,97,200,중,소형,북동,23,0
2010년 08월 11일 03시,24,36.5,132,995,20,72,150,약,소형,동북동,27,120
2010년 08월 11일 03시,48,39.6,143.5,1000,-1,-4,0,-,-,동북동,50,0
2010년 08월 11일 06시,0,34.6,127.4,990,24,86,180,약,소형,동북동,27,0
2010년 08월 11일 06시,24,36.9,133.3,995,20,72,150,약,소형,동북동,33,120
2010년 08월 11일 06시,48,39.8,145,1000,-1,-4,0,-,-,동북동,48,0
2010년 08월 11일 09시,0,34.9,128,990,24,86,150,약,소형,동북동,22,0
2010년 08월 11일 09시,12,36.3,132,995,20,72,130,약,소형,동북동,38,80
2010년 08월 11일 09시,24,38.8,139.9,998,17,61,130,약,소형,동북동,73,180
2010년 08월 11일 09시,48,47.6,158,1000,-1,-4,0,-,-,동북동,73.6,0
2010년 08월 11일 12시,0,35.3,128.8,990,24,86,120,약,소형,동북동,29,0
2010년 08월 11일 12시,12,36.6,133.4,995,20,72,150,약,소형,동북동,43,80
2010년 08월 11일 12시,18,38,137.2,995,20,72,150,약,소형,동북동,63,120
2010년 08월 11일 12시,24,39.7,141.7,1000,-1,-4,0,-,-,동북동,72,0
2010년 08월 11일 15시,0,35.6,129.8,990,24,86,120,약,소형,동북동,33,0
2010년 08월 11일 15시,12,37.3,135.3,995,20,72,150,약,소형,동북동,44,100
2010년 08월 11일 15시,24,40.6,144.3,998,-1,-4,0,-,-,동북동,72,0
