일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 08월 04일 15시,0,16.8,131.3,994,18,65,200,-,소형,북동,23,null
2019년 08월 04일 15시,12,17.8,131.2,992,23,83,230,-,소형,북,9,50
2019년 08월 04일 15시,24,18.5,131.2,990,24,86,250,-,소형,북,7,110
2019년 08월 04일 15시,36,18.9,131.1,990,24,86,250,-,소형,북북서,4,140
2019년 08월 04일 15시,48,19.4,130.7,985,27,97,280,중,소형,북서,5,170
2019년 08월 04일 15시,72,21.1,128.9,975,32,115,300,중,중형,북서,11,260
2019년 08월 04일 15시,96,23.3,126.4,965,37,133,350,강,중형,북서,15,370
2019년 08월 04일 15시,120,26.3,125,950,43,155,380,강,중형,북북서,15,480
2019년 08월 04일 21시,0,17.5,130.3,992,20,72,200,-,소형,서북서,15,null
2019년 08월 04일 21시,12,18.2,130.4,990,24,86,240,-,소형,북,7,50
2019년 08월 04일 21시,24,18.7,130.5,990,24,86,280,-,소형,북,5,110
2019년 08월 04일 21시,36,19.1,130.6,985,27,97,300,중,중형,북,4,140
2019년 08월 04일 21시,48,19.7,130.4,980,29,104,340,중,중형,북북서,6,170
2019년 08월 04일 21시,72,21.6,128.3,970,35,126,360,강,중형,북서,13,260
2019년 08월 04일 21시,96,23.8,125.9,960,39,140,400,강,중형,북서,14,370
2019년 08월 04일 21시,120,26.8,124.8,950,43,155,420,강,중형,북북서,15,480
2019년 08월 05일 03시,0,17.9,129.7,992,20,72,200,-,소형,서북서,18,null
2019년 08월 05일 03시,12,18.4,130,990,24,86,250,-,소형,북북동,6,50
2019년 08월 05일 03시,24,18.9,130.3,985,27,97,280,중,소형,북북동,4,110
2019년 08월 05일 03시,36,19.2,130.4,980,29,104,320,중,중형,북북동,4,140
2019년 08월 05일 03시,48,20.1,130,975,32,115,350,중,중형,북북서,9,170
2019년 08월 05일 03시,72,22.1,127.7,965,37,133,370,강,중형,북서,14,260
2019년 08월 05일 03시,96,24.4,125.5,955,40,144,400,강,중형,북서,14,370
2019년 08월 05일 03시,120,27,123.4,950,43,155,420,강,중형,북서,15,480
2019년 08월 05일 09시,0,18.8,130,990,24,86,220,-,소형,북북동,34,null
2019년 08월 05일 09시,12,19.5,130.2,985,27,97,250,중,소형,북북동,6,48
2019년 08월 05일 09시,24,20.1,129.3,980,29,104,300,중,중형,북서,10,110
2019년 08월 05일 09시,36,20.8,128.3,975,32,115,330,중,중형,북서,10,140
2019년 08월 05일 09시,48,21.8,127.2,970,35,126,370,강,중형,북서,13,170
2019년 08월 05일 09시,72,23.2,125.7,960,39,140,380,강,중형,북서,9,260
2019년 08월 05일 09시,96,24.9,124.1,955,40,144,400,강,중형,북서,10,370
2019년 08월 05일 09시,120,27.1,122.4,950,43,155,420,강,중형,북서,13,480
2019년 08월 05일 15시,0,18.8,129.6,990,24,86,230,-,소형,남서,18,null
2019년 08월 05일 15시,12,19.6,129.5,985,27,97,270,중,소형,북,7,48
2019년 08월 05일 15시,24,20.1,128.8,975,32,115,320,중,중형,서북서,8,110
2019년 08월 05일 15시,36,20.9,127.8,970,35,126,350,강,중형,북서,11,140
2019년 08월 05일 15시,48,21.6,126.8,965,37,133,370,강,중형,북서,11,170
2019년 08월 05일 15시,72,23.1,125.1,955,40,144,390,강,중형,북서,10,260
2019년 08월 05일 15시,96,24.9,122.9,950,43,155,420,강,중형,북서,12,370
2019년 08월 05일 15시,120,26.7,121.6,950,43,155,420,강,중형,북서,10,480
2019년 08월 05일 21시,0,18.6,129.3,990,24,86,240,-,소형,남서,10,null
2019년 08월 05일 21시,12,19.4,128.7,985,27,97,300,중,중형,북북서,9,48
2019년 08월 05일 21시,24,20.3,128.1,970,35,126,330,강,중형,북서,9,110
2019년 08월 05일 21시,36,21.1,127.3,965,37,133,350,강,중형,북서,11,140
2019년 08월 05일 21시,48,22,126.4,960,39,140,380,강,중형,북서,11,170
2019년 08월 05일 21시,72,23.6,124.5,950,43,155,420,강,중형,북서,11,260
2019년 08월 05일 21시,96,25.9,121.9,950,43,155,420,강,중형,북서,16,370
2019년 08월 05일 21시,120,27.8,121.2,955,40,144,410,강,중형,북북서,9,480
2019년 08월 06일 03시,0,18.5,129.1,990,24,86,300,-,중형,남서,5,null
2019년 08월 06일 03시,12,19.5,128.2,985,27,97,320,중,중형,북서,12,48
2019년 08월 06일 03시,24,20.3,127.2,975,32,115,350,중,중형,북서,11,110
2019년 08월 06일 03시,36,21.4,125.7,970,35,126,370,강,중형,북서,16,140
2019년 08월 06일 03시,48,22.5,124.3,960,39,140,400,강,중형,북서,15,170
2019년 08월 06일 03시,72,23.8,122.8,955,40,144,430,강,중형,북서,9,260
2019년 08월 06일 03시,96,26.6,120.1,970,35,126,380,강,중형,북서,17,370
