일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2021년 08월 04일 09시,0,21.2,115.4,994,18,65,150,-,소형,북동,10,null
2021년 08월 04일 09시,12,21.8,115.8,992,19,68,150,-,소형,북동,11,60
2021년 08월 04일 09시,24,22.8,116.6,990,19,68,160,-,소형,북동,11,110
2021년 08월 04일 09시,36,23.6,117.4,990,19,68,160,-,소형,북동,10,140
2021년 08월 04일 09시,48,24.4,118.1,990,18,65,170,-,소형,북동,10,170
2021년 08월 04일 09시,72,26,120.1,990,18,65,180,-,소형,북동,11,230
2021년 08월 04일 09시,96,27.7,123.2,990,19,68,180,-,소형,동북동,15,310
2021년 08월 04일 09시,120,29.9,126.6,990,20,72,200,-,소형,북동,25,430
2021년 08월 04일 15시,0,21.5,115.6,994,18,65,150,-,소형,북북동,7,null
2021년 08월 04일 15시,12,22.3,116.2,990,19,68,160,-,소형,북동,9,60
2021년 08월 04일 15시,24,23.2,116.9,990,19,68,160,-,소형,북동,10,110
2021년 08월 04일 15시,36,23.9,117.6,990,19,68,180,-,소형,북동,9,140
2021년 08월 04일 15시,48,24.8,118.5,990,19,68,190,-,소형,북동,11,170
2021년 08월 04일 15시,72,26.6,120.7,990,18,65,180,-,소형,북동,12,230
2021년 08월 04일 15시,96,28.3,123.9,990,19,68,190,-,소형,동북동,15,310
2021년 08월 04일 15시,120,30.2,127.1,990,20,72,200,-,소형,북동,16,430
2021년 08월 04일 21시,0,21.7,116.2,990,21,76,160,-,소형,동북동,20,null
2021년 08월 04일 21시,12,22.9,116.8,990,21,76,160,-,소형,북북동,12,60
2021년 08월 04일 21시,24,23.6,117.3,990,20,72,170,-,소형,북북동,8,110
2021년 08월 04일 21시,36,24.3,117.9,992,19,68,190,-,소형,북동,9,140
2021년 08월 04일 21시,48,25.2,118.9,992,19,68,190,-,소형,북동,11,170
2021년 08월 04일 21시,72,27,121.4,990,20,72,180,-,소형,동북동,15,230
2021년 08월 04일 21시,96,28.8,124.8,985,23,83,200,-,소형,동북동,18,310
2021년 08월 04일 21시,120,30.5,127.6,985,23,83,200,-,소형,북동,22,430
2021년 08월 05일 03시,0,22.4,116.9,990,21,76,160,-,소형,북북동,10,null
2021년 08월 05일 03시,12,23.3,117.2,990,21,76,170,-,소형,북북동,9,60
2021년 08월 05일 03시,24,24,117.5,992,19,68,180,-,소형,북북동,7,110
2021년 08월 05일 03시,36,24.6,118.1,992,19,68,190,-,소형,북동,7,140
2021년 08월 05일 03시,48,25.3,118.8,992,19,68,190,-,소형,북동,9,170
2021년 08월 05일 03시,72,26.4,120.4,990,21,76,190,-,소형,북동,9,230
2021년 08월 05일 03시,96,28,123.4,985,23,83,200,-,소형,동북동,14,310
2021년 08월 05일 03시,120,31.1,128.4,985,23,83,200,-,소형,북동,25,430
2021년 08월 05일 09시,0,22.9,116.9,985,21,76,160,-,소형,북,7,null
2021년 08월 05일 09시,12,23.8,117.2,990,19,68,180,-,소형,북북동,8,60
2021년 08월 05일 09시,24,24.4,117.6,992,18,65,190,-,소형,북북동,7,110
2021년 08월 05일 09시,36,25.1,118.3,992,18,65,190,-,소형,북동,9,140
2021년 08월 05일 09시,48,25.7,119,990,18,65,190,-,소형,북동,8,170
2021년 08월 05일 09시,72,26.8,121,990,19,68,190,-,소형,동북동,10,230
2021년 08월 05일 09시,96,28.3,123.9,990,19,68,190,-,소형,동북동,13,310
2021년 08월 05일 09시,120,32.8,128.5,990,20,72,190,-,소형,북동,28,430
2021년 08월 05일 15시,0,23.5,117,985,21,76,160,-,소형,북북동,12,null
2021년 08월 05일 15시,12,24.1,117.3,990,18,65,160,-,소형,북북동,6,60
2021년 08월 05일 15시,24,24.8,117.8,992,17,61,160,-,소형,북북동,8,110
2021년 08월 05일 15시,36,25.4,118.5,992,17,61,160,-,소형,북동,8,140
2021년 08월 05일 15시,48,25.9,119.4,992,17,61,160,-,소형,동북동,8,170
2021년 08월 05일 15시,72,27.1,121.7,990,18,65,170,-,소형,동북동,11,230
2021년 08월 05일 15시,96,29.3,125.2,990,19,68,180,-,소형,북동,18,310
2021년 08월 05일 15시,120,33.2,130,990,20,72,180,-,소형,북동,26,430
2021년 08월 05일 21시,0,24,117.2,990,18,65,160,-,소형,북북동,13,null
2021년 08월 05일 21시,12,24.3,117.4,990,18,65,160,-,소형,북북동,3,60
2021년 08월 05일 21시,24,24.8,117.7,992,17,61,160,-,소형,북북동,5,110
2021년 08월 05일 21시,36,25.1,118.2,992,17,61,160,-,소형,북동,5,140
2021년 08월 05일 21시,48,25.9,119.2,992,17,61,160,-,소형,북동,11,170
2021년 08월 05일 21시,72,27.3,122.3,990,18,65,170,-,소형,동북동,14,230
2021년 08월 05일 21시,96,30.3,126.7,990,19,68,180,-,소형,북동,23,310
2021년 08월 05일 21시,120,34.8,133,992,19,68,180,-,소형,북동,32,430
2021년 08월 06일 03시,0,24.1,117.2,992,18,65,160,-,소형,서,3,null
2021년 08월 06일 03시,12,24.6,117.5,992,17,61,160,-,소형,북북동,5,60
2021년 08월 06일 03시,24,24.9,118,992,17,61,160,-,소형,북동,5,110
2021년 08월 06일 03시,36,25.2,119,992,17,61,160,-,소형,동북동,9,140
2021년 08월 06일 03시,48,25.9,120.4,990,18,65,160,-,소형,동북동,13,170
2021년 08월 06일 03시,72,27.4,123.4,990,18,65,170,-,소형,동북동,15,230
2021년 08월 06일 03시,96,30.9,127.7,990,18,65,180,-,소형,북동,24,310
2021년 08월 06일 03시,120,35.9,135,994,17,61,170,-,소형,북동,37,430
2021년 08월 06일 09시,0,24.5,118.1,992,17,61,150,-,소형,동북동,21,null
2021년 08월 06일 09시,12,24.9,118.3,994,17,61,160,-,소형,북북동,4,60
2021년 08월 06일 09시,24,25.2,118.8,996,17,61,160,-,소형,동북동,5,110
2021년 08월 06일 09시,36,25.5,119.5,996,17,61,160,-,소형,동북동,6,140
2021년 08월 06일 09시,48,26,121.1,996,18,65,160,-,소형,동북동,14,170
2021년 08월 06일 09시,72,28,124.6,998,18,65,170,-,소형,북동,17,230
2021년 08월 06일 09시,96,32,129.5,998,18,65,180,-,소형,북동,27,310
2021년 08월 06일 09시,120,37.5,137.9,998,18,65,0,-,-,북동,41,0
2021년 08월 06일 15시,0,24.7,118.8,992,17,61,160,-,소형,동북동,14,null
2021년 08월 06일 15시,12,24.8,119.4,994,17,61,160,-,소형,동북동,5,60
2021년 08월 06일 15시,24,25,120.4,996,17,61,160,-,소형,동북동,8,110
2021년 08월 06일 15시,36,25.9,122.5,996,17,61,160,-,소형,동북동,20,140
2021년 08월 06일 15시,48,27.4,124.5,996,18,65,160,-,소형,북동,21,170
2021년 08월 06일 15시,72,31.3,129.5,996,18,65,160,-,소형,북동,27,230
2021년 08월 06일 15시,96,34.9,135.5,996,18,65,150,-,소형,북동,29,310
2021년 08월 06일 15시,120,38.1,143.7,998,19,68,0,-,-,동북동,34,0
2021년 08월 06일 21시,0,25.1,119.7,992,17,61,160,-,소형,북동,14,null
2021년 08월 06일 21시,12,25.1,120.4,994,17,61,160,-,소형,동,6,60
2021년 08월 06일 21시,24,25.4,121.4,996,17,61,160,-,소형,동북동,9,110
2021년 08월 06일 21시,36,26.3,124.5,996,18,65,160,-,소형,동북동,27,140
2021년 08월 06일 21시,48,28.4,127.4,996,18,65,160,-,소형,북동,31,170
2021년 08월 06일 21시,72,33.1,133,996,18,65,160,-,소형,북동,31,230
2021년 08월 06일 21시,96,37.4,140.9,996,18,65,150,-,소형,북동,36,310
2021년 08월 06일 21시,120,39.6,148.1,998,18,65,0,-,-,동북동,28,0
2021년 08월 07일 03시,0,25.4,120.2,992,17,61,160,-,소형,동,3,null
2021년 08월 07일 03시,12,25.7,121.9,994,17,61,160,-,소형,동,14,60
2021년 08월 07일 03시,24,26,123.3,996,17,61,160,-,소형,동북동,12,110
2021년 08월 07일 03시,36,27.1,125.8,996,18,65,160,-,소형,동북동,23,140
2021년 08월 07일 03시,48,29.4,128.5,996,18,65,160,-,소형,북동,28,170
2021년 08월 07일 03시,72,34.2,134.8,996,18,65,150,-,소형,북동,36,230
2021년 08월 07일 03시,96,38.5,143.5,996,18,65,0,-,-,북동,38,0
2021년 08월 07일 09시,0,25.1,120.5,992,17,61,160,-,소형,남남동,13,null
2021년 08월 07일 09시,12,25.6,122.5,994,17,61,160,-,소형,동북동,18,60
2021년 08월 07일 09시,24,26.4,124.4,996,17,61,160,-,소형,동북동,18,110
2021년 08월 07일 09시,36,28.2,127,996,18,65,160,-,소형,북동,27,140
2021년 08월 07일 09시,48,30.3,129.9,996,18,65,150,-,소형,북동,30,170
2021년 08월 07일 09시,72,35.4,137,996,18,65,0,-,-,북동,37,0
2021년 08월 07일 15시,0,25.6,122.8,994,21,76,160,-,소형,동북동,66,null
2021년 08월 07일 15시,12,27.8,125.3,994,21,76,160,-,소형,북동,29,60
2021년 08월 07일 15시,24,30.3,127.9,992,23,83,160,-,소형,북동,31,110
2021년 08월 07일 15시,36,33.8,131.1,992,23,83,160,-,소형,북동,41,140
2021년 08월 07일 15시,48,36.2,134.5,990,24,86,160,-,소형,북동,34,170
2021년 08월 07일 15시,72,40.1,142.2,990,24,86,0,-,-,북동,33,0
2021년 08월 07일 21시,0,26.4,124.2,994,21,76,200,-,소형,동북동,20,null
2021년 08월 07일 21시,12,28.8,126.3,992,23,83,200,-,소형,북동,28,60
2021년 08월 07일 21시,24,31.4,128.8,992,23,83,200,-,소형,북동,31,110
2021년 08월 07일 21시,36,35.8,133.4,990,24,86,200,-,소형,북동,44,140
2021년 08월 07일 21시,48,37.3,136.3,990,24,86,200,-,소형,북동,35,170
2021년 08월 07일 21시,72,40.7,143.5,990,24,86,0,-,-,동북동,30,0
2021년 08월 08일 03시,0,28,125.6,994,21,76,200,-,소형,북동,41,null
2021년 08월 08일 03시,12,29.9,127.4,992,23,83,200,-,소형,북동,23,60
2021년 08월 08일 03시,24,33.1,130.9,990,24,86,200,-,소형,북동,40,110
