일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 08월 15일 15시,0,28.1,127.1,996,18,65,170,약,소형,북북서,24,null
2018년 08월 15일 15시,24,30.2,123.5,990,22,79,200,약,소형,서북서,18,110
2018년 08월 15일 15시,48,30.5,118.5,994,18,65,130,약,소형,서,20,170
2018년 08월 15일 15시,72,30.9,113.5,998,13,47,0,-,-,서,20,0
2018년 08월 15일 21시,0,29.3,126,996,18,65,170,약,소형,북서,29,null
2018년 08월 15일 21시,24,30.4,122,990,22,79,180,약,소형,서북서,17,110
2018년 08월 15일 21시,48,30.6,117.1,996,15,54,0,-,-,서,20,0
2018년 08월 16일 03시,0,29.6,124.9,996,18,65,180,약,소형,서북서,19,null
2018년 08월 16일 03시,24,30.5,120.8,992,21,76,180,약,소형,서북서,17,110
2018년 08월 16일 03시,48,31.6,115.3,998,13,47,0,-,-,서북서,23,0
2018년 08월 16일 09시,0,29.9,124.7,996,18,65,180,약,소형,북북서,6,null
2018년 08월 16일 09시,24,30.8,119.4,996,18,65,180,약,소형,서,22,110
2018년 08월 16일 09시,48,31.8,114.4,1000,13,47,0,-,-,서북서,23,0
2018년 08월 16일 15시,0,30,124.3,996,20,72,220,약,소형,서북서,7,null
2018년 08월 16일 15시,24,31.1,118,998,16,58,0,-,-,서,26,0
2018년 08월 16일 21시,0,30.6,123.5,994,20,72,200,약,소형,북서,17,null
2018년 08월 16일 21시,24,31.6,117,998,15,54,0,-,-,서,26,0
2018년 08월 17일 03시,0,30.5,122.1,990,20,72,180,약,소형,서,22,null
2018년 08월 17일 03시,24,31.8,115.9,998,15,54,0,-,-,서북서,25,0
2018년 08월 17일 09시,0,31,121,990,20,72,150,약,소형,서북서,20,null
2018년 08월 17일 09시,24,32.6,114.4,996,14,50,0,-,-,서북서,27,0
2018년 08월 17일 15시,0,31.6,118.7,990,20,72,130,약,소형,서북서,38,null
2018년 08월 17일 15시,24,33.2,114.1,996,13,47,0,-,-,서북서,19,0
2018년 08월 17일 21시,0,31.7,117.4,990,18,65,100,약,소형,서,21,null
2018년 08월 17일 21시,24,33.3,113.7,996,12,43,0,-,-,서북서,16,0
2018년 08월 18일 03시,0,31.9,116.5,992,18,65,100,약,소형,서북서,15,null
2018년 08월 18일 03시,24,33.7,113.6,998,12,43,0,-,-,서북서,14,0
2018년 08월 18일 09시,0,32.1,115.3,992,13,47,0,-,-,서,19,null
