일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2013년 06월 18일 09시,0,16.7,126.6,998,18,65,300,약,중형,북,22,0
2013년 06월 18일 09시,24,22.4,126,994,21,76,350,약,중형,북,25,140
2013년 06월 18일 09시,48,27.4,126.5,990,24,86,400,약,중형,북,23,230
2013년 06월 18일 09시,72,30.5,128.6,990,24,86,400,약,중형,북동,17,320
2013년 06월 18일 09시,96,32.3,134.5,994,21,76,350,약,중형,동북동,25,460
2013년 06월 18일 09시,120,33.5,142,998,18,65,300,약,중형,동,30,550
2013년 06월 18일 15시,0,18,126.4,996,19,68,320,약,중형,북,24,0
2013년 06월 18일 15시,24,23.2,125.7,994,21,76,350,약,중형,북,24,140
2013년 06월 18일 15시,48,28.6,126.6,990,24,86,400,약,중형,북,26,230
2013년 06월 18일 15시,72,31.8,131.8,994,21,76,350,약,중형,동북동,25,320
2013년 06월 18일 15시,96,33,138.8,998,-1,-4,0,-,-,동,28,0
2013년 06월 18일 21시,0,18.4,126.2,996,19,68,320,약,중형,북북서,8,0
2013년 06월 18일 21시,24,23.9,125.7,994,21,76,350,약,중형,북,25,140
2013년 06월 18일 21시,48,29.3,127.4,990,24,86,400,약,중형,북북동,26,230
2013년 06월 18일 21시,72,32.6,135.8,994,21,76,350,약,중형,동북동,37,320
2013년 06월 18일 21시,96,35.2,146.7,998,-1,-4,0,-,-,동북동,43,0
2013년 06월 19일 03시,0,19.7,125.9,994,21,76,370,약,중형,북북서,25,0
2013년 06월 19일 03시,24,25.4,125.9,990,24,86,400,약,중형,북,26,140
2013년 06월 19일 03시,48,30.4,129.8,992,22,79,370,약,중형,북동,28,230
2013년 06월 19일 03시,72,34.3,141.1,996,19,68,320,약,중형,동북동,48,320
2013년 06월 19일 03시,96,37.5,154,998,-1,-4,0,-,-,동북동,50,0
2013년 06월 19일 09시,0,20.3,125.8,994,21,76,400,약,중형,북,11,0
2013년 06월 19일 09시,24,26.7,125.3,990,24,86,430,약,중형,북,29,140
2013년 06월 19일 09시,48,31.1,131.9,992,22,79,370,약,중형,북동,34,230
2013년 06월 19일 09시,72,35,145.1,998,-1,-4,0,-,-,동북동,54,0
2013년 06월 19일 15시,0,22.1,125.5,994,21,76,350,약,중형,북,34,0
2013년 06월 19일 15시,24,28.3,125.8,990,24,86,350,약,중형,북,29,140
2013년 06월 19일 15시,48,31.9,134.9,994,21,76,320,약,중형,동북동,40,230
2013년 06월 19일 15시,72,35,148.5,1000,-1,-4,0,-,-,동북동,54,0
2013년 06월 19일 21시,0,23.6,125.2,994,21,76,330,약,중형,북북서,28,0
2013년 06월 19일 21시,24,29.1,126.4,992,22,79,340,약,중형,북,25,140
2013년 06월 19일 21시,48,32.1,135.6,996,-1,-4,0,-,-,동북동,39,0
2013년 06월 20일 03시,0,25.1,124.9,992,22,79,330,약,중형,북북서,28,0
2013년 06월 20일 03시,24,30.4,126.7,994,21,76,250,약,소형,북북동,26,140
2013년 06월 20일 03시,48,32.2,136.8,998,-1,-4,0,-,-,동,41,0
2013년 06월 20일 09시,0,26.6,124.7,992,22,79,310,약,중형,북,28,0
2013년 06월 20일 09시,12,29.8,126.5,992,22,79,270,약,소형,북북동,34,60
2013년 06월 20일 09시,24,31.8,130.4,994,21,76,230,약,소형,동북동,36,140
2013년 06월 20일 09시,36,32.9,137.3,996,19,68,200,약,소형,동,55,185
2013년 06월 20일 09시,48,33.7,145.6,998,-1,-4,0,-,-,동,65,0
2013년 06월 20일 15시,0,28.4,125.2,994,21,76,270,약,소형,북북동,34,0
2013년 06월 20일 15시,12,31.2,128.5,994,21,76,230,약,소형,북동,37,60
2013년 06월 20일 15시,24,32.5,133.8,996,19,68,190,약,소형,동북동,44,140
2013년 06월 20일 15시,36,33.3,141.7,998,-1,-4,0,-,-,동,62,0
2013년 06월 20일 21시,0,30,125.5,996,19,68,250,약,소형,북,30,0
2013년 06월 20일 21시,12,32.2,130,996,19,68,210,약,소형,동북동,39,60
2013년 06월 20일 21시,24,32.9,135.5,998,18,65,190,약,소형,동,43,140
2013년 06월 20일 21시,36,33.3,143,1000,-1,-4,0,-,-,동,58,0
2013년 06월 21일 03시,0,31.1,126.2,996,19,68,230,약,소형,북북동,23,0
2013년 06월 21일 03시,12,32.6,131.8,998,18,65,190,약,소형,동북동,46,60
2013년 06월 21일 03시,24,33.1,138.2,1000,-1,-4,0,-,-,동,50,0
2013년 06월 21일 09시,0,32.3,127.6,1000,-1,-4,0,-,-,북동,31,0
