일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 09월 02일 09시,0,15.2,126.1,1000,18,65,200,-,소형,북서,26,null
2019년 09월 02일 09시,12,17.5,124.3,998,19,68,220,-,소형,북서,26,48
2019년 09월 02일 09시,24,19.9,123.3,996,20,72,230,-,소형,북북서,24,110
2019년 09월 02일 09시,36,21.9,122.8,994,21,76,250,-,소형,북북서,19,140
2019년 09월 02일 09시,48,23.8,122.6,990,24,86,270,-,소형,북,18,170
2019년 09월 02일 09시,72,27.1,122.9,985,27,97,280,중,소형,북,15,260
2019년 09월 02일 09시,96,30.8,123.6,980,29,104,300,중,중형,북북동,17,370
2019년 09월 02일 09시,120,35,125.2,985,27,97,270,중,소형,북북동,21,480
2019년 09월 02일 15시,0,16.7,125.1,1000,18,65,210,-,소형,북북서,33,null
2019년 09월 02일 15시,12,18.7,123.7,996,20,72,230,-,소형,북서,22,48
2019년 09월 02일 15시,24,20.9,123,992,23,83,260,-,소형,북북서,21,110
2019년 09월 02일 15시,36,22.8,122.7,985,27,97,280,중,소형,북,17,140
2019년 09월 02일 15시,48,24.5,122.8,975,32,115,300,중,중형,북,16,170
2019년 09월 02일 15시,72,27.9,123.4,975,32,115,300,중,중형,북,16,260
2019년 09월 02일 15시,96,31.8,124.4,970,35,126,320,강,중형,북북동,18,370
2019년 09월 02일 15시,120,35.6,126,975,32,115,300,중,중형,북북동,19,480
2019년 09월 02일 21시,0,18,124.2,998,19,68,230,-,소형,북서,29,null
2019년 09월 02일 21시,12,20,123.3,994,21,76,250,-,소형,북북서,20,48
2019년 09월 02일 21시,24,21.9,122.9,990,24,86,270,-,소형,북북서,18,110
2019년 09월 02일 21시,36,23.6,122.9,980,29,104,290,중,소형,북,16,140
2019년 09월 02일 21시,48,25.2,123.1,975,32,115,300,중,중형,북,15,170
2019년 09월 02일 21시,72,28.8,124,970,35,126,320,강,중형,북북동,17,260
2019년 09월 02일 21시,96,33.1,125.1,975,32,115,300,중,중형,북북동,20,370
2019년 09월 02일 21시,120,38,127.7,990,24,86,250,-,소형,북북동,25,480
2019년 09월 03일 03시,0,19,124,996,20,72,240,-,소형,북북서,19,null
2019년 09월 03일 03시,12,21,123.5,992,23,83,260,-,소형,북북서,19,48
2019년 09월 03일 03시,24,22.7,123.3,990,24,86,270,-,소형,북,16,110
2019년 09월 03일 03시,36,24.2,123.3,980,29,104,280,중,소형,북,14,140
2019년 09월 03일 03시,48,25.9,123.7,975,32,115,300,중,중형,북북동,16,170
2019년 09월 03일 03시,72,29.7,124.7,970,35,126,320,강,중형,북북동,19,260
2019년 09월 03일 03시,96,34.8,125.7,980,29,104,270,중,소형,북북동,24,370
2019년 09월 03일 03시,120,41.5,129.5,996,20,72,150,-,소형,북북동,34,480
