일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 08월 28일 15시,0,17.2,130.3,998,18,65,200,-,소형,서북서,14,null
2020년 08월 28일 15시,12,17.2,130.1,992,23,83,250,-,소형,서,1,60
2020년 08월 28일 15시,24,17.4,129.9,985,27,97,280,중,소형,서북서,3,120
2020년 08월 28일 15시,36,18.1,129.8,975,32,115,300,중,중형,북,7,150
2020년 08월 28일 15시,48,19.9,129.6,970,35,126,350,강,중형,북,16,180
2020년 08월 28일 15시,72,24.4,128.4,960,39,140,400,강,중형,북북서,22,250
2020년 08월 28일 15시,96,28.3,126.1,960,39,140,400,강,중형,북북서,20,350
2020년 08월 28일 15시,120,31.5,126.2,965,37,133,380,강,중형,북,15,470
2020년 08월 28일 21시,0,17.1,129.8,996,20,72,230,-,소형,서남서,9,null
2020년 08월 28일 21시,12,17.2,129.8,985,27,97,280,중,소형,북,1,60
2020년 08월 28일 21시,24,17.6,129.9,980,29,104,300,중,중형,북,4,120
2020년 08월 28일 21시,36,18.8,129.8,970,35,126,350,강,중형,북,10,150
2020년 08월 28일 21시,48,20.7,129.5,965,37,133,380,강,중형,북,18,180
2020년 08월 28일 21시,72,25.3,128,955,40,144,400,강,중형,북북서,22,250
2020년 08월 28일 21시,96,28.7,125.8,950,43,155,400,강,중형,북북서,18,350
2020년 08월 28일 21시,120,32.5,126.6,955,40,144,380,강,중형,북북동,18,470
2020년 08월 29일 03시,0,16.7,129.7,992,23,83,250,-,소형,남,3,null
2020년 08월 29일 03시,12,17.4,129.8,985,27,97,280,중,소형,북북동,6,60
2020년 08월 29일 03시,24,18.1,129.8,980,29,104,330,중,중형,북,7,120
2020년 08월 29일 03시,36,19.5,129.7,965,37,133,350,강,중형,북,13,150
2020년 08월 29일 03시,48,21.7,129.2,950,43,155,380,강,중형,북북서,21,180
2020년 08월 29일 03시,72,26.2,127.4,940,47,169,400,매우 강,중형,북북서,22,250
2020년 08월 29일 03시,96,29.7,125.8,940,47,169,400,매우 강,중형,북북서,18,350
2020년 08월 29일 03시,120,33,127,945,45,162,380,매우 강,중형,북북동,16,470
2020년 08월 29일 09시,0,16.4,129.8,985,27,97,280,중,소형,남동,3,null
2020년 08월 29일 09시,12,17.7,129.8,980,29,104,300,중,중형,북,12,60
2020년 08월 29일 09시,24,18.7,129.8,970,35,126,340,강,중형,북,10,120
2020년 08월 29일 09시,36,20.4,129.3,955,40,144,360,강,중형,북북서,16,150
2020년 08월 29일 09시,48,22.7,128.4,945,45,162,380,매우 강,중형,북북서,22,180
2020년 08월 29일 09시,72,27.1,126.4,940,47,169,400,매우 강,중형,북북서,22,250
2020년 08월 29일 09시,96,30.6,126.4,940,47,169,400,매우 강,중형,북,16,350
2020년 08월 29일 09시,120,36.4,130.2,960,39,140,380,강,중형,북북동,30,470
2020년 08월 29일 15시,0,16.6,129.6,985,27,97,300,중,중형,북북서,8,null
2020년 08월 29일 15시,12,17.3,129.9,975,32,115,320,중,중형,북북동,7,60
2020년 08월 29일 15시,24,19,129.7,960,39,140,350,강,중형,북,16,120
2020년 08월 29일 15시,36,21.1,129.1,950,43,155,370,강,중형,북북서,20,150
2020년 08월 29일 15시,48,23.6,127.9,940,47,169,400,매우 강,중형,북북서,25,180
2020년 08월 29일 15시,72,27.8,126.2,940,47,169,400,매우 강,중형,북북서,21,250
2020년 08월 29일 15시,96,31.5,127.3,945,45,162,390,매우 강,중형,북북동,18,350
2020년 08월 29일 15시,120,39.3,131.9,965,37,133,360,강,중형,북북동,40,470
2020년 08월 29일 21시,0,17,129.2,980,29,104,310,중,중형,북서,13,null
2020년 08월 29일 21시,12,17.9,129.2,970,35,126,340,강,중형,북,8,60
2020년 08월 29일 21시,24,20,129.2,955,40,144,360,강,중형,북,20,120
2020년 08월 29일 21시,36,22.3,128.5,945,45,162,390,매우 강,중형,북북서,22,150
2020년 08월 29일 21시,48,24.6,127.5,935,49,176,400,매우 강,중형,북북서,22,180
2020년 08월 29일 21시,72,28.7,126.2,935,49,176,400,매우 강,중형,북북서,20,250
2020년 08월 29일 21시,96,33.3,128.3,950,43,155,380,강,중형,북북동,23,350
2020년 08월 29일 21시,120,42,133.5,975,32,115,300,중,중형,북북동,44,470
2020년 08월 30일 03시,0,17.1,129,975,32,115,320,중,중형,동,3,null
2020년 08월 30일 03시,12,18.9,128.9,965,37,133,350,강,중형,북,16,60
2020년 08월 30일 03시,24,21.1,128.6,950,43,155,380,강,중형,북,21,120
2020년 08월 30일 03시,36,23.4,127.7,940,47,169,390,매우 강,중형,북북서,22,150
2020년 08월 30일 03시,48,25.4,126.5,935,49,176,400,매우 강,중형,북북서,21,180
2020년 08월 30일 03시,72,29.3,126.3,935,49,176,400,매우 강,중형,북,18,250
2020년 08월 30일 03시,96,35.2,128.9,955,40,144,360,강,중형,북북동,29,350
