일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2016년 09월 13일 03시,0,13.6,139.6,1000,18,65,160,약,소형,서,20,0
2016년 09월 13일 03시,24,15.2,134.8,990,24,86,180,약,소형,서북서,23,140
2016년 09월 13일 03시,48,17.5,130.4,980,29,104,200,중,소형,서북서,22,230
2016년 09월 13일 03시,72,20.7,126.4,960,39,140,230,강,소형,북서,23,320
2016년 09월 13일 03시,96,24.4,123.7,935,49,176,280,매우강,소형,북서,21,460
2016년 09월 13일 03시,120,27.7,125.9,945,45,162,260,매우강,소형,북북동,18,550
2016년 09월 13일 09시,0,14.1,138.2,998,19,68,170,약,소형,서북서,27,0
2016년 09월 13일 09시,24,16,133,985,27,97,200,중,소형,서북서,25,140
2016년 09월 13일 09시,48,18.6,128.9,970,35,126,230,강,소형,서북서,22,230
2016년 09월 13일 09시,72,21.8,125.1,950,43,155,250,강,소형,북서,22,320
2016년 09월 13일 09시,96,25.5,123.4,935,49,176,280,매우강,소형,북북서,18,460
2016년 09월 13일 09시,120,29.9,126.1,945,45,162,240,매우강,소형,북북동,23,550
2016년 09월 13일 15시,0,14.7,136.8,992,23,83,200,약,소형,서북서,27,0
2016년 09월 13일 15시,24,16.6,131.6,975,32,115,230,중,소형,서북서,25,140
2016년 09월 13일 15시,48,19.5,127.4,955,40,144,270,강,소형,북서,23,230
2016년 09월 13일 15시,72,22.9,123.9,935,49,176,300,매우강,중형,북서,22,320
2016년 09월 13일 15시,96,27.1,123.7,935,49,176,300,매우강,중형,북,20,460
2016년 09월 13일 15시,120,30.9,127.3,955,40,144,250,강,소형,북동,23,550
2016년 09월 13일 21시,0,14.7,135.5,985,27,97,230,중,소형,서,23,0
2016년 09월 13일 21시,24,16.8,130.7,965,37,133,250,강,소형,서북서,24,140
2016년 09월 13일 21시,48,20.2,126.5,945,45,162,270,매우강,소형,북서,24,230
2016년 09월 13일 21시,72,24.7,123.7,935,49,176,300,매우강,중형,북북서,24,320
2016년 09월 13일 21시,96,28.9,125,940,47,169,280,매우강,소형,북북동,20,460
2016년 09월 13일 21시,120,32.1,130,965,37,133,230,강,소형,동북동,25,550
2016년 09월 14일 03시,0,15,134.6,975,32,115,250,중,소형,서북서,17,0
2016년 09월 14일 03시,24,17.4,129.6,960,39,140,270,강,소형,서북서,25,140
2016년 09월 14일 03시,48,20.3,124.5,940,47,169,300,매우강,중형,서북서,26,230
2016년 09월 14일 03시,72,25.2,123,940,47,169,300,매우강,중형,북북서,24,320
2016년 09월 14일 03시,96,29.1,124.4,960,39,140,270,강,소형,북북동,19,460
2016년 09월 14일 03시,120,32.7,131,985,27,97,200,중,소형,동북동,31,550
2016년 09월 14일 09시,0,15.5,133.2,970,35,126,250,강,소형,서북서,27,0
2016년 09월 14일 09시,24,17.9,128.4,960,39,140,270,강,소형,서북서,24,140
2016년 09월 14일 09시,48,21.1,124,940,47,169,300,매우강,중형,북서,24,230
2016년 09월 14일 09시,72,25.9,122.5,950,43,155,290,강,소형,북북서,23,320
2016년 09월 14일 09시,96,29.6,124.7,965,37,133,250,강,소형,북북동,19,460
2016년 09월 14일 09시,120,32.8,131,985,27,97,200,중,소형,동북동,29,550
2016년 09월 14일 15시,0,15.8,132.1,970,35,126,250,강,소형,서북서,20,0
2016년 09월 14일 15시,24,18.2,127.4,955,40,144,270,강,소형,서북서,24,140
2016년 09월 14일 15시,48,22.2,123.6,940,47,169,300,매우강,중형,북서,25,230
2016년 09월 14일 15시,72,26.8,122.6,955,40,144,280,강,소형,북북서,22,320
2016년 09월 14일 15시,96,30.5,125.8,970,35,126,260,강,소형,북동,21,460
2016년 09월 14일 15시,120,33.2,132,985,27,97,200,중,소형,동북동,27,550
2016년 09월 14일 21시,0,16.3,131.1,970,35,126,250,강,소형,서북서,20,0
2016년 09월 14일 21시,24,18.9,126.2,960,39,140,270,강,소형,서북서,24,140
2016년 09월 14일 21시,48,23.2,122.8,940,47,169,300,매우강,중형,북서,25,230
2016년 09월 14일 21시,72,27.7,122.9,955,40,144,280,강,소형,북,21,320
2016년 09월 14일 21시,96,31.2,126.6,975,32,115,250,중,소형,북동,22,460
2016년 09월 14일 21시,120,33.4,132.9,990,24,86,180,약,소형,동북동,27,550
2016년 09월 15일 03시,0,16.7,130,965,37,133,250,강,소형,서북서,21,0
2016년 09월 15일 03시,24,19.5,125.5,950,43,155,270,강,소형,서북서,23,140
2016년 09월 15일 03시,48,23.5,122.6,940,47,169,300,매우강,중형,북서,22,230
2016년 09월 15일 03시,72,28.2,122.9,955,40,144,280,강,소형,북,22,320
2016년 09월 15일 03시,96,31.5,126.9,975,32,115,250,중,소형,북동,22,460
2016년 09월 15일 03시,120,33.6,132.7,990,24,86,180,약,소형,동북동,25,550
2016년 09월 15일 09시,0,17.4,128.8,965,37,133,250,강,소형,서북서,25,0
2016년 09월 15일 09시,24,20.2,124.9,945,45,162,270,매우강,소형,북서,21,140
2016년 09월 15일 09시,48,24.5,122.4,940,47,169,300,매우강,중형,북북서,23,230
2016년 09월 15일 09시,72,28.5,123.2,960,39,140,270,강,소형,북북동,19,320
2016년 09월 15일 09시,96,31.3,127.8,980,29,104,230,중,소형,동북동,23,460
