일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2010년 09월 03일 15시,0,23.2,130.9,1000,18,65,200,약,소형,서북서,15,0
2010년 09월 03일 15시,24,25.4,127.3,996,19,68,200,약,소형,서북서,19,150
2010년 09월 03일 15시,48,28.2,125,990,24,86,250,약,소형,북서,17,250
2010년 09월 03일 15시,72,30.4,124,985,27,97,300,중,중형,북북서,11,400
2010년 09월 03일 15시,96,32.4,123.7,980,31,112,350,중,중형,북,10,550
2010년 09월 03일 15시,120,35.5,123.4,985,27,97,300,중,중형,북,15,700
2010년 09월 03일 21시,0,23.5,129.6,1000,18,65,200,약,소형,서북서,23,0
2010년 09월 03일 21시,24,25.5,126.5,996,19,68,250,약,소형,북서,17,150
2010년 09월 03일 21시,48,28.3,124.4,990,24,86,300,약,중형,북서,16,250
2010년 09월 03일 21시,72,30.8,123.3,985,27,97,350,중,중형,북북서,13,400
2010년 09월 03일 21시,96,33.6,123,990,24,86,300,약,중형,북,13,550
2010년 09월 03일 21시,120,36.3,123,996,19,68,250,약,소형,북,13,700
2010년 09월 04일 03시,0,23.7,128.8,996,19,68,220,약,소형,서북서,15,0
2010년 09월 04일 03시,24,25.6,126.2,990,24,86,300,약,중형,북서,15,150
2010년 09월 04일 03시,48,28.5,124.5,985,27,97,350,중,중형,북북서,15,250
2010년 09월 04일 03시,72,31,123.6,990,24,86,300,약,중형,북북서,13,400
2010년 09월 04일 03시,96,33.7,123.2,996,19,68,220,약,소형,북,12,550
2010년 09월 04일 03시,120,36.4,123.3,998,17,61,200,약,소형,북,12,700
2010년 09월 04일 09시,0,24.5,128.2,996,19,68,220,약,소형,북서,18,0
2010년 09월 04일 09시,24,26.9,125.5,990,24,86,300,약,중형,북서,16,150
2010년 09월 04일 09시,48,29.3,124.2,985,27,97,350,중,중형,북북서,13,250
2010년 09월 04일 09시,72,31.2,123.4,990,24,86,300,약,중형,북북서,10,400
2010년 09월 04일 09시,96,33.9,123.1,996,19,68,220,약,소형,북,13,550
2010년 09월 04일 09시,120,36.6,123.2,998,17,61,200,약,소형,북,13,700
2010년 09월 04일 15시,0,25.1,127.2,996,19,68,220,약,소형,북서,21,0
2010년 09월 04일 15시,24,28.4,125,990,24,86,300,약,중형,북북서,18,150
2010년 09월 04일 15시,48,31.2,124.3,985,27,97,350,중,중형,북북서,14,250
2010년 09월 04일 15시,72,33.1,124.4,990,24,86,300,약,중형,북,9,400
2010년 09월 04일 15시,96,34.9,124.9,996,19,68,220,약,소형,북북동,9,550
2010년 09월 04일 15시,120,36.7,125.9,998,17,61,200,약,소형,북북동,10,700
2010년 09월 04일 21시,0,26.9,127.2,994,21,76,250,약,소형,북,34,0
2010년 09월 04일 21시,24,29.9,125.6,990,24,86,300,약,중형,북북서,16,150
2010년 09월 04일 21시,48,32.3,125.7,985,27,97,350,중,중형,북,12,250
2010년 09월 04일 21시,72,34.2,126.2,990,24,86,300,약,중형,북북동,10,400
2010년 09월 04일 21시,96,37.4,130.3,998,19,68,200,약,소형,북동,22,550
2010년 09월 04일 21시,120,39.7,136.1,1000,17,61,150,약,소형,동북동,24,700
2010년 09월 05일 03시,0,27.5,126.5,994,21,76,250,약,소형,북서,17,0
2010년 09월 05일 03시,24,30.8,125.7,990,24,86,280,약,소형,북북서,16,150
2010년 09월 05일 03시,48,32.9,126,985,27,97,300,중,중형,북,10,250
2010년 09월 05일 03시,72,35,127,990,24,86,250,약,소형,북북동,11,400
2010년 09월 05일 03시,96,37.4,131.2,998,19,68,200,약,소형,동북동,20,550
2010년 09월 05일 03시,120,39.5,139,1000,17,61,150,약,소형,동북동,30,700
2010년 09월 05일 09시,0,28.6,126,994,21,76,220,약,소형,북북서,22,0
2010년 09월 05일 09시,24,31.1,125.9,985,27,97,250,중,소형,북,12,150
2010년 09월 05일 09시,48,33.7,126.4,980,31,112,280,중,소형,북북동,13,250
2010년 09월 05일 09시,72,35.6,128.6,980,31,112,280,중,소형,북동,13,400
2010년 09월 05일 09시,96,38.5,136,985,27,97,250,중,소형,동북동,31,550
2010년 09월 05일 09시,120,39.7,146.9,990,24,86,220,약,소형,동,40,700
2010년 09월 05일 12시,0,29.1,126.1,994,21,76,220,약,소형,북,19,0
2010년 09월 05일 12시,24,31.4,126.1,985,27,97,250,중,소형,북,11,150
2010년 09월 05일 12시,48,34,126.7,980,31,112,280,중,소형,북북동,13,250
2010년 09월 05일 12시,72,36,129.4,980,31,112,280,중,소형,동북동,16,400
2010년 09월 05일 12시,96,39,137.7,985,27,97,250,중,소형,동북동,34,550
2010년 09월 05일 12시,120,39.8,149.2,990,24,86,220,약,소형,동,42,700
2010년 09월 05일 15시,0,29.4,126.1,994,21,76,220,약,소형,북,12,0
2010년 09월 05일 15시,24,31.8,125.9,985,27,97,250,중,소형,북,12,150
2010년 09월 05일 15시,48,34.3,126.3,980,31,112,280,중,소형,북북동,12,250
2010년 09월 05일 15시,72,36.7,131.4,990,24,86,220,약,소형,동북동,28,400
2010년 09월 05일 15시,96,39.2,140.8,994,21,76,220,약,소형,동북동,37,550
2010년 09월 05일 15시,120,39.2,153.5,998,18,65,180,약,소형,동,46,700
2010년 09월 05일 18시,0,29.7,126.1,994,21,76,220,약,소형,북,12,0
2010년 09월 05일 18시,24,32.2,125.9,985,27,97,250,중,소형,북,12,150
2010년 09월 05일 18시,48,35,126.8,985,27,97,250,중,소형,북북동,15,250
2010년 09월 05일 18시,72,37.2,132.7,994,21,76,200,약,소형,동북동,29,400
2010년 09월 05일 18시,96,39.5,143.4,998,18,65,180,약,소형,동북동,41,550
2010년 09월 05일 18시,120,38.3,155.9,998,18,65,180,약,소형,동,46,700
2010년 09월 05일 21시,0,30.2,126.1,994,21,76,220,약,소형,북,19,0
2010년 09월 05일 21시,24,32.6,125.9,985,27,97,280,중,소형,북,13,150
