일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2011년 06월 22일 15시,0,13.8,128.9,998,18,65,350,약,중형,서북서,18,0
2011년 06월 22일 15시,24,17.3,125.6,990,24,86,370,약,중형,북서,22,150
2011년 06월 22일 15시,48,21.3,122.8,975,34,122,400,강,중형,북서,23,250
2011년 06월 22일 15시,72,25.7,121.6,965,38,137,450,강,중형,북북서,21,400
2011년 06월 22일 15시,96,30,122,980,31,112,400,중,중형,북,20,550
2011년 06월 22일 15시,120,35.3,124,990,24,86,350,약,중형,북북동,26,700
2011년 06월 22일 21시,0,14.1,128.3,994,21,76,350,약,중형,서북서,13,0
2011년 06월 22일 21시,24,18.1,125.1,980,31,112,400,중,중형,북서,24,150
2011년 06월 22일 21시,48,22.5,122.9,965,38,137,450,강,중형,북북서,23,250
2011년 06월 22일 21시,72,27.2,122.2,970,36,130,430,강,중형,북,22,400
2011년 06월 22일 21시,96,32.1,122.4,980,31,112,400,중,중형,북,23,550
2011년 06월 22일 21시,120,36.9,124.5,990,24,86,350,약,중형,북북동,24,700
2011년 06월 23일 03시,0,14.5,127.7,994,21,76,350,약,중형,서북서,14,0
2011년 06월 23일 03시,24,18.7,124.7,975,34,122,400,강,중형,북서,24,150
2011년 06월 23일 03시,48,23.4,123.1,965,38,137,450,강,중형,북북서,23,250
2011년 06월 23일 03시,72,28.9,123.2,970,36,130,430,강,중형,북,26,400
2011년 06월 23일 03시,96,34.4,124,985,27,97,400,중,중형,북,26,550
2011년 06월 23일 03시,120,40,127.1,995,20,72,350,약,중형,북북동,29,700
2011년 06월 23일 09시,0,15.2,127.2,994,21,76,350,약,중형,북북서,16,0
2011년 06월 23일 09시,24,19.5,124.7,975,34,122,400,강,중형,북북서,23,150
2011년 06월 23일 09시,48,24.1,123.3,965,38,137,450,강,중형,북북서,24,250
2011년 06월 23일 09시,72,29.3,123.6,970,36,130,430,강,중형,북,24,400
2011년 06월 23일 09시,96,35.3,124.9,988,25,90,380,중,중형,북북동,28,550
2011년 06월 23일 09시,120,42.2,130.8,995,-1,-4,0,-,-,북동,38,0
2011년 06월 23일 15시,0,16.7,127,990,24,86,350,약,중형,북북서,19,0
2011년 06월 23일 15시,24,20.8,125,975,34,122,400,강,중형,북북서,21,150
2011년 06월 23일 15시,48,25.8,123.7,965,38,137,450,강,중형,북북서,27,250
2011년 06월 23일 15시,72,32,124.7,978,32,115,380,중,중형,북,29,400
2011년 06월 23일 15시,96,37.5,126.1,990,24,86,300,약,중형,북북동,48,550
2011년 06월 23일 15시,120,45.9,134.3,998,-1,-4,0,-,-,북동,44,0
2011년 06월 23일 21시,0,17.8,126.8,990,24,86,300,약,중형,북북서,23,0
2011년 06월 23일 21시,24,22.9,124.8,975,34,122,350,강,중형,북북서,23,150
2011년 06월 23일 21시,48,28.6,124.1,965,38,137,400,강,중형,북,27,250
2011년 06월 23일 21시,72,34.5,125.1,980,31,112,330,중,중형,북,30,400
2011년 06월 23일 21시,96,40.1,127.7,992,22,79,250,약,소형,북북동,27,550
2011년 06월 23일 21시,120,46.2,136.5,1000,-1,-4,0,-,-,북동,40,0
2011년 06월 24일 03시,0,19.6,126,990,24,86,400,약,중형,북북서,23,0
2011년 06월 24일 03시,24,24.4,124.2,970,36,130,450,강,중형,북북서,29,150
2011년 06월 24일 03시,48,30.7,123.8,975,34,122,380,강,중형,북,31,250
2011년 06월 24일 03시,72,37,125.8,990,24,86,250,약,소형,북북동,30,400
2011년 06월 24일 03시,96,43.3,131.4,998,-1,-4,0,-,-,북동,35,0
2011년 06월 24일 09시,0,20.5,125.5,985,27,97,400,중,중형,북북서,27,0
2011년 06월 24일 09시,24,26.1,124.1,970,36,130,450,강,중형,북북서,26,150
2011년 06월 24일 09시,48,32.8,124.4,975,34,122,380,강,중형,북,30,250
2011년 06월 24일 09시,72,39,127.2,990,24,86,250,약,소형,북북동,30,400
2011년 06월 24일 09시,96,44.9,134.1,998,-1,-4,0,-,-,북동,36,0
2011년 06월 24일 15시,0,21.6,125.2,985,27,97,400,중,중형,북북서,25,0
2011년 06월 24일 15시,24,27.6,124.1,970,36,130,450,강,중형,북,30,150
2011년 06월 24일 15시,48,34.1,124.8,975,34,122,380,강,중형,북,32,250
2011년 06월 24일 15시,72,40.9,128,990,24,86,250,약,소형,북북동,33,400
2011년 06월 24일 15시,96,46.2,136.5,998,-1,-4,0,-,-,동북동,37,0
2011년 06월 24일 21시,0,24,124.8,980,31,112,400,중,중형,북북서,26,0
2011년 06월 24일 21시,24,29.6,124.3,975,34,122,450,강,중형,북,30,150
2011년 06월 24일 21시,48,36.5,125.2,980,31,112,400,중,중형,북,31,250
2011년 06월 24일 21시,72,43.1,130.3,990,24,86,250,약,소형,북동,35,400
2011년 06월 24일 21시,96,47.4,138.9,1002,-1,-4,0,-,-,동북동,34,0
2011년 06월 25일 03시,0,25.8,124.2,975,34,122,420,강,중형,북,27,0
2011년 06월 25일 03시,24,31.8,124.4,980,31,112,350,중,중형,북,29,150
2011년 06월 25일 03시,48,38.5,126.3,990,24,86,250,약,소형,북북동,31,250
2011년 06월 25일 03시,72,45.4,133,998,-1,-4,0,-,-,북동,39,0
