일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2011년 07월 28일 15시,0,12.1,135.2,998,18,65,200,약,소형,서,22,0
2011년 07월 28일 15시,24,14.4,132.7,998,18,65,200,약,소형,북서,16,150
2011년 07월 28일 15시,48,16.3,131.6,990,24,86,250,약,소형,북북서,11,250
2011년 07월 28일 15시,72,18.6,130.8,980,31,112,300,중,중형,북북서,12,400
2011년 07월 28일 15시,96,21,130.8,975,34,122,350,강,중형,북,12,550
2011년 07월 28일 15시,120,23.7,130.9,965,38,137,400,강,중형,북,13,700
2011년 07월 28일 21시,0,12.3,134,996,19,68,220,약,소형,서,23,0
2011년 07월 28일 21시,24,14.4,132.5,990,24,86,250,약,소형,북서,12,150
2011년 07월 28일 21시,48,16.7,131.4,980,31,112,300,중,중형,북북서,12,250
2011년 07월 28일 21시,72,19.2,131,970,36,130,350,강,중형,북,12,400
2011년 07월 28일 21시,96,21.4,130.8,965,38,137,400,강,중형,북,11,550
2011년 07월 28일 21시,120,23.7,130.8,955,41,148,480,강,중형,북,11,700
2011년 07월 29일 03시,0,12.4,133.2,992,22,79,220,약,소형,서,15,0
2011년 07월 29일 03시,24,14.7,132.1,980,31,112,300,중,중형,북북서,12,150
2011년 07월 29일 03시,48,17,131.3,965,38,137,400,강,중형,북북서,12,250
2011년 07월 29일 03시,72,19.4,130.8,960,40,144,420,강,중형,북,12,400
2011년 07월 29일 03시,96,21.6,130.8,955,41,148,480,강,중형,북,11,550
2011년 07월 29일 03시,120,23.9,130.8,950,43,155,500,강,대형,북,11,700
2011년 07월 29일 09시,0,12.5,132.7,992,22,79,220,약,소형,서,10,0
2011년 07월 29일 09시,24,14.9,131.9,980,31,112,300,중,중형,북북서,12,150
2011년 07월 29일 09시,48,17.2,131.6,960,40,144,400,강,중형,북,11,250
2011년 07월 29일 09시,72,19.5,131.4,955,41,148,450,강,중형,북,11,400
2011년 07월 29일 09시,96,21.8,131,955,41,148,480,강,중형,북,11,550
2011년 07월 29일 09시,120,24,129.9,950,43,155,500,강,대형,북북서,12,700
2011년 07월 29일 15시,0,12.8,132.5,990,24,86,250,약,소형,북북서,7,0
2011년 07월 29일 15시,24,15.4,131.4,980,31,112,300,중,중형,북북서,14,150
2011년 07월 29일 15시,48,18,131.2,960,40,144,400,강,중형,북,13,250
2011년 07월 29일 15시,72,20.4,130.9,955,41,148,450,강,중형,북,12,400
2011년 07월 29일 15시,96,22.4,130.5,950,43,155,480,강,중형,북북서,10,550
2011년 07월 29일 15시,120,24.8,130.2,950,43,155,500,강,대형,북,12,700
2011년 07월 29일 21시,0,13.9,132.5,990,24,86,250,약,소형,북,21,0
2011년 07월 29일 21시,24,16,131.4,980,31,112,300,중,중형,북북서,11,150
2011년 07월 29일 21시,48,18.4,131.1,960,40,144,400,강,중형,북,12,250
2011년 07월 29일 21시,72,20.7,130.8,955,41,148,450,강,중형,북,11,400
2011년 07월 29일 21시,96,22.8,130.4,950,43,155,480,강,중형,북,11,550
2011년 07월 29일 21시,120,25.2,130,950,43,155,500,강,대형,북,11,700
2011년 07월 30일 03시,0,15,132.5,990,24,86,250,약,소형,북,21,0
2011년 07월 30일 03시,24,17.1,132,980,31,112,300,중,중형,북북서,10,150
2011년 07월 30일 03시,48,19.3,131.5,960,40,144,400,강,중형,북북서,11,250
2011년 07월 30일 03시,72,21.4,131.2,950,43,155,450,강,중형,북,10,400
2011년 07월 30일 03시,96,23.3,130.5,945,45,162,500,매우 강,대형,북북서,10,550
2011년 07월 30일 03시,120,25.4,129.7,945,45,162,500,매우 강,대형,북북서,11,700
2011년 07월 30일 09시,0,15.7,133.4,980,31,112,300,중,중형,북동,21,0
2011년 07월 30일 09시,24,17.9,133.1,970,36,130,350,강,중형,북,11,150
2011년 07월 30일 09시,48,20,133.5,960,40,144,400,강,중형,북북동,10,250
2011년 07월 30일 09시,72,22,133.1,950,43,155,450,강,중형,북북서,10,400
2011년 07월 30일 09시,96,24.2,131.9,945,45,162,500,매우 강,대형,북북서,12,550
2011년 07월 30일 09시,120,26.3,130.2,945,45,162,500,매우 강,대형,북서,13,700
2011년 07월 30일 15시,0,16.2,133,970,36,130,350,강,중형,북서,12,0
2011년 07월 30일 15시,24,18.6,133,960,40,144,400,강,중형,북,12,150
2011년 07월 30일 15시,48,20.7,133.5,950,43,155,450,강,중형,북북동,11,250
2011년 07월 30일 15시,72,22.7,133,945,45,162,500,매우 강,대형,북북서,10,400
2011년 07월 30일 15시,96,24.8,131.2,935,48,173,550,매우 강,대형,북서,13,550
2011년 07월 30일 15시,120,26.8,129.2,945,45,162,500,매우 강,대형,북서,13,700
2011년 07월 30일 21시,0,16.5,132.7,945,45,162,500,매우 강,대형,북서,8,0
2011년 07월 30일 21시,24,18.7,133,925,51,184,600,매우 강,대형,북,11,150
2011년 07월 30일 21시,48,21,133.2,920,53,191,650,매우 강,대형,북,11,250
2011년 07월 30일 21시,72,23.3,132.5,920,53,191,650,매우 강,대형,북북서,12,400
2011년 07월 30일 21시,96,25.4,130.6,925,51,184,600,매우 강,대형,북서,13,550
2011년 07월 30일 21시,120,27.2,128.4,935,48,173,550,매우 강,대형,북서,13,700
2011년 07월 31일 03시,0,16.6,132.4,935,48,173,550,매우 강,대형,서북서,6,0
2011년 07월 31일 03시,24,18.9,132.8,925,51,184,600,매우 강,대형,북,11,150
2011년 07월 31일 03시,48,21.2,132.9,925,51,184,600,매우 강,대형,북,11,250
2011년 07월 31일 03시,72,23.6,131.9,930,50,180,580,매우 강,대형,북북서,12,400
2011년 07월 31일 03시,96,25.7,129.9,935,48,173,550,매우 강,대형,북서,13,550
2011년 07월 31일 03시,120,27.4,127.6,940,46,166,530,매우 강,대형,북서,13,700
2011년 07월 31일 09시,0,16.8,132.6,930,50,180,580,매우 강,대형,북동,6,0
2011년 07월 31일 09시,24,19,132.7,920,53,191,630,매우 강,대형,북,11,150
2011년 07월 31일 09시,48,21.5,132.3,920,53,191,630,매우 강,대형,북,12,250
