일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 09월 28일 09시,0,15.4,132.2,1000,17,61,200,-,소형,서북서,56,null
2019년 09월 28일 09시,12,16.9,130.2,992,23,83,250,-,소형,북서,23,50
2019년 09월 28일 09시,24,18.6,127.2,985,27,97,280,중,소형,서북서,30,110
2019년 09월 28일 09시,36,20.1,125.2,980,29,104,300,중,중형,북서,23,140
2019년 09월 28일 09시,48,22.4,123.9,965,37,133,320,강,중형,북북서,24,170
2019년 09월 28일 09시,72,27.5,124,955,40,144,350,강,중형,북,23,260
2019년 09월 28일 09시,96,32.5,126.7,960,39,140,330,강,중형,북북동,25,370
2019년 09월 28일 09시,120,37,132.7,970,35,126,320,강,중형,북동,31,480
2019년 09월 28일 15시,0,17.1,130.9,998,18,65,210,-,소형,서북서,26,null
2019년 09월 28일 15시,12,18.1,128.5,985,27,97,280,중,소형,서북서,23,50
2019년 09월 28일 15시,24,20,125.5,980,29,104,290,중,소형,서북서,31,110
2019년 09월 28일 15시,36,21.1,124.5,970,35,126,310,강,중형,북서,14,140
2019년 09월 28일 15시,48,24,123.2,960,39,140,330,강,중형,북북서,29,170
2019년 09월 28일 15시,72,29.1,123.8,955,40,144,350,강,중형,북,24,260
2019년 09월 28일 15시,96,34.5,127.5,970,35,126,320,강,중형,북동,29,370
2019년 09월 28일 15시,120,38,133.1,980,29,104,290,중,소형,동북동,26,480
2019년 09월 28일 21시,0,17.6,129.3,994,21,76,240,-,소형,서북서,30,null
2019년 09월 28일 21시,12,19.2,126.5,985,27,97,300,중,중형,서북서,29,48
2019년 09월 28일 21시,24,20.8,124.4,970,35,126,320,강,중형,북서,23,110
2019년 09월 28일 21시,36,22.9,123.4,960,39,140,330,강,중형,북북서,22,140
2019년 09월 28일 21시,48,25.1,122.9,955,40,144,340,강,중형,북북서,21,170
2019년 09월 28일 21시,72,30.5,124.4,965,37,133,300,강,중형,북북동,26,260
2019년 09월 28일 21시,96,35.4,128.7,975,32,115,280,중,소형,북동,28,370
2019년 09월 28일 21시,120,39.1,134.9,985,27,97,230,중,소형,동북동,29,480
2019년 09월 29일 03시,0,17.9,127.8,985,27,97,270,중,소형,서북서,27,null
2019년 09월 29일 03시,12,19.7,125.6,975,32,115,310,중,중형,북서,26,48
2019년 09월 29일 03시,24,21.6,123.8,965,37,133,330,강,중형,북서,23,110
2019년 09월 29일 03시,36,23.8,122.6,960,39,140,340,강,중형,북북서,23,140
2019년 09월 29일 03시,48,26.5,122.4,965,37,133,330,강,중형,북,26,170
2019년 09월 29일 03시,72,32.4,124,970,35,126,300,강,중형,북북동,28,260
2019년 09월 29일 03시,96,37,129.2,985,27,97,270,중,소형,북동,29,370
2019년 09월 29일 03시,120,39.3,136.8,990,24,86,230,-,소형,동북동,29,480
2019년 09월 29일 09시,0,18.1,126.7,985,27,97,270,중,소형,서,18,null
2019년 09월 29일 09시,12,20.2,124.3,975,32,115,310,중,중형,북서,29,48
2019년 09월 29일 09시,24,22.6,122.9,965,37,133,330,강,중형,북북서,25,110
2019년 09월 29일 09시,36,24.9,122.3,960,39,140,340,강,중형,북북서,22,140
2019년 09월 29일 09시,48,27.7,122.7,965,37,133,320,강,중형,북,26,170
2019년 09월 29일 09시,72,33.5,125.3,970,35,126,300,강,중형,북북동,29,260
2019년 09월 29일 09시,96,37,130.5,985,27,97,260,중,소형,동북동,31,370
2019년 09월 29일 09시,120,39.1,137.2,990,24,86,230,-,소형,동북동,32,480
2019년 09월 29일 15시,0,18.9,126,980,29,104,290,중,소형,북북서,21,null
2019년 09월 29일 15시,12,20.8,124.1,970,35,126,320,강,중형,북서,24,48
2019년 09월 29일 15시,24,23.2,122.6,960,39,140,340,강,중형,북북서,26,110
2019년 09월 29일 15시,36,25.4,122.2,960,39,140,340,강,중형,북,21,140
2019년 09월 29일 15시,48,28.3,122.8,965,37,133,320,강,중형,북,27,170
2019년 09월 29일 15시,72,33.8,125.4,970,35,126,290,강,소형,북북동,27,260
2019년 09월 29일 15시,96,37.1,130.9,985,27,97,250,중,소형,동북동,30,370
2019년 09월 29일 15시,120,39.1,138.2,992,23,83,0,-,-,동북동,30,0
2019년 09월 29일 21시,0,20.2,124.6,975,32,115,310,중,중형,북서,28,null
2019년 09월 29일 21시,12,22.2,123.1,965,37,133,330,강,중형,북서,23,50
2019년 09월 29일 21시,24,24.6,122.3,960,39,140,340,강,중형,북북서,23,110
2019년 09월 29일 21시,36,26.8,122.3,965,37,133,330,강,중형,북,20,140
2019년 09월 29일 21시,48,29.3,123.1,970,35,126,320,강,중형,북북동,24,170
2019년 09월 29일 21시,72,34.6,126.3,980,32,115,300,중,중형,북북동,28,260
2019년 09월 29일 21시,96,37.8,133,985,27,97,260,중,소형,동북동,29,370
2019년 09월 29일 21시,120,39.9,141.1,992,23,83,0,-,-,동북동,31,0
2019년 09월 30일 03시,0,21,123.6,975,32,115,320,중,중형,서북서,21,null
2019년 09월 30일 03시,12,23.2,122.6,960,39,140,340,강,중형,북북서,22,50
2019년 09월 30일 03시,24,25.4,122,960,39,140,340,강,중형,북북서,21,110
2019년 09월 30일 03시,36,27.8,121.8,965,37,133,330,강,중형,북,22,140
2019년 09월 30일 03시,48,30.5,122,970,35,126,320,강,중형,북,25,170
2019년 09월 30일 03시,72,34.7,126.4,980,29,104,290,중,소형,북동,26,260
2019년 09월 30일 03시,96,37.4,133.5,990,24,86,250,-,소형,동북동,30,370
2019년 09월 30일 03시,120,40.2,142.4,996,20,72,0,-,-,동북동,35,0
2019년 09월 30일 09시,0,21.6,123,975,32,115,320,중,중형,서북서,16,null
2019년 09월 30일 09시,12,23.5,122.2,965,37,133,330,강,중형,북북서,19,48
2019년 09월 30일 09시,24,25.8,121.7,970,35,126,310,강,중형,북북서,22,110
2019년 09월 30일 09시,36,28.4,121.5,975,32,115,300,중,중형,북,24,140
2019년 09월 30일 09시,48,30.9,122.2,980,29,104,280,중,소형,북북동,24,170
2019년 09월 30일 09시,72,34.9,126.3,985,27,97,250,중,소형,북동,24,260
2019년 09월 30일 09시,96,36.9,132.8,990,24,86,220,-,소형,동북동,26,370
2019년 09월 30일 09시,120,38.4,141.7,1000,17,61,0,-,-,동,34,0
2019년 09월 30일 15시,0,22.8,122.9,970,35,126,320,강,중형,북,22,null
2019년 09월 30일 15시,12,24.7,122.2,965,37,133,320,강,중형,북북서,18,48
2019년 09월 30일 15시,24,27.1,121.5,970,35,126,300,강,중형,북북서,23,110
2019년 09월 30일 15시,36,29.6,121.7,980,29,104,290,중,소형,북,23,140
2019년 09월 30일 15시,48,31.8,122.7,985,27,97,270,중,소형,북동,30,170
