일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 08월 22일 09시,0,23.5,122.5,1002,18,65,200,-,소형,북북서,27,null
2020년 08월 22일 09시,12,24.8,122.9,996,20,72,230,-,소형,북북동,13,60
2020년 08월 22일 09시,24,26.2,124,990,24,86,250,-,소형,북동,16,120
2020년 08월 22일 09시,36,27,125.2,985,27,97,280,중,소형,북동,12,150
2020년 08월 22일 09시,48,27.8,126.2,980,29,104,300,중,중형,북동,11,180
2020년 08월 22일 09시,72,29.5,126.9,970,35,126,320,강,중형,북북동,8,250
2020년 08월 22일 09시,96,32.3,127.1,960,39,140,330,강,중형,북,13,350
2020년 08월 22일 09시,120,36.1,127.8,980,29,104,300,중,중형,북,18,470
2020년 08월 22일 15시,0,24.3,123.3,994,21,76,220,-,소형,북동,20,null
2020년 08월 22일 15시,12,25.2,124.1,985,27,97,240,중,소형,북동,11,60
2020년 08월 22일 15시,24,26.2,124.9,980,29,104,280,중,소형,북동,11,120
2020년 08월 22일 15시,36,27.1,125.6,975,32,115,300,중,중형,북동,10,150
2020년 08월 22일 15시,48,28.1,126.4,965,37,133,310,강,중형,북동,11,180
2020년 08월 22일 15시,72,30.1,127,950,43,155,320,강,중형,북북동,10,250
2020년 08월 22일 15시,96,33.3,127.3,945,45,162,330,매우 강,중형,북,15,350
2020년 08월 22일 15시,120,38,128,985,27,97,250,중,소형,북,22,470
2020년 08월 22일 21시,0,25.4,123.7,990,24,86,230,-,소형,북,23,null
2020년 08월 22일 21시,12,26.2,124.7,985,27,97,260,중,소형,북동,11,60
2020년 08월 22일 21시,24,26.8,125.2,975,32,115,290,중,소형,북동,7,120
2020년 08월 22일 21시,36,27.6,125.8,970,35,126,300,강,중형,북동,9,150
2020년 08월 22일 21시,48,28.5,125.9,960,39,140,320,강,중형,북,8,180
2020년 08월 22일 21시,72,30.2,126.1,945,45,162,330,매우 강,중형,북,8,250
2020년 08월 22일 21시,96,33.4,126.2,955,40,144,310,강,중형,북,15,350
2020년 08월 22일 21시,120,40.3,126.7,990,26,94,230,중,소형,북,32,470
2020년 08월 23일 03시,0,25.8,123.5,990,24,86,230,-,소형,북,7,null
2020년 08월 23일 03시,12,26.5,124.5,985,27,97,250,중,소형,북동,11,60
2020년 08월 23일 03시,24,27.2,125.5,980,29,104,280,중,소형,북동,11,120
2020년 08월 23일 03시,36,28,126.4,970,35,126,300,강,중형,북동,10,150
2020년 08월 23일 03시,48,28.8,126.4,960,39,140,320,강,중형,북,8,180
2020년 08월 23일 03시,72,30.8,126.1,945,45,162,330,매우 강,중형,북,9,250
2020년 08월 23일 03시,96,35,126.3,960,39,140,300,강,중형,북,20,350
2020년 08월 23일 03시,120,41.4,126.8,990,26,94,200,중,소형,북,30,470
2020년 08월 23일 09시,0,26.4,123.9,990,24,86,240,-,소형,북동,14,null
2020년 08월 23일 09시,12,27,124.8,980,29,104,260,중,소형,동북동,10,60
2020년 08월 23일 09시,24,27.6,125.9,975,32,115,290,중,소형,동북동,10,120
2020년 08월 23일 09시,36,28.3,126.2,965,37,133,310,강,중형,북북동,6,150
2020년 08월 23일 09시,48,29.2,126,955,40,144,320,강,중형,북북서,9,180
2020년 08월 23일 09시,72,32.1,125.4,945,45,162,330,매우 강,중형,북북서,13,250
2020년 08월 23일 09시,96,37.1,125.4,965,37,133,300,강,중형,북,23,350
2020년 08월 23일 09시,120,42.6,126.6,992,23,83,150,-,소형,북북동,26,470
2020년 08월 23일 15시,0,26.6,124.4,985,27,97,250,중,소형,동북동,11,null
2020년 08월 23일 15시,12,27.2,125.4,975,32,115,290,중,소형,동북동,10,60
2020년 08월 23일 15시,24,28.1,126.1,970,35,126,300,강,중형,북동,10,120
2020년 08월 23일 15시,36,28.9,126.1,960,39,140,310,강,중형,북,7,150
2020년 08월 23일 15시,48,29.9,125.8,950,43,155,320,강,중형,북북서,10,180
2020년 08월 23일 15시,72,33.3,125.3,945,45,162,330,매우 강,중형,북,16,250
2020년 08월 23일 15시,96,38.9,125.6,970,35,126,280,강,소형,북,26,350
2020년 08월 23일 15시,120,43.8,126.8,994,21,76,0,-,-,북북동,23,0
2020년 08월 23일 21시,0,26.8,125,985,27,97,250,중,소형,동북동,7,null
2020년 08월 23일 21시,12,27.6,125.8,975,32,115,290,중,소형,북동,10,60
2020년 08월 23일 21시,24,28.5,126.2,965,37,133,310,강,중형,북북동,8,120
