일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 08월 20일 15시,0,17.4,141.4,1000,18,65,200,약,소형,북북서,8,0
2012년 08월 20일 15시,24,19.1,139.6,995,20,72,250,약,소형,북서,11,150
2012년 08월 20일 15시,48,20,136.5,985,27,97,280,중,소형,서북서,14,250
2012년 08월 20일 15시,72,20.6,133.6,975,34,122,300,강,중형,서,13,400
2012년 08월 20일 15시,96,21.2,131.1,965,38,137,350,강,중형,서북서,11,550
2012년 08월 20일 15시,120,22.1,128.9,960,40,144,400,강,중형,서북서,10,700
2012년 08월 20일 21시,0,17.9,141.4,996,19,68,200,약,소형,북,9,0
2012년 08월 20일 21시,24,19.8,138.9,990,24,86,250,약,소형,북서,14,150
2012년 08월 20일 21시,48,20.8,135.7,985,27,97,280,중,소형,서북서,15,250
2012년 08월 20일 21시,72,21.6,132.4,975,34,122,300,강,중형,서북서,15,400
2012년 08월 20일 21시,96,22.7,129.6,965,38,137,350,강,중형,서북서,13,550
2012년 08월 20일 21시,120,23.9,127.2,960,40,144,400,강,중형,서북서,12,700
2012년 08월 21일 03시,0,18.1,141.1,992,22,79,250,약,소형,서북서,6,0
2012년 08월 21일 03시,24,19.8,138.4,985,27,97,280,중,소형,서북서,14,150
2012년 08월 21일 03시,48,20.8,135.2,975,34,122,300,강,중형,서북서,15,250
2012년 08월 21일 03시,72,21.8,131.9,965,38,137,330,강,중형,서북서,15,400
2012년 08월 21일 03시,96,22.9,129.2,960,40,144,350,강,중형,서북서,13,550
2012년 08월 21일 03시,120,24.2,126.7,955,41,148,400,강,중형,서북서,12,700
2012년 08월 21일 09시,0,18.2,140.7,992,22,79,250,약,소형,서북서,7,0
2012년 08월 21일 09시,24,19.8,137.7,985,27,97,280,중,소형,서북서,15,150
2012년 08월 21일 09시,48,21,134.1,975,34,122,300,강,중형,서북서,16,250
2012년 08월 21일 09시,72,22,131,965,38,137,330,강,중형,서북서,15,400
2012년 08월 21일 09시,96,23.1,128.3,960,40,144,350,강,중형,서북서,13,550
2012년 08월 21일 09시,120,24.4,126,955,41,148,400,강,중형,서북서,11,700
2012년 08월 21일 15시,0,18.4,140.5,985,27,97,280,중,소형,북서,5,0
2012년 08월 21일 15시,24,19.7,137.5,975,34,122,300,강,중형,서북서,14,150
2012년 08월 21일 15시,48,21.2,133.8,965,38,137,350,강,중형,서북서,18,250
2012년 08월 21일 15시,72,22.3,130.4,955,41,148,400,강,중형,서북서,16,400
2012년 08월 21일 15시,96,23.4,127.7,950,43,155,450,강,중형,서북서,13,550
2012년 08월 21일 15시,120,24.7,126,945,45,162,480,매우강,중형,북서,10,700
2012년 08월 21일 21시,0,18.9,140.2,975,34,122,280,강,소형,북북서,11,0
2012년 08월 21일 21시,24,20.1,137,965,38,137,350,강,중형,서북서,15,150
2012년 08월 21일 21시,48,21.4,133.4,950,43,155,450,강,중형,서북서,17,250
2012년 08월 21일 21시,72,22.5,129.9,945,45,162,470,매우강,중형,서북서,16,400
2012년 08월 21일 21시,96,23.7,127.2,940,47,169,500,매우강,대형,서북서,13,600
2012년 08월 21일 21시,120,25.2,125.3,935,48,173,550,매우강,대형,북서,10,800
2012년 08월 22일 03시,0,19.1,139.5,970,36,130,350,강,중형,서북서,13,0
2012년 08월 22일 03시,24,20.3,136.4,960,40,144,380,강,중형,서북서,15,150
2012년 08월 22일 03시,48,21.6,132.9,950,43,155,450,강,중형,서북서,16,250
2012년 08월 22일 03시,72,22.9,129.4,945,45,162,470,매우강,중형,서북서,16,400
2012년 08월 22일 03시,96,24.1,126.7,940,47,169,500,매우강,대형,서북서,13,600
2012년 08월 22일 03시,120,25.8,124.6,935,48,173,550,매우강,대형,북서,12,800
2012년 08월 22일 09시,0,19.2,138.8,970,36,130,350,강,중형,서,12,0
2012년 08월 22일 09시,24,20.7,135.2,960,40,144,380,강,중형,서북서,17,150
2012년 08월 22일 09시,48,22.2,131.9,950,43,155,450,강,중형,서북서,16,250
2012년 08월 22일 09시,72,23.5,128.8,940,47,169,470,매우강,중형,서북서,14,400
2012년 08월 22일 09시,96,24.8,126.7,935,48,173,550,매우강,대형,서북서,11,600
2012년 08월 22일 09시,120,26.5,124.7,935,48,173,550,매우강,대형,북서,11,800
2012년 08월 22일 15시,0,19.3,138,965,38,137,360,강,중형,서,14,0
2012년 08월 22일 15시,24,21,134.4,955,41,148,400,강,중형,서북서,17,150
2012년 08월 22일 15시,48,22.8,131.2,945,45,162,450,매우강,중형,서북서,16,250
2012년 08월 22일 15시,72,24.4,128.5,940,47,169,500,매우강,대형,서북서,14,400
2012년 08월 22일 15시,96,26.5,126,935,48,173,550,매우강,대형,북서,14,600
2012년 08월 22일 15시,120,28.9,124.3,935,48,173,550,매우강,대형,북서,13,800
2012년 08월 22일 21시,0,19.5,137.5,965,38,137,360,강,중형,서북서,9,0
2012년 08월 22일 21시,24,21.2,134,955,41,148,400,강,중형,서북서,17,150
2012년 08월 22일 21시,48,23.1,130.7,945,45,162,450,매우강,중형,서북서,16,250
2012년 08월 22일 21시,72,25,127.7,940,47,169,500,매우강,대형,서북서,15,400
2012년 08월 22일 21시,96,27.3,125.3,935,48,173,550,매우강,대형,북서,14,600
2012년 08월 22일 21시,120,29.9,123.5,935,48,173,550,매우강,대형,북서,14,800
2012년 08월 23일 03시,0,19.5,136.3,960,40,144,360,강,중형,서,21,0
2012년 08월 23일 03시,24,21.6,133.1,950,43,155,400,강,중형,서북서,17,150
2012년 08월 23일 03시,48,23.6,130,940,47,169,450,매우강,중형,서북서,16,250
2012년 08월 23일 03시,72,25.8,127.2,935,48,173,500,매우강,대형,북서,16,400
2012년 08월 23일 03시,96,28.6,124.7,930,50,180,550,매우강,대형,북서,16,600
2012년 08월 23일 03시,120,31.6,122.9,930,50,180,550,매우강,대형,북북서,16,800
2012년 08월 23일 09시,0,19.7,135.8,960,40,144,360,강,중형,서북서,9,0
2012년 08월 23일 09시,24,21.9,132.5,950,43,155,400,강,중형,서북서,18,150
2012년 08월 23일 09시,48,24.3,129.2,940,47,169,450,매우강,중형,북서,18,250
2012년 08월 23일 09시,72,27,126.6,935,48,173,500,매우강,대형,북서,16,400
2012년 08월 23일 09시,96,30.2,124.8,935,48,173,500,매우강,대형,북북서,16,600
2012년 08월 23일 09시,120,33.7,123.3,945,45,162,450,매우강,중형,북북서,17,800
2012년 08월 23일 15시,0,20,135.3,955,41,148,380,강,중형,서북서,10,0
2012년 08월 23일 15시,24,22.2,132.2,940,47,169,450,매우강,중형,북서,17,150
2012년 08월 23일 15시,48,24.5,129.1,935,48,173,500,매우강,대형,북서,17,250
2012년 08월 23일 15시,72,27.5,126.7,935,48,173,500,매우강,대형,북서,17,400
2012년 08월 23일 15시,96,31,125.5,940,47,169,450,매우강,중형,북북서,17,600
2012년 08월 23일 15시,120,35.8,124.1,950,43,155,400,강,중형,북북서,23,800
2012년 08월 23일 21시,0,20.2,134.1,955,41,148,380,강,중형,서,21,0
2012년 08월 23일 21시,24,22.4,131.6,940,47,169,450,매우강,중형,북서,15,150
2012년 08월 23일 21시,48,24.8,129,935,48,173,500,매우강,대형,북서,16,250
2012년 08월 23일 21시,72,28.2,126.7,935,48,173,500,매우강,대형,북서,18,400
2012년 08월 23일 21시,96,32.3,125.1,950,43,155,400,강,중형,북북서,20,600
2012년 08월 23일 21시,120,37.6,123.9,970,36,130,350,강,중형,북북서,25,800
2012년 08월 24일 03시,0,20.1,133.5,955,41,148,380,강,중형,서,11,0
2012년 08월 24일 03시,24,22.7,131.2,940,47,169,450,매우강,중형,북서,16,150
2012년 08월 24일 03시,48,25.2,128.7,935,48,173,500,매우강,대형,북서,16,250
2012년 08월 24일 03시,72,28.6,126.5,935,48,173,500,매우강,대형,북북서,18,400
2012년 08월 24일 03시,96,32.9,124.9,955,41,148,380,강,중형,북북서,21,600
2012년 08월 24일 03시,120,39,124.1,975,34,122,300,강,중형,북,28,800
