일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2014년 10월 03일 21시,0,8.8,157.7,1000,18,65,180,약,소형,서,17,0
2014년 10월 03일 21시,24,10.5,153.7,992,22,79,190,약,소형,서북서,20,140
2014년 10월 03일 21시,48,12.4,148.8,985,27,97,220,중,소형,서북서,24,230
2014년 10월 03일 21시,72,15.1,144.2,970,36,130,250,강,소형,서북서,24,320
2014년 10월 03일 21시,96,17.5,139.7,955,41,148,270,강,소형,서북서,23,460
2014년 10월 03일 21시,120,19.1,135.7,940,47,169,290,매우강,소형,서북서,19,550
2014년 10월 04일 03시,0,9.1,156.3,998,18,65,200,약,소형,서북서,26,0
2014년 10월 04일 03시,24,11.4,151.5,990,24,86,220,약,소형,서북서,24,140
2014년 10월 04일 03시,48,13.6,146.9,980,31,112,240,중,소형,서북서,23,230
2014년 10월 04일 03시,72,16.2,142.2,965,38,137,260,강,소형,서북서,24,320
2014년 10월 04일 03시,96,18.2,137.5,950,43,155,280,강,소형,서북서,23,460
2014년 10월 04일 03시,120,19.9,134.2,940,47,169,290,매우강,소형,서북서,16,550
2014년 10월 04일 09시,0,9.5,155.5,998,18,65,230,약,소형,서북서,16,0
2014년 10월 04일 09시,24,12,150.1,995,20,72,250,약,소형,서북서,27,140
2014년 10월 04일 09시,48,14.3,145,975,34,122,270,강,소형,서북서,25,230
2014년 10월 04일 09시,72,16.5,140.3,960,40,144,290,강,소형,서북서,24,320
2014년 10월 04일 09시,96,18.9,136,950,43,155,310,강,중형,서북서,22,460
2014년 10월 04일 09시,120,20.9,132.8,940,47,169,330,매우강,중형,서북서,17,550
2014년 10월 04일 15시,0,10.2,154.1,990,24,86,250,약,소형,서북서,29,0
2014년 10월 04일 15시,24,12.7,148.9,980,31,112,270,중,소형,서북서,26,140
2014년 10월 04일 15시,48,14.9,143.4,970,36,130,300,강,중형,서북서,27,230
2014년 10월 04일 15시,72,17,138.9,950,43,155,350,강,중형,서북서,22,320
2014년 10월 04일 15시,96,19.2,134.9,945,45,162,380,매우강,중형,서북서,20,460
2014년 10월 04일 15시,120,21.1,132.5,940,47,169,400,매우강,중형,북서,14,550
2014년 10월 04일 21시,0,10.9,153,988,25,90,230,중,소형,서북서,24,0
2014년 10월 04일 21시,24,13.1,148.2,980,31,112,250,중,소형,서북서,26,140
2014년 10월 04일 21시,48,15.3,142.8,965,38,137,280,강,소형,서북서,26,230
2014년 10월 04일 21시,72,17.4,138.4,945,45,162,330,매우강,중형,서북서,22,320
2014년 10월 04일 21시,96,19.4,134.7,940,47,169,350,매우강,중형,서북서,19,460
2014년 10월 04일 21시,120,21.2,132.8,935,48,173,370,매우강,중형,북서,11,550
2014년 10월 05일 03시,0,11.8,151.6,980,31,112,250,중,소형,서북서,30,0
2014년 10월 05일 03시,24,14,146.9,970,36,130,270,강,소형,서북서,24,140
2014년 10월 05일 03시,48,16.3,141,955,41,148,290,강,소형,서북서,29,230
2014년 10월 05일 03시,72,18.2,136.3,940,47,169,330,매우강,중형,서북서,22,320
2014년 10월 05일 03시,96,19.7,133.2,935,48,173,350,매우강,중형,서북서,15,460
2014년 10월 05일 03시,120,20.9,131.5,935,48,173,350,매우강,중형,북서,9,550
2014년 10월 05일 09시,0,12.6,149.9,975,34,122,270,강,소형,서북서,34,0
2014년 10월 05일 09시,24,15,144.2,960,40,144,280,강,소형,서북서,28,140
2014년 10월 05일 09시,48,17.1,138.2,950,43,155,290,강,소형,서북서,28,230
2014년 10월 05일 09시,72,18.3,134,940,47,169,330,매우강,중형,서북서,19,320
2014년 10월 05일 09시,96,19.5,131.9,935,48,173,350,매우강,중형,서북서,11,460
2014년 10월 05일 09시,120,20.9,130.9,935,48,173,350,매우강,중형,북서,8,550
2014년 10월 05일 15시,0,13,148.3,975,34,122,270,강,소형,서북서,30,0
2014년 10월 05일 15시,24,15.5,142.4,960,40,144,280,강,소형,서북서,29,140
2014년 10월 05일 15시,48,17.2,136.4,950,43,155,300,강,중형,서북서,28,230
2014년 10월 05일 15시,72,18.4,132.9,940,47,169,330,매우강,중형,서북서,17,320
2014년 10월 05일 15시,96,19.7,131.5,930,50,180,350,매우강,중형,북서,9,460
2014년 10월 05일 15시,120,20.8,131,930,50,180,350,매우강,중형,북북서,6,550
2014년 10월 05일 21시,0,13.4,146.9,970,36,130,280,강,소형,서북서,26,0
2014년 10월 05일 21시,24,16.1,140.8,960,40,144,290,강,소형,서북서,30,140
2014년 10월 05일 21시,48,17.6,135.4,950,43,155,300,강,중형,서북서,25,230
2014년 10월 05일 21시,72,18.6,132.6,940,47,169,330,매우강,중형,서북서,13,320
2014년 10월 05일 21시,96,20.2,131.4,930,50,180,350,매우강,중형,북북서,10,460
2014년 10월 05일 21시,120,21.8,131.6,930,50,180,350,매우강,중형,북,7,550
2014년 10월 06일 03시,0,14.5,145.5,970,36,130,280,강,소형,북서,32,0
2014년 10월 06일 03시,24,16.5,139.3,955,41,148,290,강,소형,서북서,30,140
2014년 10월 06일 03시,48,17.8,134.6,945,45,162,300,매우강,중형,서북서,21,230
2014년 10월 06일 03시,72,18.5,132.4,930,50,180,330,매우강,중형,서북서,10,320
2014년 10월 06일 03시,96,20.3,132.1,930,50,180,330,매우강,중형,북,8,460
2014년 10월 06일 03시,120,23.2,132.2,935,48,173,320,매우강,중형,북,13,550
2014년 10월 06일 09시,0,15.3,143.4,965,38,137,300,강,중형,서북서,40,0
2014년 10월 06일 09시,24,17,137.5,955,41,148,320,강,중형,서북서,27,140
2014년 10월 06일 09시,48,18.1,133.7,945,45,162,330,매우강,중형,서북서,18,230
2014년 10월 06일 09시,72,19,132.3,930,50,180,350,매우강,중형,북서,7,320
2014년 10월 06일 09시,96,20.7,132.1,930,50,180,350,매우강,중형,북,8,460
2014년 10월 06일 09시,120,23.7,132.2,935,48,173,340,매우강,중형,북,14,550
2014년 10월 06일 15시,0,15.8,141.1,965,38,137,270,강,소형,서북서,42,0
2014년 10월 06일 15시,24,17.6,135.5,950,43,155,300,강,중형,서북서,26,140
2014년 10월 06일 15시,48,18.8,132.3,940,47,169,320,매우강,중형,서북서,15,230
2014년 10월 06일 15시,72,20.2,131.7,930,50,180,350,매우강,중형,북북서,7,320
2014년 10월 06일 15시,96,21.7,131.8,930,50,180,350,매우강,중형,북,7,460
2014년 10월 06일 15시,120,24.6,131.8,935,48,173,330,매우강,중형,북,14,550
2014년 10월 06일 21시,0,16.8,139.5,965,38,137,270,강,소형,서북서,34,0
2014년 10월 06일 21시,24,17.7,134.2,950,43,155,300,강,중형,서,24,140
2014년 10월 06일 21시,48,18.4,131.3,940,47,169,320,매우강,중형,서북서,13,230
2014년 10월 06일 21시,72,20.1,131.4,930,50,180,350,매우강,중형,북,8,320
2014년 10월 06일 21시,96,22.8,132,930,50,180,350,매우강,중형,북,13,460
2014년 10월 06일 21시,120,26.3,132.6,935,48,173,330,매우강,중형,북,16,550
2014년 10월 07일 03시,0,16.8,137.9,965,38,137,270,강,소형,서,28,0
2014년 10월 07일 03시,24,17.8,133.3,950,43,155,300,강,중형,서,20,140
2014년 10월 07일 03시,48,18.8,131.5,940,47,169,320,매우강,중형,서북서,9,230
2014년 10월 07일 03시,72,20.7,131.4,930,50,180,350,매우강,중형,북,9,320
2014년 10월 07일 03시,96,23.5,132.2,935,48,173,330,매우강,중형,북북동,13,460
2014년 10월 07일 03시,120,26.6,132.4,940,47,169,320,매우강,중형,북,14,550
2014년 10월 07일 09시,0,16.9,136.5,950,43,155,300,강,중형,서,25,0
2014년 10월 07일 09시,24,18.1,131.9,945,45,162,310,매우강,중형,서북서,21,140
2014년 10월 07일 09시,48,19.7,130.7,935,48,173,320,매우강,중형,북서,9,230
2014년 10월 07일 09시,72,21.2,130.8,930,50,180,350,매우강,중형,북,7,320
2014년 10월 07일 09시,96,24,131.5,940,47,169,330,매우강,중형,북북동,13,460
2014년 10월 07일 09시,120,27.8,131.1,945,45,162,320,매우강,중형,북,18,550
2014년 10월 07일 15시,0,17.3,135.3,950,43,155,310,강,중형,서북서,23,0
2014년 10월 07일 15시,24,18.6,131.2,935,48,173,350,매우강,중형,서북서,19,140
2014년 10월 07일 15시,48,20.3,130.8,925,51,184,380,매우강,중형,북북서,8,230
2014년 10월 07일 15시,72,22,130.9,925,51,184,380,매우강,중형,북,8,320
2014년 10월 07일 15시,96,25.4,131.2,935,48,173,350,매우강,중형,북,16,460
2014년 10월 07일 15시,120,28.5,130.7,945,45,162,320,매우강,중형,북,14,550
2014년 10월 07일 21시,0,17.4,134.2,920,53,191,350,매우강,중형,서,20,0
2014년 10월 07일 21시,24,18.7,131.2,910,56,202,370,매우강,중형,서북서,15,140
2014년 10월 07일 21시,48,20.5,130.8,910,56,202,370,매우강,중형,북북서,8,230
2014년 10월 07일 21시,72,22.3,130.9,920,53,191,350,매우강,중형,북,8,320
2014년 10월 07일 21시,96,25.6,131.2,935,48,173,330,매우강,중형,북,16,460
2014년 10월 07일 21시,120,28.9,130.6,950,43,155,310,강,중형,북,15,550
2014년 10월 08일 03시,0,17.6,133.2,900,59,212,380,매우강,중형,서북서,18,0
2014년 10월 08일 03시,24,19.2,131.1,895,60,216,400,매우강,중형,북서,12,140
2014년 10월 08일 03시,48,21.1,130.8,900,59,212,380,매우강,중형,북,9,230
2014년 10월 08일 03시,72,23.5,131.1,920,53,191,350,매우강,중형,북,11,320
2014년 10월 08일 03시,96,27.2,130.9,940,47,169,320,매우강,중형,북,17,460
2014년 10월 08일 03시,120,30.1,130.7,960,40,144,300,강,중형,북,13,550
2014년 10월 08일 09시,0,17.9,132.2,900,59,212,380,매우강,중형,서북서,19,0
2014년 10월 08일 09시,24,19.9,130.8,895,60,216,400,매우강,중형,북서,11,140
2014년 10월 08일 09시,48,21.7,130.8,900,59,212,380,매우강,중형,북,8,230
2014년 10월 08일 09시,72,24.9,131.3,915,54,194,350,매우강,중형,북,15,320
2014년 10월 08일 09시,96,27.9,130.8,940,47,169,320,매우강,중형,북,14,460
2014년 10월 08일 09시,120,30.5,130.5,960,40,144,300,강,중형,북,12,550
2014년 10월 08일 15시,0,18.2,131.5,900,59,212,380,매우강,중형,서북서,14,0
2014년 10월 08일 15시,24,20.1,130.7,895,60,216,400,매우강,중형,북북서,10,140
2014년 10월 08일 15시,48,23,131,900,59,212,380,매우강,중형,북,13,230
2014년 10월 08일 15시,72,25.8,131.1,915,54,194,360,매우강,중형,북,13,320
2014년 10월 08일 15시,96,28.9,130.5,940,47,169,320,매우강,중형,북북서,15,460
