일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 06월 29일 09시,0,20,130.3,998,18,65,150,약,소형,서북서,7,null
2018년 06월 29일 09시,12,21.3,129.5,996,20,72,150,약,소형,북북서,14,48
2018년 06월 29일 09시,24,22.8,128.3,994,21,76,170,약,소형,북서,17,110
2018년 06월 29일 09시,36,24.2,127.4,985,27,97,200,중,소형,북북서,15,140
2018년 06월 29일 09시,48,26.6,126.5,980,29,104,200,중,소형,북북서,23,170
2018년 06월 29일 09시,60,29.6,125.8,985,27,97,170,중,소형,북북서,28,210
2018년 06월 29일 09시,72,32.9,125.9,990,24,86,150,약,소형,북,31,250
2018년 06월 29일 09시,84,36.6,126.5,1000,17,61,0,-,-,북,35,0
2018년 06월 29일 15시,0,20.3,130.1,998,18,65,150,약,소형,북북서,7,null
2018년 06월 29일 15시,12,21.8,128.9,994,21,76,180,약,소형,북서,17,48
2018년 06월 29일 15시,24,23.4,127.8,985,27,97,220,중,소형,북서,18,110
2018년 06월 29일 15시,36,25.3,126.9,980,29,104,250,중,소형,북북서,19,140
2018년 06월 29일 15시,48,28,126.1,980,29,104,250,중,소형,북북서,26,170
2018년 06월 29일 15시,60,31.2,125.8,985,27,97,220,중,소형,북,29,210
2018년 06월 29일 15시,72,34.6,126.1,994,21,76,140,약,소형,북,32,250
2018년 06월 29일 15시,84,37.7,127.6,1000,17,61,0,-,-,북,22,0
2018년 06월 29일 21시,0,20.3,129.9,998,18,65,160,약,소형,서,3,null
2018년 06월 29일 21시,12,21.8,128.5,992,23,83,200,약,소형,북서,18,50
2018년 06월 29일 21시,24,23.7,127.7,985,27,97,230,중,소형,북북서,19,110
2018년 06월 29일 21시,36,26.1,126.5,980,29,104,250,중,소형,북북서,24,140
2018년 06월 29일 21시,48,29.5,125.8,980,29,104,250,중,소형,북북서,32,170
2018년 06월 29일 21시,60,33,125.8,990,24,86,200,약,소형,북,33,210
2018년 06월 29일 21시,72,36.6,126.5,1000,17,61,0,-,-,북북동,29,0
2018년 06월 30일 03시,0,20.3,129.7,994,21,76,180,약,소형,서,3,null
2018년 06월 30일 03시,12,21.1,128.4,985,27,97,220,중,소형,서북서,13,50
2018년 06월 30일 03시,24,23.8,127.1,980,29,104,250,중,소형,북북서,27,110
2018년 06월 30일 03시,36,26.9,126.1,980,29,104,250,중,소형,북북서,30,140
2018년 06월 30일 03시,48,30.4,125.8,990,24,86,220,약,소형,북,32,170
2018년 06월 30일 03시,60,33.9,126,994,21,76,140,약,소형,북,32,210
2018년 06월 30일 03시,72,37,127.6,1000,17,61,0,-,-,북동,24,0
2018년 06월 30일 09시,0,20.1,129.8,990,24,86,200,약,소형,남남동,4,null
2018년 06월 30일 09시,12,21.2,128.3,980,29,104,240,중,소형,북서,17,50
2018년 06월 30일 09시,24,23.6,127.1,980,29,104,250,중,소형,북북서,18,110
2018년 06월 30일 09시,36,26.5,126.1,985,27,97,240,중,소형,북북서,18,140
2018년 06월 30일 09시,48,30.5,125.7,992,23,83,200,약,소형,북,38,170
2018년 06월 30일 09시,60,33.9,126,996,20,72,180,약,소형,북,31,210
2018년 06월 30일 09시,72,36.6,127.2,1000,17,61,0,-,-,북동,23,0
2018년 06월 30일 15시,0,20.9,129.5,985,27,97,230,중,소형,북북서,16,null
2018년 06월 30일 15시,12,23,127.7,980,29,104,250,중,소형,북서,25,50
2018년 06월 30일 15시,24,25.8,126.2,980,29,104,270,중,소형,북북서,29,110
2018년 06월 30일 15시,36,28.6,125.9,985,27,97,250,중,소형,북,26,140
2018년 06월 30일 15시,48,32.2,125.9,994,21,76,230,약,소형,북,33,170
2018년 06월 30일 15시,60,35.4,126.4,1000,17,61,0,-,-,북,29,0
2018년 06월 30일 21시,0,21.7,128.9,985,27,97,250,중,소형,북서,18,null
2018년 06월 30일 21시,12,24.1,126.9,980,29,104,270,중,소형,북서,28,48
2018년 06월 30일 21시,24,27,126.2,980,29,104,270,중,소형,북북서,27,110
2018년 06월 30일 21시,36,30.2,125.9,985,27,97,250,중,소형,북,30,140
2018년 06월 30일 21시,48,33.8,126,994,21,76,220,약,소형,북,34,170
2018년 06월 30일 21시,60,36.5,127.3,1000,17,61,0,-,-,북동,20,0
2018년 07월 01일 03시,0,22.8,128.1,985,27,97,250,중,소형,북서,25,null
2018년 07월 01일 03시,12,25.1,126.7,980,29,104,270,중,소형,북북서,24,50
2018년 07월 01일 03시,24,27.4,126.1,980,29,104,270,중,소형,북북서,22,110
2018년 07월 01일 03시,36,30.5,126.3,985,27,97,250,중,소형,북,29,140
2018년 07월 01일 03시,48,33.8,127.2,990,24,86,240,약,소형,북북동,31,170
2018년 07월 01일 03시,60,36.6,128.8,992,23,83,230,약,소형,북북동,29,210
2018년 07월 01일 03시,72,39.2,131.7,994,21,76,220,약,소형,북동,32,250
2018년 07월 01일 03시,84,40.8,134.7,996,20,72,200,약,소형,동북동,26,290
2018년 07월 01일 03시,96,41.8,137.9,998,19,68,0,-,-,북북동,23,0
2018년 07월 01일 09시,0,23.7,127.4,985,27,97,250,중,소형,북서,21,null
2018년 07월 01일 09시,12,26.2,126.3,980,29,104,270,중,소형,북북서,25,50
2018년 07월 01일 09시,24,28.9,126.1,985,27,97,250,중,소형,북,24,110
2018년 07월 01일 09시,36,32.1,126.7,990,24,86,230,약,소형,북,30,140
2018년 07월 01일 09시,48,35.2,127.9,992,23,83,220,약,소형,북북동,29,170
2018년 07월 01일 09시,60,37.9,130.2,994,21,76,200,약,소형,북동,31,210
2018년 07월 01일 09시,72,40.1,133.2,996,20,72,200,약,소형,북동,30,250
2018년 07월 01일 09시,84,41.3,136.5,998,19,68,0,-,-,북북동,24,0
2018년 07월 01일 15시,0,24.5,127.2,985,27,97,250,중,소형,북북서,15,null
2018년 07월 01일 15시,12,26.3,126.3,980,29,104,270,중,소형,북북서,18,50
2018년 07월 01일 15시,24,29.4,126.2,985,27,97,250,중,소형,북,28,110
2018년 07월 01일 15시,36,32.4,126.8,990,24,86,230,약,소형,북북동,28,140
2018년 07월 01일 15시,48,35.6,128.4,992,23,83,210,약,소형,북북동,32,170
2018년 07월 01일 15시,60,38.7,131.6,994,21,76,200,약,소형,북동,37,210
2018년 07월 01일 15시,72,41,136.6,998,19,68,0,-,-,북북동,27,0
2018년 07월 01일 21시,0,25.5,126.8,980,29,104,280,중,소형,북북서,20,null
2018년 07월 01일 21시,12,28.1,126.4,980,29,104,260,중,소형,북,24,50
2018년 07월 01일 21시,24,30.8,126.6,985,27,97,240,중,소형,북,25,110
2018년 07월 01일 21시,36,33.5,127.3,990,24,86,220,약,소형,북북동,26,140
2018년 07월 01일 21시,48,35.7,129.9,992,23,83,200,약,소형,북동,28,170
2018년 07월 01일 21시,60,40.1,135.1,996,20,72,0,-,-,북북동,29,0
2018년 07월 02일 03시,0,26.2,126.8,980,29,104,280,중,소형,북,13,null
2018년 07월 02일 03시,12,28.9,126.5,985,27,97,260,중,소형,북,25,50
2018년 07월 02일 03시,24,31.8,126.8,990,24,86,230,약,소형,북,26,110
2018년 07월 02일 03시,36,34.4,128.3,992,23,83,210,약,소형,북북동,26,140
2018년 07월 02일 03시,48,37.4,132,996,20,72,200,약,소형,북동,44,170
2018년 07월 02일 03시,60,41.7,137.3,998,19,68,0,-,-,북동,47,0
2018년 07월 02일 09시,0,27.2,127.1,975,32,115,280,중,소형,북북동,19,null
2018년 07월 02일 09시,12,30.4,126.5,980,29,104,250,중,소형,북,30,50
2018년 07월 02일 09시,24,33.1,127.5,990,24,86,220,약,소형,북동,31,110
2018년 07월 02일 09시,36,35.4,130,994,21,76,200,약,소형,북동,28,140
2018년 07월 02일 09시,48,38.6,133.8,996,20,72,180,약,소형,북동,41,170
