일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 09월 11일 09시,0,9.4,134,1004,18,65,200,약,소형,북서,4,0
2012년 09월 11일 09시,24,11.6,132.4,998,18,65,200,약,소형,북서,13,150
2012년 09월 11일 09시,48,15,130.4,990,24,86,250,약,소형,북북서,18,250
2012년 09월 11일 09시,72,18.3,129,980,31,112,300,중,중형,북북서,17,400
2012년 09월 11일 09시,96,20.8,128.1,975,34,122,320,강,중형,북북서,12,600
2012년 09월 11일 09시,120,23.3,127.2,960,40,144,350,강,중형,북북서,12,800
2012년 09월 11일 15시,0,10.6,133.9,1000,18,65,200,약,소형,북,22,0
2012년 09월 11일 15시,24,14.2,132.8,994,21,76,200,약,소형,북북서,17,150
2012년 09월 11일 15시,48,17,131,985,27,97,280,중,소형,북북서,15,250
2012년 09월 11일 15시,72,20,129.5,975,34,122,320,강,중형,북북서,15,400
2012년 09월 11일 15시,96,22.9,127.9,970,36,130,350,강,중형,북북서,15,550
2012년 09월 11일 15시,120,26.2,127.2,960,40,144,400,강,중형,북북서,16,700
2012년 09월 11일 21시,0,11.4,133.4,996,19,68,200,약,소형,북북서,17,0
2012년 09월 11일 21시,24,14.6,132.2,990,24,86,250,약,소형,북북서,16,150
2012년 09월 11일 21시,48,17.7,130.9,985,27,97,280,중,소형,북북서,15,250
2012년 09월 11일 21시,72,20.6,129.4,975,34,122,320,강,중형,북북서,15,400
2012년 09월 11일 21시,96,23.6,127.9,965,38,137,380,강,중형,북북서,15,550
2012년 09월 11일 21시,120,27.1,126.9,960,40,144,400,강,중형,북북서,17,700
2012년 09월 12일 03시,0,11.8,132.5,996,19,68,200,약,소형,서북서,18,0
2012년 09월 12일 03시,24,14.8,131,990,24,86,250,약,소형,북북서,15,150
2012년 09월 12일 03시,48,17.8,129.9,980,31,112,300,중,중형,북북서,15,250
2012년 09월 12일 03시,72,21.2,128.6,970,36,130,350,강,중형,북북서,17,400
2012년 09월 12일 03시,96,25.2,127.3,960,40,144,400,강,중형,북북서,19,550
2012년 09월 12일 03시,120,29.4,126.7,965,38,137,380,강,중형,북,20,700
2012년 09월 12일 09시,0,12.6,131.8,992,22,79,220,약,소형,북서,20,0
2012년 09월 12일 09시,24,15.7,130.7,980,31,112,300,중,중형,북북서,15,150
2012년 09월 12일 09시,48,18.8,129.4,970,36,130,350,강,중형,북북서,15,250
2012년 09월 12일 09시,72,22.3,128,960,40,144,400,강,중형,북북서,17,400
2012년 09월 12일 09시,96,26.4,127.2,960,40,144,400,강,중형,북북서,19,550
2012년 09월 12일 09시,120,30.7,126.7,965,38,137,380,강,중형,북,20,700
2012년 09월 12일 15시,0,13,131.1,992,22,79,220,약,소형,서북서,15,0
2012년 09월 12일 15시,24,16.1,130.2,980,31,112,300,중,중형,북북서,15,150
2012년 09월 12일 15시,48,19.4,129.2,965,38,137,380,강,중형,북북서,16,250
2012년 09월 12일 15시,72,23.1,128,960,40,144,400,강,중형,북북서,18,400
2012년 09월 12일 15시,96,27.1,127.1,960,40,144,400,강,중형,북북서,19,550
2012년 09월 12일 15시,120,31.8,126.8,965,38,137,380,강,중형,북,22,700
2012년 09월 12일 21시,0,13.6,130.6,980,31,112,300,중,중형,북서,14,0
2012년 09월 12일 21시,24,16.9,129.8,965,38,137,380,강,중형,북북서,16,150
2012년 09월 12일 21시,48,20.3,128.9,955,41,148,430,강,중형,북북서,16,250
2012년 09월 12일 21시,72,24,127.7,950,43,155,450,강,중형,북북서,18,400
2012년 09월 12일 21시,96,28.2,126.9,955,41,148,430,강,중형,북,20,550
2012년 09월 12일 21시,120,32.8,126.9,965,38,137,380,강,중형,북,21,700
2012년 09월 13일 03시,0,14.2,130,980,31,112,300,중,중형,북서,15,0
2012년 09월 13일 03시,24,17.5,129.1,965,38,137,380,강,중형,북북서,16,150
2012년 09월 13일 03시,48,21.2,128.2,955,41,148,430,강,중형,북북서,18,250
2012년 09월 13일 03시,72,25.1,127.3,950,43,155,450,강,중형,북북서,18,400
2012년 09월 13일 03시,96,29.4,126.7,955,41,148,430,강,중형,북,20,550
2012년 09월 13일 03시,120,34.2,127.2,965,38,137,380,강,중형,북,22,700
2012년 09월 13일 09시,0,14.8,129.8,970,36,130,350,강,중형,북북서,12,0
2012년 09월 13일 09시,24,18.4,128.8,960,40,144,400,강,중형,북북서,17,150
2012년 09월 13일 09시,48,22.2,127.9,950,43,155,450,강,중형,북북서,18,250
2012년 09월 13일 09시,72,26.2,127.1,945,45,162,480,매우강,중형,북북서,19,400
2012년 09월 13일 09시,96,30.6,126.8,955,41,148,430,강,중형,북,20,550
2012년 09월 13일 09시,120,35,127.1,970,36,130,350,강,중형,북,20,700
2012년 09월 13일 15시,0,15.6,129.5,950,43,155,450,강,중형,북북서,16,0
2012년 09월 13일 15시,24,19,128.7,940,47,169,500,매우강,대형,북북서,16,150
2012년 09월 13일 15시,48,22.6,127.8,935,48,173,520,매우강,대형,북북서,17,250
2012년 09월 13일 15시,72,26.6,127,940,47,169,500,매우강,대형,북북서,19,400
2012년 09월 13일 15시,96,30.9,126.8,955,41,148,430,강,중형,북,20,550
2012년 09월 13일 15시,120,35.3,127.1,970,36,130,350,강,중형,북,20,700
2012년 09월 13일 21시,0,16.3,129.6,930,50,180,520,매우강,대형,북,13,0
2012년 09월 13일 21시,24,20,128.6,925,51,184,530,매우강,대형,북북서,18,150
2012년 09월 13일 21시,48,23.9,127.6,920,53,191,540,매우강,대형,북북서,19,250
2012년 09월 13일 21시,72,28.9,126.9,940,47,169,500,매우강,대형,북,23,400
2012년 09월 13일 21시,96,35,127.1,965,38,137,380,강,중형,북,28,550
2012년 09월 13일 21시,120,41.4,129.4,985,27,97,250,중,소형,북북동,31,700
2012년 09월 14일 03시,0,17.2,129.7,915,54,194,530,매우강,대형,북,17,0
2012년 09월 14일 03시,24,21.1,128.3,910,56,202,540,매우강,대형,북북서,19,150
2012년 09월 14일 03시,48,25.4,127.4,925,51,184,510,매우강,대형,북북서,20,250
2012년 09월 14일 03시,72,30.6,126.9,945,45,162,480,매우강,중형,북,24,400
2012년 09월 14일 03시,96,36.8,127.5,970,36,130,350,강,중형,북,29,550
2012년 09월 14일 03시,120,44.6,130.9,985,27,97,250,중,소형,북북동,38,700
