일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 08월 16일 09시,0,15.2,143.2,998,18,65,200,약,소형,북북서,38,null
2018년 08월 16일 09시,24,21.1,141.2,992,23,83,250,약,소형,북북서,29,110
2018년 08월 16일 09시,48,24.6,140.9,985,27,97,280,중,소형,북,16,170
2018년 08월 16일 09시,72,26,140.2,980,29,104,320,중,중형,북북서,7,250
2018년 08월 16일 09시,96,27.4,137.2,970,35,126,350,강,중형,서북서,14,330
2018년 08월 16일 09시,120,29.6,134.4,970,35,126,350,강,중형,북서,15,450
2018년 08월 16일 15시,0,16.3,142.8,996,20,72,220,약,소형,북북서,22,null
2018년 08월 16일 15시,24,22.2,141.1,990,24,86,260,약,소형,북북서,28,110
2018년 08월 16일 15시,48,25,140.6,980,29,104,300,중,중형,북,13,170
2018년 08월 16일 15시,72,26.3,139.6,975,32,115,330,중,중형,북서,7,250
2018년 08월 16일 15시,96,28,136.4,970,35,126,350,강,중형,서북서,15,330
2018년 08월 16일 15시,120,30,134,970,35,126,350,강,중형,북서,15,450
2018년 08월 16일 21시,0,18.4,141.8,994,21,76,230,약,소형,북북서,25,null
2018년 08월 16일 21시,24,23.2,140.9,990,24,86,270,약,소형,북,22,110
2018년 08월 16일 21시,48,25.5,140.4,975,32,115,300,중,중형,북북서,11,170
2018년 08월 16일 21시,72,26.7,138.9,970,35,126,330,강,중형,북서,8,250
2018년 08월 16일 21시,96,28.5,135.7,960,39,140,350,강,중형,서북서,16,330
2018년 08월 16일 21시,120,30.1,133.4,960,39,140,350,강,중형,북서,12,450
2018년 08월 17일 03시,0,20,141.7,992,23,83,240,약,소형,북,30,null
2018년 08월 17일 03시,24,23.9,140.8,985,27,97,280,중,소형,북북서,19,110
2018년 08월 17일 03시,48,25.8,140.2,970,35,126,320,강,중형,북북서,9,170
2018년 08월 17일 03시,72,27.1,138.2,965,37,133,330,강,중형,북서,10,250
2018년 08월 17일 03시,96,28.9,135,960,39,140,350,강,중형,서북서,16,330
2018년 08월 17일 03시,120,30.2,132.2,960,39,140,350,강,중형,서북서,13,450
2018년 08월 17일 09시,0,21.4,141,990,24,86,250,약,소형,북북서,29,null
2018년 08월 17일 09시,24,24.5,140.3,975,32,115,300,중,중형,북북서,15,110
2018년 08월 17일 09시,48,26,139.7,965,37,133,330,강,중형,북북서,7,170
2018년 08월 17일 09시,72,27.6,137.1,955,40,144,350,강,중형,서북서,13,250
2018년 08월 17일 09시,96,29.3,134,955,40,144,350,강,중형,서북서,15,330
