老矫,,困档(N),版档(E),吝缴扁拘,檬加(m/s),矫加(km/h),碍浅馆版(km)[抗寇馆版],碍档,农扁,柳青规氢,捞悼加档(km/h),70% 犬伏 馆版(km)
2021斥 08岿 20老 21矫,0,19.1,129.9,1004,18,65,150,-,家屈,合合辑,14,null
2021斥 08岿 20老 21矫,12,21.3,128.2,1004,18,65,150,-,家屈,合辑,25,55
2021斥 08岿 20老 21矫,24,23.5,126.8,1002,18,65,160,-,家屈,合合辑,23,110
2021斥 08岿 20老 21矫,36,25.1,125.8,1002,18,65,160,-,家屈,合合辑,18,140
2021斥 08岿 20老 21矫,48,27.4,125.6,1002,18,65,150,-,家屈,合,24,170
2021斥 08岿 20老 21矫,60,30.2,126.2,1004,15,54,0,-,-,合合悼,28,0
2021斥 08岿 21老 03矫,0,19.9,129.5,1004,18,65,150,-,家屈,合合辑,20,null
2021斥 08岿 21老 03矫,12,21.9,127.5,1002,18,65,160,-,家屈,合辑,25,55
2021斥 08岿 21老 03矫,24,24,126,1002,18,65,160,-,家屈,合合辑,23,110
2021斥 08岿 21老 03矫,36,26.2,125,1002,18,65,160,-,家屈,合合辑,22,140
2021斥 08岿 21老 03矫,48,28.5,125.2,1004,17,61,150,-,家屈,合,22,170
2021斥 08岿 21老 03矫,60,31.3,126.6,1006,15,54,0,-,-,合合悼,28,0
2021斥 08岿 21老 09矫,0,21.3,128.2,1004,18,65,130,-,家屈,合辑,43,null
2021斥 08岿 21老 09矫,12,22.9,126.7,1002,18,65,160,-,家屈,合辑,20,60
2021斥 08岿 21老 09矫,24,25.1,125.4,1002,18,65,160,-,家屈,合合辑,22,110
2021斥 08岿 21老 09矫,36,27.3,125,1002,17,61,160,-,家屈,合,21,140
2021斥 08岿 21老 09矫,48,31.2,126.5,1002,15,54,0,-,-,合合悼,34,170
2021斥 08岿 21老 09矫,60,35.3,128.9,1004,14,50,0,-,-,合合悼,47,200
2021斥 08岿 21老 09矫,72,37,130.4,1004,14,50,0,-,-,合悼,19,0
2021斥 08岿 21老 15矫,0,22.1,127.3,1002,18,65,150,-,家屈,合辑,25,null
2021斥 08岿 21老 15矫,12,23.3,126,1002,18,65,160,-,家屈,合辑,16,60
2021斥 08岿 21老 15矫,24,25.7,124.5,1002,18,65,160,-,家屈,合合辑,26,110
2021斥 08岿 21老 15矫,36,29.3,124.2,1002,17,61,150,-,家屈,合,33,140
2021斥 08岿 21老 15矫,48,32.6,125.3,1002,15,54,0,-,-,合合悼,32,170
2021斥 08岿 21老 15矫,60,37.3,128.8,1004,14,50,0,-,-,合合悼,35,0
2021斥 08岿 21老 21矫,0,22.6,126.8,1002,18,65,150,-,家屈,合,4,null
2021斥 08岿 21老 21矫,12,24.4,125.4,1000,19,68,160,-,家屈,合辑,21,60
2021斥 08岿 21老 21矫,24,26.6,124.4,1000,19,68,160,-,家屈,合合辑,22,110
2021斥 08岿 21老 21矫,36,30.2,124.6,1002,17,61,150,-,家屈,合,33,140
2021斥 08岿 21老 21矫,48,34.4,126.5,1002,15,54,0,-,-,合合悼,42,170
2021斥 08岿 21老 21矫,60,38.1,130.6,1004,14,50,0,-,-,合悼,46,0
2021斥 08岿 22老 03矫,0,23.4,126.3,1000,19,68,160,-,家屈,合辑,20,null
2021斥 08岿 22老 03矫,12,25.5,125,1000,19,68,160,-,家屈,合合辑,22,60
2021斥 08岿 22老 03矫,24,27.8,124.3,1002,17,61,150,-,家屈,合合辑,22,110
2021斥 08岿 22老 03矫,36,32.1,125,1002,15,54,0,-,-,合,40,140
2021斥 08岿 22老 03矫,48,36.3,128.5,1004,14,50,0,-,-,合合悼,47,0
2021斥 08岿 22老 09矫,0,24.4,125.8,998,21,76,160,-,家屈,合合辑,21,null
2021斥 08岿 22老 09矫,12,26.5,124.5,998,21,76,160,-,家屈,合合辑,22,60
2021斥 08岿 22老 09矫,24,29.8,124.4,1000,18,65,150,-,家屈,合,40,110
2021斥 08岿 22老 09矫,36,34.3,126.8,1002,17,61,130,-,家屈,合合悼,46,140
2021斥 08岿 22老 09矫,48,37.8,131.4,1002,15,54,0,-,-,合悼,48,0
2021斥 08岿 22老 15矫,0,25.1,125.3,990,24,86,180,-,家屈,合辑,18,null
2021斥 08岿 22老 15矫,6,26.5,124.5,992,23,83,180,-,家屈,合合辑,29,30
2021斥 08岿 22老 15矫,12,28,124.2,994,21,76,170,-,家屈,合,30,60
2021斥 08岿 22老 15矫,18,29.8,124.4,996,20,72,160,-,家屈,合,40,90
2021斥 08岿 22老 15矫,24,31.9,125.2,998,19,68,150,-,家屈,合合悼,40,110
2021斥 08岿 22老 15矫,30,34.1,126.8,1000,18,65,130,-,家屈,合合悼,48,130
2021斥 08岿 22老 15矫,36,36.3,129.2,1002,15,54,0,-,-,合悼,55,0
2021斥 08岿 22老 21矫,0,26,124.9,990,24,86,180,-,家屈,合合辑,21,null
2021斥 08岿 22老 21矫,6,27.6,124.4,992,23,83,170,-,家屈,合合辑,31,30
2021斥 08岿 22老 21矫,12,29.4,124.4,994,21,76,160,-,家屈,合,32,60
2021斥 08岿 22老 21矫,18,31.3,124.9,996,20,72,150,-,家屈,合合悼,37,100
2021斥 08岿 22老 21矫,24,33.5,126.3,998,19,68,130,-,家屈,合合悼,45,160
2021斥 08岿 22老 21矫,30,35.7,128.5,1000,18,65,0,-,-,合悼,54,0
2021斥 08岿 23老 03矫,0,27.2,124.8,992,23,83,170,-,家屈,合,26,null
2021斥 08岿 23老 03矫,6,29,124.8,994,21,76,160,-,家屈,合,34,30
2021斥 08岿 23老 03矫,12,31.4,124.9,996,20,72,150,-,家屈,合,43,60
2021斥 08岿 23老 03矫,18,33.5,126.3,998,19,68,130,-,家屈,合合悼,45,100
2021斥 08岿 23老 03矫,24,35.8,128.5,1000,18,65,0,-,-,合悼,54,0
2021斥 08岿 23老 09矫,0,28.9,125.4,994,21,76,160,-,家屈,合合悼,31,null
2021斥 08岿 23老 09矫,6,31.1,125.6,996,20,72,150,-,家屈,合,41,30
2021斥 08岿 23老 09矫,12,33.6,126.8,998,19,68,130,-,家屈,合合悼,50,60
2021斥 08岿 23老 09矫,18,35.7,128.8,1000,18,65,0,-,-,合悼,51,0
2021斥 08岿 23老 12矫,0,30.1,125.5,996,20,72,150,-,家屈,合,45,null
2021斥 08岿 23老 12矫,6,32.4,126,998,19,68,130,-,家屈,合,43,30
2021斥 08岿 23老 12矫,12,34.8,127.9,998,18,65,100,-,家屈,合合悼,54,60
2021斥 08岿 23老 12矫,18,36.7,129.8,1000,18,65,0,-,-,合悼,44,0
2021斥 08岿 23老 15矫,0,31.3,125.6,998,19,68,150,-,家屈,合,45,null
2021斥 08岿 23老 15矫,6,33.6,126.8,998,18,65,130,-,家屈,合合悼,47,50
2021斥 08岿 23老 15矫,12,35.7,128.8,1000,18,65,0,-,-,合悼,49,0
2021斥 08岿 23老 18矫,0,32.4,126.2,998,18,65,130,-,家屈,合合悼,45,null
2021斥 08岿 23老 18矫,6,34.8,127.9,998,18,65,100,-,家屈,合合悼,52,50
2021斥 08岿 23老 18矫,12,36.8,129.8,998,18,65,0,-,-,合悼,46,0
2021斥 08岿 23老 21矫,0,33.7,127,996,18,65,130,-,家屈,合合悼,55,null
2021斥 08岿 23老 21矫,6,36.1,129.1,998,18,65,110,-,家屈,合悼,53,50
2021斥 08岿 23老 21矫,12,37.9,130.5,996,18,65,0,-,-,合合悼,40,0
2021斥 08岿 24老 00矫,0,35,128.4,996,18,65,110,-,家屈,合悼,65,null
2021斥 08岿 24老 00矫,6,36.9,130,996,18,65,110,-,家屈,合合悼,42,50
2021斥 08岿 24老 00矫,12,38.6,131.8,994,19,68,0,-,-,合悼,42,0
2021斥 08岿 24老 03矫,0,36.1,129.5,996,18,65,110,-,家屈,合悼,53,null
2021斥 08岿 24老 03矫,6,37.8,130.7,994,19,68,0,-,-,合合悼,36,0
2021斥 08岿 24老 06矫,0,37,130.5,996,18,65,0,-,-,合悼,46,null
