일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 08월 09일 03시,0,21.4,126.2,1000,18,65,200,-,-,북,37,null
2020년 08월 09일 03시,12,25.7,126.2,996,20,72,210,-,소형,북,40,60
2020년 08월 09일 03시,24,30.1,126.3,992,23,83,220,-,소형,북,41,120
2020년 08월 09일 03시,36,34.8,128.6,994,21,76,220,-,소형,북북동,47,150
2020년 08월 09일 03시,48,39.5,132.9,998,19,68,150,-,소형,북동,54,180
2020년 08월 09일 03시,60,43.7,139.7,1000,16,58,0,-,-,동북동,61,0
2020년 08월 09일 09시,0,23.3,126,1000,18,65,200,-,-,북북서,34,null
2020년 08월 09일 09시,6,25.7,126,996,20,72,210,-,소형,북,44,30
2020년 08월 09일 09시,12,27.9,126,994,21,76,210,-,소형,북,41,60
2020년 08월 09일 09시,18,30.1,126.1,992,23,83,220,-,소형,북,40,90
2020년 08월 09일 09시,24,32.5,126.9,994,21,76,220,-,소형,북북동,45,120
2020년 08월 09일 09시,30,34.8,128.3,994,21,76,220,-,소형,북북동,48,135
2020년 08월 09일 09시,36,37.2,130.5,996,20,72,160,-,소형,북동,51,150
2020년 08월 09일 09시,42,39.5,132.9,998,19,68,150,-,소형,북동,56,165
2020년 08월 09일 09시,48,41.9,136.6,998,19,68,0,-,-,북동,62,0
2020년 08월 09일 15시,0,24.4,126.2,1000,18,65,230,-,-,북북동,32,null
2020년 08월 09일 15시,6,27,126,996,20,72,240,-,소형,북,48,30
2020년 08월 09일 15시,12,29.7,126.1,994,21,76,250,-,소형,북,50,60
2020년 08월 09일 15시,18,32.5,126.9,994,21,76,250,-,소형,북북동,52,90
2020년 08월 09일 15시,24,34.8,128.3,996,20,72,240,-,소형,북북동,48,120
2020년 08월 09일 15시,30,37.2,130.5,998,19,68,160,-,소형,북동,55,135
2020년 08월 09일 15시,36,39.5,132.9,998,19,68,150,-,소형,북동,56,150
2020년 08월 09일 15시,42,41.9,136.6,998,19,68,0,-,-,동북동,68,0
2020년 08월 09일 21시,0,27.3,126.4,998,19,68,240,-,-,북,59,null
2020년 08월 09일 21시,6,29.9,126.4,994,21,76,250,-,소형,북,48,30
2020년 08월 09일 21시,12,32.5,126.9,994,21,76,250,-,소형,북,48,60
2020년 08월 09일 21시,18,34.8,128.3,996,20,72,240,-,소형,북북동,48,90
2020년 08월 09일 21시,24,37.2,130.5,998,19,68,160,-,소형,북동,55,120
2020년 08월 09일 21시,30,39.5,132.9,998,19,68,150,-,소형,북동,56,135
2020년 08월 09일 21시,36,41.9,136.6,998,19,68,0,-,-,동북동,68,0
2020년 08월 10일 00시,0,28.9,126.3,998,19,68,240,-,-,북,59,null
2020년 08월 10일 00시,6,31.4,126.6,996,20,72,240,-,소형,북,47,30
2020년 08월 10일 00시,12,33.8,127.6,994,21,76,240,-,소형,북북동,45,60
2020년 08월 10일 00시,18,36,129.3,996,20,72,200,-,소형,북동,49,90
2020년 08월 10일 00시,24,38.3,131.6,998,19,68,150,-,소형,북동,55,120
2020년 08월 10일 00시,30,40.8,134.9,998,19,68,130,-,소형,북동,66,135
2020년 08월 10일 00시,36,42.9,138.3,998,19,68,0,-,-,동북동,68,0
2020년 08월 10일 03시,0,30.1,126.5,998,19,68,240,-,-,북,45,null
2020년 08월 10일 03시,6,32.6,127,994,21,76,240,-,소형,북,47,30
2020년 08월 10일 03시,12,34.9,128.4,996,20,72,200,-,소형,북북동,46,60
2020년 08월 10일 03시,18,37.1,130.4,998,19,68,180,-,소형,북동,52,90
2020년 08월 10일 03시,24,39.6,133.2,998,19,68,140,-,소형,북동,61,120
2020년 08월 10일 03시,30,42,136.8,998,19,68,0,-,-,북동,68,0
2020년 08월 10일 06시,0,31.1,126.9,998,19,68,240,-,-,북북동,39,null
2020년 08월 10일 06시,6,33.8,127.6,994,21,76,220,-,소형,북북동,51,30
2020년 08월 10일 06시,12,36,129.3,996,20,72,190,-,소형,북동,48,60
2020년 08월 10일 06시,18,38.4,131.7,998,19,68,160,-,소형,북동,56,90
2020년 08월 10일 06시,24,40.9,135,998,19,68,0,-,-,북동,66,0
2020년 08월 10일 09시,0,32.1,127.4,998,19,68,200,-,-,북북동,40,null
2020년 08월 10일 09시,6,35,128.5,996,20,72,180,-,소형,북북동,56,30
2020년 08월 10일 09시,12,37.2,130.4,998,19,68,170,-,소형,북동,49,60
2020년 08월 10일 09시,18,39.6,133.2,998,19,68,0,-,-,북동,62,0
2020년 08월 10일 12시,0,33.4,128,998,18,65,190,-,-,북북동,52,null
2020년 08월 10일 12시,6,36.1,129.3,998,18,65,180,-,소형,북북동,54,30
2020년 08월 10일 12시,12,38.4,131.7,998,18,65,150,-,소형,북동,55,60
2020년 08월 10일 12시,18,40.9,134.8,998,18,65,0,-,-,북동,62,0
2020년 08월 10일 15시,0,34.8,128.6,998,18,65,180,-,-,북북동,55,null
2020년 08월 10일 15시,3,36.1,129.3,998,15,54,0,-,-,북북동,53,0
2020년 08월 10일 17시,0,35.6,129.2,998,15,54,0,-,-,북동,52,null
