일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 09월 21일 21시,0,15.4,142.8,998,18,65,170,약,소형,서북서,18,null
2018년 09월 21일 21시,24,16.5,138.1,994,21,76,220,약,소형,서북서,22,110
2018년 09월 21일 21시,48,17.4,133.6,980,29,104,280,중,소형,서북서,20,170
2018년 09월 21일 21시,72,18.8,130.7,960,39,140,320,강,중형,서북서,14,250
2018년 09월 21일 21시,96,19.6,129.8,940,47,169,340,매우 강,중형,북서,6,330
2018년 09월 21일 21시,120,20.1,129.2,930,50,180,360,매우 강,중형,북서,3,450
2018년 09월 22일 03시,0,15.6,141.6,996,20,72,220,약,소형,서,22,null
2018년 09월 22일 03시,24,16.7,136.9,990,24,86,250,약,소형,서북서,21,110
2018년 09월 22일 03시,48,17.7,132.7,970,35,126,300,강,중형,서북서,19,170
2018년 09월 22일 03시,72,19.1,130.3,950,43,155,340,강,중형,서북서,12,250
2018년 09월 22일 03시,96,19.8,129.6,940,47,169,360,매우 강,중형,북서,5,330
2018년 09월 22일 03시,120,20.2,129.1,930,50,180,380,매우 강,중형,북서,3,450
2018년 09월 22일 09시,0,15.8,140.8,996,20,72,270,약,소형,서북서,15,null
2018년 09월 22일 09시,24,16.9,135.9,980,29,104,300,중,중형,서북서,22,110
2018년 09월 22일 09시,48,18,132.2,955,40,144,330,강,중형,서북서,17,170
2018년 09월 22일 09시,72,19.4,129.8,940,47,169,370,매우 강,중형,서북서,12,250
2018년 09월 22일 09시,96,20.2,129.2,935,49,176,380,매우 강,중형,북서,5,330
2018년 09월 22일 09시,120,20.6,128.4,930,50,180,400,매우 강,중형,서북서,4,450
2018년 09월 22일 15시,0,16.4,139.1,990,24,86,280,약,소형,서북서,32,null
2018년 09월 22일 15시,24,17.4,134.6,975,32,115,320,중,중형,서북서,21,110
2018년 09월 22일 15시,48,19,130.6,950,43,155,350,강,중형,서북서,19,170
2018년 09월 22일 15시,72,20.1,129.1,935,49,176,380,매우 강,중형,북서,8,250
2018년 09월 22일 15시,96,20.5,128.8,930,50,180,400,매우 강,중형,북서,3,330
2018년 09월 22일 15시,120,20.9,127.9,930,50,180,400,매우 강,중형,서북서,4,450
2018년 09월 22일 21시,0,16.9,137.8,990,24,86,300,약,중형,서북서,25,null
2018년 09월 22일 21시,24,17.9,133.5,970,35,126,330,강,중형,서북서,20,110
2018년 09월 22일 21시,48,19.1,130.4,945,45,162,370,매우 강,중형,서북서,15,170
2018년 09월 22일 21시,72,20.1,129.2,930,50,180,400,매우 강,중형,북서,7,250
2018년 09월 22일 21시,96,20.8,128.3,930,50,180,400,매우 강,중형,북서,5,330
2018년 09월 22일 21시,120,21.3,127.4,935,49,176,390,매우 강,중형,서북서,5,450
2018년 09월 23일 03시,0,17,136.2,975,32,115,330,중,중형,서,28,null
2018년 09월 23일 03시,24,18.1,132.6,955,40,144,370,강,중형,서북서,17,110
2018년 09월 23일 03시,48,19.5,129.9,930,50,180,380,매우 강,중형,서북서,13,170
2018년 09월 23일 03시,72,20.5,128.7,925,51,184,400,매우 강,중형,북서,7,250
2018년 09월 23일 03시,96,21.2,127.6,930,50,180,380,매우 강,중형,서북서,6,330
2018년 09월 23일 03시,120,21.8,125.8,935,49,176,370,매우 강,중형,서북서,8,450
2018년 09월 23일 09시,0,17,135.1,975,32,115,340,중,중형,서,20,null
2018년 09월 23일 09시,24,18.4,131.8,950,43,155,370,강,중형,서북서,16,110
2018년 09월 23일 09시,48,19.9,129.5,930,50,180,380,매우 강,중형,서북서,12,170
2018년 09월 23일 09시,72,20.7,128.4,920,53,191,400,매우 강,중형,북서,6,250
2018년 09월 23일 09시,96,21.3,127.1,930,50,180,380,매우 강,중형,서북서,6,330
2018년 09월 23일 09시,120,21.9,125.5,935,49,176,370,매우 강,중형,서북서,8,450
2018년 09월 23일 15시,0,17.3,134.3,970,35,126,340,강,중형,서북서,15,null
2018년 09월 23일 15시,24,18.9,130.9,945,45,162,370,매우 강,중형,서북서,17,110
2018년 09월 23일 15시,48,20.2,128.9,930,50,180,390,매우 강,중형,서북서,11,170
2018년 09월 23일 15시,72,21,127.8,920,53,191,400,매우 강,중형,북서,6,250
2018년 09월 23일 15시,96,21.5,126.4,930,50,180,400,매우 강,중형,서북서,7,330
2018년 09월 23일 15시,120,22.1,124.8,940,47,169,370,매우 강,중형,서북서,7,450
2018년 09월 23일 21시,0,17.5,133.3,955,40,144,360,강,중형,서북서,18,null
2018년 09월 23일 21시,24,19.3,130.3,940,47,169,380,매우 강,중형,서북서,16,110
2018년 09월 23일 21시,48,20.5,128.6,920,53,191,400,매우 강,중형,북서,9,170
2018년 09월 23일 21시,72,21.1,127.5,925,51,184,400,매우 강,중형,서북서,5,250
2018년 09월 23일 21시,96,21.6,126.2,930,50,180,400,매우 강,중형,서북서,6,330
2018년 09월 23일 21시,120,22.2,124.6,940,47,169,380,매우 강,중형,서북서,8,450
2018년 09월 24일 03시,0,18.1,132.3,945,45,162,380,매우 강,중형,서북서,21,null
2018년 09월 24일 03시,24,19.7,129.4,935,49,176,390,매우 강,중형,서북서,15,110
2018년 09월 24일 03시,48,20.6,128.3,920,53,191,400,매우 강,중형,북서,6,170
2018년 09월 24일 03시,72,21.3,127.6,925,51,184,400,매우 강,중형,북서,4,250
2018년 09월 24일 03시,96,21.8,126.8,930,50,180,380,매우 강,중형,북서,4,330
2018년 09월 24일 03시,120,22.6,125.3,940,47,169,380,매우 강,중형,서북서,7,450
2018년 09월 24일 09시,0,18.4,131.3,940,47,169,380,매우 강,중형,서북서,18,null
2018년 09월 24일 09시,24,19.9,129.1,930,50,180,390,매우 강,중형,서북서,12,110
2018년 09월 24일 09시,48,20.7,128.2,920,53,191,400,매우 강,중형,북서,5,170
2018년 09월 24일 09시,72,21.3,127.3,925,51,184,400,매우 강,중형,북서,5,250
2018년 09월 24일 09시,96,22.2,126.1,930,50,180,380,매우 강,중형,북서,7,330
2018년 09월 24일 09시,120,23.5,124.7,940,47,169,370,매우 강,중형,북서,8,450
