일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2016년 09월 28일 03시,0,14.5,150.1,1000,18,65,180,약,소형,서,23,0
2016년 09월 28일 03시,24,15.3,145.1,992,23,83,200,약,소형,서,23,140
2016년 09월 28일 03시,48,16.4,140,985,27,97,230,중,소형,서북서,23,230
2016년 09월 28일 03시,72,18.1,135.5,970,35,126,280,강,소형,서북서,22,320
2016년 09월 28일 03시,96,20.6,130.9,965,37,133,300,강,중형,서북서,23,460
2016년 09월 28일 03시,120,24.1,127.3,960,39,140,320,강,중형,북서,22,550
2016년 09월 28일 09시,0,14.4,148.7,998,19,68,200,약,소형,서,25,0
2016년 09월 28일 09시,24,15.2,143.8,990,24,86,230,약,소형,서,22,140
2016년 09월 28일 09시,48,16.5,139.4,980,29,104,270,중,소형,서북서,20,230
2016년 09월 28일 09시,72,18.7,135.2,970,35,126,300,강,중형,서북서,22,320
2016년 09월 28일 09시,96,21.2,130.8,960,39,140,330,강,중형,서북서,22,460
2016년 09월 28일 09시,120,24.6,127.5,950,43,155,350,강,중형,북서,21,550
2016년 09월 28일 15시,0,14.5,146.8,996,20,72,230,약,소형,서,34,0
2016년 09월 28일 15시,24,14.9,142.3,985,27,97,250,중,소형,서,20,140
2016년 09월 28일 15시,48,16.4,138.9,975,32,115,270,중,소형,서북서,17,230
2016년 09월 28일 15시,72,19.1,134.6,965,37,133,300,강,중형,서북서,23,320
2016년 09월 28일 15시,96,21.9,130.3,955,40,144,330,강,중형,서북서,23,460
2016년 09월 28일 15시,120,25.8,127.2,950,43,155,350,강,중형,북서,22,550
2016년 09월 28일 21시,0,13.8,145.2,996,20,72,220,약,소형,서남서,32,0
2016년 09월 28일 21시,24,14.8,141.1,990,24,86,250,약,소형,서북서,19,140
2016년 09월 28일 21시,48,16.9,137.6,980,29,104,270,중,소형,서북서,18,230
2016년 09월 28일 21시,72,19.9,133.2,970,35,126,300,강,중형,북서,24,320
2016년 09월 28일 21시,96,22.9,129.4,960,39,140,330,강,중형,북서,22,460
2016년 09월 28일 21시,120,27.2,126.8,955,40,144,350,강,중형,북북서,23,550
2016년 09월 29일 03시,0,14.5,144.6,996,20,72,220,약,소형,북서,17,0
2016년 09월 29일 03시,24,15.2,139.8,990,24,86,250,약,소형,서,20,140
2016년 09월 29일 03시,48,17.2,136,985,27,97,270,중,소형,서북서,19,230
2016년 09월 29일 03시,72,20.3,131.7,975,32,115,300,중,중형,북서,23,320
2016년 09월 29일 03시,96,24.4,128.9,965,37,133,330,강,중형,북서,23,460
2016년 09월 29일 03시,120,29.1,129.8,955,40,144,350,강,중형,북북동,22,550
2016년 09월 29일 09시,0,14.4,143.5,996,20,72,220,약,소형,서,20,0
2016년 09월 29일 09시,24,15.7,139,990,24,86,250,약,소형,서북서,19,140
2016년 09월 29일 09시,48,17.7,135.3,975,32,115,270,중,소형,서북서,19,230
2016년 09월 29일 09시,72,21,131.3,965,37,133,330,강,중형,북서,23,320
2016년 09월 29일 09시,96,25.3,129.5,955,40,144,350,강,중형,북북서,21,460
2016년 09월 29일 09시,120,30.1,130.5,975,32,115,330,중,중형,북북동,22,550
2016년 09월 29일 15시,0,14.3,141.6,996,20,72,220,약,소형,서,34,0
2016년 09월 29일 15시,24,15.9,138.3,990,24,86,270,약,소형,서북서,17,140
2016년 09월 29일 15시,48,18,134.8,975,32,115,320,중,중형,서북서,18,230
2016년 09월 29일 15시,72,21.7,130.3,960,39,140,350,강,중형,북서,26,320
2016년 09월 29일 15시,96,26.6,129,960,39,140,330,강,중형,북북서,23,460
2016년 09월 29일 15시,120,31.5,131.8,975,32,115,280,중,소형,북북동,26,550
