일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2021년 09월 07일 09시,0,15.7,136.6,1000,18,65,150,-,소형,서,25,null
2021년 09월 07일 09시,12,16.1,135.6,996,20,72,160,-,소형,서북서,15,60
2021년 09월 07일 09시,24,16.4,134,992,23,83,170,-,소형,서북서,15,110
2021년 09월 07일 09시,36,16.6,132.1,990,24,86,180,-,소형,서,17,140
2021년 09월 07일 09시,48,17.1,130,980,29,104,200,중,소형,서북서,19,170
2021년 09월 07일 09시,72,19,125.7,970,35,126,250,강,소형,서북서,21,230
2021년 09월 07일 09시,96,20.9,122.5,965,37,133,280,강,소형,서북서,17,310
2021년 09월 07일 09시,120,21.7,121.5,960,39,140,300,강,중형,북서,13,430
2021년 09월 07일 15시,0,16.1,135.7,994,21,76,160,-,소형,서북서,19,null
2021년 09월 07일 15시,12,16.4,134.3,992,23,83,170,-,소형,서북서,12,60
2021년 09월 07일 15시,24,16.5,132.9,990,24,86,180,-,소형,서,13,110
2021년 09월 07일 15시,36,16.7,131.2,985,27,97,190,중,소형,서,15,140
2021년 09월 07일 15시,48,17.4,129.1,970,35,126,210,강,소형,서북서,19,170
2021년 09월 07일 15시,72,19.5,124.8,960,39,140,260,강,소형,서북서,19,230
2021년 09월 07일 15시,96,21.2,122,955,40,144,290,강,소형,북서,8,310
2021년 09월 07일 15시,120,22.5,120.1,950,43,155,300,강,중형,북서,10,430
2021년 09월 07일 21시,0,16.3,134.6,990,24,86,180,-,소형,서,21,null
2021년 09월 07일 21시,12,16.5,133,985,27,97,190,중,소형,서,14,60
2021년 09월 07일 21시,24,16.8,131.3,980,29,104,200,중,소형,서,16,110
2021년 09월 07일 21시,36,17.3,129.5,975,32,115,210,중,소형,서북서,16,140
2021년 09월 07일 21시,48,18.3,127.3,965,37,133,240,강,소형,서북서,22,170
2021년 09월 07일 21시,72,19.9,124,960,39,140,260,강,소형,서북서,16,230
2021년 09월 07일 21시,96,21.6,121.4,950,43,155,300,강,중형,북서,12,310
2021년 09월 07일 21시,120,22.8,119.8,955,40,144,290,강,소형,북서,14,430
2021년 09월 08일 03시,0,16.3,133.5,985,27,97,190,중,소형,서,21,null
2021년 09월 08일 03시,12,16.7,131.9,980,29,104,200,중,소형,서북서,15,60
2021년 09월 08일 03시,24,17.1,129.8,975,32,115,210,중,소형,서북서,18,110
2021년 09월 08일 03시,36,18,127.8,970,35,126,230,강,소형,서북서,20,140
2021년 09월 08일 03시,48,18.9,125.8,965,37,133,250,강,소형,서북서,20,170
2021년 09월 08일 03시,72,21,122.1,960,39,140,270,강,소형,서북서,19,230
