일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2015년 06월 30일 21시,0,9.9,159.6,1002,18,65,150,약,소형,서북서,10,0
2015년 06월 30일 21시,24,10.4,156.7,998,19,68,170,약,소형,서,13,140
2015년 06월 30일 21시,48,11.1,152,996,20,72,200,약,소형,서,22,230
2015년 06월 30일 21시,72,11.1,147.6,990,24,86,250,약,소형,서,20,320
2015년 06월 30일 21시,96,12.3,144.8,985,27,97,270,중,소형,서북서,14,460
2015년 06월 30일 21시,120,14.5,142.5,980,29,104,300,중,중형,북서,14,550
2015년 07월 01일 03시,0,10.1,158.8,1000,18,65,170,약,소형,서북서,15,0
2015년 07월 01일 03시,24,11,156.5,992,23,83,220,약,소형,서북서,11,140
2015년 07월 01일 03시,48,11.6,151.7,985,27,97,250,중,소형,서,22,230
2015년 07월 01일 03시,72,12.7,149,980,29,104,280,중,소형,서북서,13,320
2015년 07월 01일 03시,96,14.7,145.1,975,32,115,300,중,중형,서북서,20,460
2015년 07월 01일 03시,120,17.1,141.9,970,35,126,330,강,중형,북서,18,550
2015년 07월 01일 09시,0,10.3,158.3,996,20,72,200,약,소형,서북서,10,0
2015년 07월 01일 09시,24,11.2,154.5,990,24,86,250,약,소형,서북서,18,140
2015년 07월 01일 09시,48,11.8,149.7,985,27,97,270,중,소형,서,22,230
2015년 07월 01일 09시,72,13.2,146.9,975,32,115,300,중,중형,서북서,14,320
2015년 07월 01일 09시,96,15.3,144.2,965,37,133,330,강,중형,북서,16,460
2015년 07월 01일 09시,120,18.2,141.3,955,40,144,350,강,중형,북서,19,550
2015년 07월 01일 15시,0,10.5,157.5,994,21,76,200,약,소형,서북서,15,0
2015년 07월 01일 15시,24,12.2,151.7,990,24,86,250,약,소형,서북서,27,140
2015년 07월 01일 15시,48,11.9,147.8,985,27,97,270,중,소형,서,18,230
2015년 07월 01일 15시,72,13.8,144.9,975,32,115,300,중,중형,서북서,16,320
2015년 07월 01일 15시,96,16.7,142,965,37,133,330,강,중형,북서,19,460
2015년 07월 01일 15시,120,19.7,138.2,955,40,144,350,강,중형,북서,22,550
2015년 07월 01일 21시,0,11,155.4,990,24,86,220,약,소형,서북서,39,0
2015년 07월 01일 21시,24,11.9,150.3,985,27,97,270,중,소형,서,24,140
2015년 07월 01일 21시,48,12.3,145.9,975,32,115,300,중,중형,서,20,230
2015년 07월 01일 21시,72,13.7,144.2,970,35,126,320,강,중형,북서,10,320
2015년 07월 01일 21시,96,16.4,141.6,955,40,144,350,강,중형,북서,17,460
2015년 07월 01일 21시,120,19.3,137.5,950,43,155,370,강,중형,북서,23,550
2015년 07월 02일 03시,0,11.4,153.7,985,27,97,250,중,소형,서북서,32,0
2015년 07월 02일 03시,24,12,147.9,980,29,104,260,중,소형,서,27,140
2015년 07월 02일 03시,48,12.3,145.3,970,35,126,280,강,소형,서,12,230
2015년 07월 02일 03시,72,14.6,144.1,960,39,140,300,강,중형,북북서,12,320
2015년 07월 02일 03시,96,17.6,141.5,950,43,155,350,강,중형,북서,18,460
2015년 07월 02일 03시,120,20.5,137.9,945,45,162,370,매우강,중형,북서,21,550
2015년 07월 02일 09시,0,11.2,151.8,985,27,97,250,중,소형,서,35,0
2015년 07월 02일 09시,24,11.7,147.8,975,32,115,270,중,소형,서,18,140
2015년 07월 02일 09시,48,12.5,145.2,965,37,133,300,강,중형,서북서,12,230
2015년 07월 02일 09시,72,14.8,143.5,955,40,144,330,강,중형,북서,13,320
2015년 07월 02일 09시,96,17.9,140.8,950,43,155,350,강,중형,북서,19,460
2015년 07월 02일 09시,120,20.3,137.4,940,47,169,400,매우강,중형,북서,19,550
2015년 07월 02일 15시,0,10.9,150.1,985,27,97,250,중,소형,서,31,0
2015년 07월 02일 15시,24,11.4,147.4,975,32,115,270,중,소형,서,13,140
2015년 07월 02일 15시,48,13.1,145.5,965,37,133,330,강,중형,북서,12,230
2015년 07월 02일 15시,72,15.6,143.4,950,43,155,350,강,중형,북서,15,320
2015년 07월 02일 15시,96,18.3,140.5,945,45,162,380,매우강,중형,북서,18,460
2015년 07월 02일 15시,120,21,137.6,940,47,169,400,매우강,중형,북서,18,550
2015년 07월 02일 21시,0,10.2,149,980,29,104,270,중,소형,서남서,24,0
2015년 07월 02일 21시,24,12.4,147.4,970,35,126,300,강,중형,북서,13,140
2015년 07월 02일 21시,48,14.3,145.5,960,39,140,350,강,중형,북서,12,230
2015년 07월 02일 21시,72,16.8,143,950,43,155,380,강,중형,북서,16,320
2015년 07월 02일 21시,96,19.6,140,940,47,169,400,매우강,중형,북서,18,460
2015년 07월 02일 21시,120,22.6,136.8,930,50,180,420,매우강,중형,북서,20,550
2015년 07월 03일 03시,0,10.2,148.2,975,32,115,280,중,소형,서,15,0
2015년 07월 03일 03시,24,12.3,147.2,965,37,133,320,강,중형,북북서,11,140
2015년 07월 03일 03시,48,14.9,145.3,950,43,155,350,강,중형,북서,15,230
2015년 07월 03일 03시,72,17.6,142.4,935,49,176,400,매우강,중형,북서,18,320
2015년 07월 03일 03시,96,20.4,138.8,925,51,184,430,매우강,중형,북서,21,460
2015년 07월 03일 03시,120,23.2,134.9,920,53,191,450,매우강,중형,북서,21,550
2015년 07월 03일 09시,0,10.5,147.6,975,32,115,280,중,소형,서북서,12,0
2015년 07월 03일 09시,24,12.5,146.8,965,37,133,320,강,중형,북북서,10,140
2015년 07월 03일 09시,48,15.2,145,950,43,155,350,강,중형,북북서,15,230
2015년 07월 03일 09시,72,17.9,141.9,930,50,180,400,매우강,중형,북서,19,320
2015년 07월 03일 09시,96,20.9,137.5,925,51,184,430,매우강,중형,북서,24,460
2015년 07월 03일 09시,120,24.1,133.7,920,53,191,450,매우강,중형,북서,22,550
2015년 07월 03일 15시,0,10.6,148.3,985,27,97,280,중,소형,동,13,0
2015년 07월 03일 15시,24,12.9,146.7,975,32,115,300,중,중형,북북서,11,140
2015년 07월 03일 15시,48,15.6,144.4,960,39,140,350,강,중형,북서,16,230
2015년 07월 03일 15시,72,18.3,141,945,45,162,380,매우강,중형,북서,20,320
2015년 07월 03일 15시,96,21.6,136.6,930,50,180,400,매우강,중형,북서,24,460
2015년 07월 03일 15시,120,24.7,132.3,920,53,191,450,매우강,중형,북서,23,550
2015년 07월 03일 21시,0,11.1,148.4,990,24,86,250,약,소형,북북동,9,0
2015년 07월 03일 21시,24,13.7,146.9,980,29,104,270,중,소형,북북서,14,140
2015년 07월 03일 21시,48,16.2,144,965,37,133,320,강,중형,북서,17,230
2015년 07월 03일 21시,72,19,140.5,955,40,144,350,강,중형,북서,20,320
2015년 07월 03일 21시,96,22.1,136.5,940,47,169,370,매우강,중형,북서,23,460
2015년 07월 03일 21시,120,25,131.8,930,50,180,400,매우강,중형,서북서,24,550
2015년 07월 04일 03시,0,11.3,148.5,985,27,97,270,중,소형,북북동,4,0
2015년 07월 04일 03시,24,14.3,146.7,975,32,115,300,중,중형,북북서,16,140
2015년 07월 04일 03시,48,17,143.8,960,39,140,330,강,중형,북서,18,230
2015년 07월 04일 03시,72,19.6,140.2,945,45,162,350,매우강,중형,북서,20,320
2015년 07월 04일 03시,96,22.9,136,935,49,176,380,매우강,중형,북서,24,460
2015년 07월 04일 03시,120,25.6,131.7,930,50,180,400,매우강,중형,서북서,22,550
2015년 07월 04일 09시,0,12.4,148.2,985,27,97,270,중,소형,북북서,21,0
2015년 07월 04일 09시,24,14.3,146.2,970,35,126,300,강,중형,북서,13,140
2015년 07월 04일 09시,48,16.3,143.2,955,40,144,330,강,중형,북서,17,230
2015년 07월 04일 09시,72,18.9,139.9,940,47,169,350,매우강,중형,북서,19,320
2015년 07월 04일 09시,96,21.8,136.1,930,50,180,400,매우강,중형,북서,21,460
2015년 07월 04일 09시,120,25.7,131.5,930,50,180,400,매우강,중형,북서,27,550
2015년 07월 04일 15시,0,13.4,147.3,985,27,97,270,중,소형,북서,25,0
2015년 07월 04일 15시,24,15,144.8,970,35,126,300,강,중형,서북서,13,140
2015년 07월 04일 15시,48,17,141.4,955,40,144,330,강,중형,서북서,18,230
2015년 07월 04일 15시,72,19.3,137.9,940,47,169,350,매우강,중형,북서,19,320
2015년 07월 04일 15시,96,22.4,134.1,930,50,180,400,매우강,중형,북서,22,460
2015년 07월 04일 15시,120,25.8,129.9,935,49,176,370,매우강,중형,북서,24,550
2015년 07월 04일 21시,0,13.8,146.4,985,27,97,270,중,소형,서북서,18,0
2015년 07월 04일 21시,24,15.6,143.9,970,35,126,300,강,중형,북서,14,140
2015년 07월 04일 21시,48,17.6,140.2,955,40,144,330,강,중형,서북서,19,230
2015년 07월 04일 21시,72,19.8,136.5,940,47,169,350,매우강,중형,서북서,20,320
