일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 07월 16일 15시,0,24.2,136.1,1002,18,65,150,약,소형,북서,50,0
2012년 07월 16일 15시,24,27.1,130.9,998,20,72,180,약,소형,서북서,26,150
2012년 07월 16일 15시,48,31.7,126.4,998,20,72,200,약,소형,북서,28,250
2012년 07월 16일 15시,72,38.3,125.4,1000,-1,-4,0,-,-,북,31,0
2012년 07월 16일 16시,0,24.2,136.1,1002,18,65,150,약,소형,북서,50,0
2012년 07월 16일 16시,24,27.1,130.9,998,18,65,180,약,소형,서북서,26,150
2012년 07월 16일 16시,48,31.7,126.4,998,18,65,200,약,소형,북서,28,250
2012년 07월 16일 16시,72,38.3,125.4,1000,-1,-4,0,-,-,북,30,0
2012년 07월 16일 21시,0,24.8,134.6,1002,18,65,150,약,소형,서북서,33,0
2012년 07월 16일 21시,24,28.1,129.4,998,20,72,200,약,소형,서북서,26,150
2012년 07월 16일 21시,48,33.4,125.6,1000,18,65,180,약,소형,북서,29,250
2012년 07월 16일 21시,72,39.9,125.1,1002,-1,-4,0,-,-,북,30,0
2012년 07월 17일 03시,0,25.6,132.8,998,20,72,180,약,소형,서북서,34,0
2012년 07월 17일 03시,24,29.5,128.1,994,22,79,230,약,소형,북서,26,150
2012년 07월 17일 03시,48,34.4,125.4,996,20,72,200,약,소형,북북서,25,250
2012년 07월 17일 03시,72,40.5,125.3,1002,-1,-4,0,-,-,북,28,0
2012년 07월 17일 09시,0,26.1,130.9,992,22,79,230,약,소형,서북서,33,0
2012년 07월 17일 09시,24,30.6,126.9,988,25,90,250,중,소형,북서,26,150
2012년 07월 17일 09시,48,36,124.9,996,20,72,220,약,소형,북북서,26,250
2012년 07월 17일 09시,72,42.1,125.6,1002,-1,-4,0,-,-,북,28,0
2012년 07월 17일 15시,0,26.8,129.6,992,22,79,230,약,소형,서북서,25,0
2012년 07월 17일 15시,12,29.2,127.8,988,25,90,250,중,소형,북서,27,72
2012년 07월 17일 15시,24,32.2,126.3,990,24,86,240,약,소형,북북서,30,150
2012년 07월 17일 15시,36,35.6,125.3,994,21,76,220,약,소형,북북서,32,200
2012년 07월 17일 15시,48,39.3,125.1,998,18,65,180,약,소형,북,34,250
2012년 07월 17일 15시,60,43.5,126.7,1002,-1,-4,0,-,-,북북동,40,0
2012년 07월 17일 21시,0,27.7,128.4,992,22,79,230,약,소형,북서,26,0
2012년 07월 17일 21시,12,30.4,126.8,988,25,90,250,중,소형,북북서,28,72
2012년 07월 17일 21시,24,33.4,125.8,990,24,86,240,약,소형,북북서,29,150
2012년 07월 17일 21시,36,36.6,125.2,994,21,76,220,약,소형,북,30,200
2012년 07월 17일 21시,48,40.1,125.2,998,18,65,180,약,소형,북,32,250
2012년 07월 17일 21시,60,43.8,125.9,1002,-1,-4,0,-,-,북,35,0
2012년 07월 18일 00시,0,28.2,128,990,24,86,240,약,소형,북서,23,0
2012년 07월 18일 00시,12,30.8,126.6,988,25,90,250,중,소형,북북서,27,72
2012년 07월 18일 00시,24,33.9,125.6,990,24,86,240,약,소형,북북서,30,150
2012년 07월 18일 00시,36,37.2,125.1,994,21,76,200,약,소형,북,31,200
2012년 07월 18일 00시,48,40.8,125.2,998,18,65,180,약,소형,북,33,250
2012년 07월 18일 00시,60,44.2,126,1002,-1,-4,0,-,-,북북동,32,0
2012년 07월 18일 03시,0,28.5,127.3,988,25,90,250,중,소형,서북서,25,0
2012년 07월 18일 03시,12,31.3,126.3,988,25,90,250,중,소형,북북서,27,72
2012년 07월 18일 03시,24,34.5,125.7,992,22,79,240,약,소형,북,30,150
2012년 07월 18일 03시,36,38.6,125.9,996,19,68,180,약,소형,북,38,250
2012년 07월 18일 03시,48,42,126.8,1000,-1,-4,0,-,-,북북동,32,0
2012년 07월 18일 06시,0,28.9,126.9,988,25,90,250,중,소형,북서,20,0
2012년 07월 18일 06시,12,32.3,126.1,990,24,86,230,약,소형,북북서,32,72
2012년 07월 18일 06시,24,36,125.8,994,21,76,220,약,소형,북,34,150
2012년 07월 18일 06시,36,39.8,126.8,996,19,68,160,약,소형,북북동,36,200
2012년 07월 18일 06시,48,42,129.1,1000,-1,-4,0,-,-,북동,26,0
2012년 07월 18일 09시,0,29.7,126.6,988,25,90,250,중,소형,북북서,31,0
