일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 09월 29일 15시,0,12.5,142.7,1000,18,65,180,약,소형,서북서,30,null
2018년 09월 29일 15시,24,13.9,138.4,990,24,86,240,약,소형,서북서,20,110
2018년 09월 29일 15시,48,15.4,136.3,980,29,104,280,중,소형,북서,12,170
2018년 09월 29일 15시,72,17.8,133.3,960,39,140,340,강,중형,북서,17,250
2018년 09월 29일 15시,96,20.1,130.2,950,43,155,380,강,중형,북서,17,330
2018년 09월 29일 15시,120,21.8,127.6,940,47,169,400,매우 강,중형,서북서,14,450
2018년 09월 29일 21시,0,12.9,141.6,996,20,72,200,약,소형,서북서,21,null
2018년 09월 29일 21시,24,14.3,137.9,985,27,97,250,중,소형,서북서,18,110
2018년 09월 29일 21시,48,15.9,135.3,975,32,115,300,중,중형,서북서,14,170
2018년 09월 29일 21시,72,18.3,132.4,955,40,144,350,강,중형,북서,17,250
2018년 09월 29일 21시,96,20.6,129.4,945,45,162,380,매우 강,중형,북서,17,330
2018년 09월 29일 21시,120,22.1,127.2,940,47,169,400,매우 강,중형,서북서,14,450
2018년 09월 30일 03시,0,13.1,139.8,990,24,86,220,약,소형,서,33,null
2018년 09월 30일 03시,24,14.7,136.9,980,29,104,260,중,소형,서북서,15,110
2018년 09월 30일 03시,48,16.7,134.2,970,35,126,310,강,중형,북서,15,170
2018년 09월 30일 03시,72,19.2,131.2,950,43,155,360,강,중형,북서,17,250
2018년 09월 30일 03시,96,21.2,128.6,940,47,169,380,매우 강,중형,북서,15,330
2018년 09월 30일 03시,120,23.1,125.8,940,47,169,400,매우 강,중형,북서,15,450
2018년 09월 30일 09시,0,13.5,138.9,985,27,97,250,중,소형,서북서,18,null
2018년 09월 30일 09시,24,15.4,135.8,975,32,115,280,중,소형,서북서,16,110
2018년 09월 30일 09시,48,17.6,133.1,965,37,133,320,강,중형,북서,16,170
2018년 09월 30일 09시,72,20,130.1,945,45,162,360,매우 강,중형,북서,17,250
2018년 09월 30일 09시,96,21.8,127.7,940,47,169,380,매우 강,중형,북서,13,330
2018년 09월 30일 09시,120,23.8,125.2,940,47,169,380,매우 강,중형,북서,14,450
2018년 09월 30일 15시,0,14.4,138.1,975,32,115,250,중,소형,북서,22,null
2018년 09월 30일 15시,24,16.3,135.3,965,37,133,300,강,중형,북서,15,110
2018년 09월 30일 15시,48,18.2,132.3,955,40,144,330,강,중형,서북서,16,170
2018년 09월 30일 15시,72,20.4,129.4,940,47,169,380,매우 강,중형,북서,16,250
2018년 09월 30일 15시,96,22.3,127,945,45,162,370,매우 강,중형,북서,14,330
2018년 09월 30일 15시,120,24.5,124.8,950,43,155,360,강,중형,북서,14,450
2018년 09월 30일 21시,0,15,137.2,970,35,126,280,강,소형,서북서,20,null
2018년 09월 30일 21시,24,17,134.2,955,40,144,350,강,중형,서북서,16,110
2018년 09월 30일 21시,48,18.8,131.4,940,47,169,380,매우 강,중형,서북서,15,170
2018년 09월 30일 21시,72,20.9,128.8,945,45,162,370,매우 강,중형,북서,15,250
2018년 09월 30일 21시,96,23.2,126.3,950,43,155,360,강,중형,북서,15,330
2018년 09월 30일 21시,120,25.9,124.3,955,40,144,350,강,중형,북서,15,450
2018년 10월 01일 03시,0,15.4,136.4,965,37,133,300,강,중형,서북서,16,null
2018년 10월 01일 03시,24,17.4,133.4,950,43,155,350,강,중형,북서,16,110
