일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2013년 08월 26일 15시,0,16.2,124.9,1000,18,65,200,약,소형,서북서,27,0
2013년 08월 26일 15시,24,19.1,123.6,995,20,72,250,약,소형,북북서,15,140
2013년 08월 26일 15시,48,21.5,122.9,990,24,86,270,약,소형,북북서,12,230
2013년 08월 26일 15시,72,24.5,122.4,985,27,97,300,중,중형,북,14,320
2013년 08월 26일 15시,96,27,123.5,990,24,86,280,약,소형,북북동,12,460
2013년 08월 26일 15시,120,29.9,126.5,996,19,68,250,약,소형,북동,18,550
2013년 08월 26일 21시,0,16.9,124.1,998,18,65,220,약,소형,북서,19,0
2013년 08월 26일 21시,24,19.7,123.1,992,22,79,250,약,소형,북북서,14,140
2013년 08월 26일 21시,48,22.3,122.5,985,27,97,280,중,소형,북북서,12,230
2013년 08월 26일 21시,72,25.4,122.4,980,31,112,300,중,중형,북,14,320
2013년 08월 26일 21시,96,27.7,124,990,24,86,270,약,소형,북동,13,460
2013년 08월 26일 21시,120,30.7,127.2,996,19,68,250,약,소형,북동,19,550
2013년 08월 27일 03시,0,17.5,123.7,996,19,68,230,약,소형,북북서,13,0
2013년 08월 27일 03시,24,20,122.8,990,24,86,270,약,소형,북북서,12,140
2013년 08월 27일 03시,48,22.6,122.3,985,27,97,280,중,소형,북,12,230
2013년 08월 27일 03시,72,25.7,122.3,980,31,112,300,중,중형,북,14,320
2013년 08월 27일 03시,96,28.2,124.1,990,24,86,270,약,소형,북동,14,460
2013년 08월 27일 03시,120,31,127.6,996,19,68,230,약,소형,북동,19,550
2013년 08월 27일 09시,0,18.2,123.7,996,19,68,230,약,소형,북,13,0
2013년 08월 27일 09시,24,20.3,122.8,990,24,86,270,약,소형,북북서,12,140
2013년 08월 27일 09시,48,23.1,122.3,985,27,97,280,중,소형,북,13,230
2013년 08월 27일 09시,72,26.7,122.6,980,31,112,300,중,중형,북,17,320
2013년 08월 27일 09시,96,29.8,125.9,990,24,86,270,약,소형,북동,20,460
2013년 08월 27일 09시,120,33.7,132.4,996,19,68,230,약,소형,동북동,31,550
2013년 08월 27일 15시,0,19.4,123.8,996,19,68,230,약,소형,북,22,0
2013년 08월 27일 15시,24,22.1,123.2,990,24,86,270,약,소형,북북서,13,140
2013년 08월 27일 15시,48,25.3,123.4,985,27,97,280,중,소형,북,15,230
2013년 08월 27일 15시,72,29.1,125.9,985,27,97,280,중,소형,북북동,21,320
2013년 08월 27일 15시,96,32.8,131,992,22,79,200,약,소형,북동,26,460
2013년 08월 27일 15시,120,36,138.6,1000,-1,-4,0,-,-,동북동,33,0
2013년 08월 27일 21시,0,20.1,123.6,992,22,79,250,약,소형,북북서,13,0
2013년 08월 27일 21시,24,22.5,123.4,985,27,97,300,중,중형,북,10,140
2013년 08월 27일 21시,48,25.7,123.6,980,31,112,350,중,중형,북,15,230
2013년 08월 27일 21시,72,29.8,126.9,988,25,90,270,중,소형,북동,23,320
2013년 08월 27일 21시,96,33.4,132.4,994,21,76,200,약,소형,동북동,27,460
2013년 08월 27일 21시,120,36.3,139.6,1002,-1,-4,0,-,-,동북동,30,0
2013년 08월 28일 03시,0,20.5,123.2,990,24,86,250,약,소형,북서,10,0
