일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 08월 06일 15시,0,18.4,142.7,998,18,65,230,-,소형,북서,22,null
2019년 08월 06일 15시,12,19.9,141.8,996,20,72,250,-,소형,북북서,16,48
2019년 08월 06일 15시,24,20.7,141.1,992,23,83,270,-,소형,북서,10,110
2019년 08월 06일 15시,36,21.6,140.6,990,24,86,300,-,중형,북북서,9,140
2019년 08월 06일 15시,48,22.8,140.3,980,29,104,350,중,중형,북북서,11,170
2019년 08월 06일 15시,72,24.2,140.4,970,35,126,370,강,중형,북,7,260
2019년 08월 06일 15시,96,25.6,140.6,965,37,133,380,강,중형,북,7,370
2019년 08월 06일 15시,120,27.5,140.8,960,39,140,400,강,중형,북,9,480
2019년 08월 06일 21시,0,19.2,142.6,998,19,68,300,-,중형,북,15,null
2019년 08월 06일 21시,12,20.3,141.9,990,24,86,320,-,중형,북북서,12,48
2019년 08월 06일 21시,24,21.2,140.9,980,29,104,330,중,중형,북서,12,110
2019년 08월 06일 21시,36,22.2,140.4,970,35,126,340,강,중형,북북서,10,140
2019년 08월 06일 21시,48,23.1,140.3,965,37,133,350,강,중형,북,9,170
2019년 08월 06일 21시,72,24.5,140.4,960,39,140,380,강,중형,북,7,260
2019년 08월 06일 21시,96,26.1,140.6,965,37,133,370,강,중형,북,7,370
2019년 08월 06일 21시,120,28,140.3,970,35,126,350,강,중형,북,9,480
2019년 08월 07일 03시,0,19.4,142.4,994,21,76,310,-,중형,북서,5,null
2019년 08월 07일 03시,12,20.6,141.6,985,27,97,330,중,중형,북북서,13,48
2019년 08월 07일 03시,24,21.6,140.6,975,32,115,340,중,중형,북서,13,110
2019년 08월 07일 03시,36,22.6,140.3,965,37,133,350,강,중형,북북서,10,140
2019년 08월 07일 03시,48,23.4,140.3,960,39,140,380,강,중형,북,8,170
2019년 08월 07일 03시,72,24.9,140.5,960,39,140,380,강,중형,북,7,260
2019년 08월 07일 03시,96,26.6,140.7,965,37,133,370,강,중형,북,8,370
2019년 08월 07일 03시,120,28.7,139.7,970,35,126,350,강,중형,북북서,11,480
2019년 08월 07일 09시,0,20.1,142,990,24,86,320,-,중형,북동,5,null
2019년 08월 07일 09시,12,21.1,141.1,980,29,104,330,중,중형,북서,12,50
2019년 08월 07일 09시,24,22.1,140.6,970,35,126,350,강,중형,북북서,10,110
2019년 08월 07일 09시,36,22.9,140.7,960,39,140,380,강,중형,북,8,140
2019년 08월 07일 09시,48,23.5,140.8,950,43,155,400,강,중형,북북동,6,170
2019년 08월 07일 09시,72,24.8,141.1,950,43,155,400,강,중형,북,6,260
2019년 08월 07일 09시,96,26.4,140.8,955,40,144,380,강,중형,북,7,370
2019년 08월 07일 09시,120,29.1,139.5,960,39,140,350,강,중형,북북서,13,480
2019년 08월 07일 15시,0,21,141.3,990,24,86,400,-,중형,서북서,13,null
2019년 08월 07일 15시,12,21.6,140.8,975,32,115,420,중,중형,북서,11,50
2019년 08월 07일 15시,24,22.5,140.6,965,37,133,430,강,중형,북,11,110
2019년 08월 07일 15시,36,23.1,140.7,955,40,144,450,강,중형,북북동,6,140
2019년 08월 07일 15시,48,23.8,140.9,950,43,155,470,강,중형,북북동,6,170
2019년 08월 07일 15시,72,25.2,141.1,950,43,155,480,강,중형,북,7,260
2019년 08월 07일 15시,96,27.1,140.5,955,40,144,450,강,중형,북북서,9,370
2019년 08월 07일 15시,120,29.5,139.3,960,39,140,420,강,중형,북북서,13,480
2019년 08월 07일 21시,0,21.5,141,985,27,97,410,중,중형,북서,10,null
2019년 08월 07일 21시,12,22,140.6,975,32,115,420,중,중형,북서,6,50
2019년 08월 07일 21시,24,22.8,140.6,965,37,133,440,강,중형,북,7,110
2019년 08월 07일 21시,36,23.4,140.8,955,40,144,460,강,중형,북북동,5,140
2019년 08월 07일 21시,48,24.1,140.9,950,43,155,470,강,중형,북북동,6,170
2019년 08월 07일 21시,72,25.6,141,950,43,155,450,강,중형,북,7,260
2019년 08월 07일 21시,96,27.7,140.2,960,39,140,420,강,중형,북북서,10,370
2019년 08월 07일 21시,120,29.9,139.1,970,35,126,400,강,중형,북북서,13,480
2019년 08월 08일 03시,0,21.8,140.8,975,32,115,420,중,중형,북,4,null
2019년 08월 08일 03시,12,22.4,140.6,970,35,126,430,강,중형,북북서,6,50
2019년 08월 08일 03시,24,23.1,140.7,965,37,133,440,강,중형,북,6,110
2019년 08월 08일 03시,36,23.7,140.9,960,39,140,450,강,중형,북북동,5,140
2019년 08월 08일 03시,48,24.1,141.2,950,43,155,460,강,중형,북북동,5,170
2019년 08월 08일 03시,72,25.7,141.2,955,40,144,450,강,중형,북,7,260
2019년 08월 08일 03시,96,27.7,140.2,965,37,133,420,강,중형,북북서,10,370
2019년 08월 08일 03시,120,30.1,138.7,975,32,115,400,중,중형,북북서,13,480
2019년 08월 08일 09시,0,22,140.5,970,35,126,420,강,중형,서,3,null
2019년 08월 08일 09시,12,22.8,140.6,965,37,133,430,강,중형,북,7,50
2019년 08월 08일 09시,24,23.4,140.9,960,39,140,440,강,중형,북북동,6,110
2019년 08월 08일 09시,36,23.8,141.2,955,40,144,450,강,중형,북동,5,140
2019년 08월 08일 09시,48,24.4,141.3,950,43,155,460,강,중형,북북동,5,170
2019년 08월 08일 09시,72,26.2,141,955,40,144,440,강,중형,북,8,260
2019년 08월 08일 09시,96,28.4,139.8,965,37,133,410,강,중형,북북서,11,370
2019년 08월 08일 09시,120,30.5,138.4,970,35,126,390,강,중형,북북서,13,480
2019년 08월 08일 15시,0,22.1,140.6,955,40,144,440,강,중형,동,3,null
2019년 08월 08일 15시,12,22.8,140.9,945,45,162,450,매우 강,중형,북북동,7,48
2019년 08월 08일 15시,24,23.5,141.3,950,43,155,440,강,중형,북북동,7,110
2019년 08월 08일 15시,36,24,141.6,950,43,155,430,강,중형,북북동,5,140
2019년 08월 08일 15시,48,24.8,141.4,955,40,144,420,강,중형,북,8,170
2019년 08월 08일 15시,72,26.7,140.4,955,40,144,410,강,중형,북북서,10,260
2019년 08월 08일 15시,96,28.4,138.9,960,39,140,400,강,중형,북북서,11,370
2019년 08월 08일 15시,120,29.9,137.3,960,39,140,400,강,중형,북서,9,480
2019년 08월 08일 21시,0,22.1,140.7,955,40,144,440,강,중형,동,3,null
2019년 08월 08일 21시,12,23.2,141.1,950,43,155,450,강,중형,북북동,11,48
2019년 08월 08일 21시,24,23.8,141.5,950,43,155,450,강,중형,북북동,6,110
2019년 08월 08일 21시,36,24.3,141.6,955,40,144,440,강,중형,북북동,5,140
2019년 08월 08일 21시,48,25.2,141.3,960,39,140,430,강,중형,북북서,9,170
2019년 08월 08일 21시,72,27.1,140.1,960,39,140,420,강,중형,북북서,10,260
2019년 08월 08일 21시,96,28.7,138.6,965,37,133,400,강,중형,북서,9,370
2019년 08월 08일 21시,120,29.9,137.2,965,37,133,400,강,중형,북서,8,480
2019년 08월 09일 03시,0,22,141,950,43,155,440,강,중형,동,7,null
2019년 08월 09일 03시,12,22.8,141.3,950,43,155,450,강,중형,북북동,7,48
2019년 08월 09일 03시,24,23.3,141.4,950,43,155,440,강,중형,북,5,110
2019년 08월 09일 03시,36,24,141.1,955,40,144,430,강,중형,북북서,7,140
2019년 08월 09일 03시,48,24.8,140.7,960,39,140,420,강,중형,북북서,8,170
2019년 08월 09일 03시,72,26.8,138.9,960,39,140,420,강,중형,북서,12,260
2019년 08월 09일 03시,96,28.7,137.2,965,37,133,400,강,중형,북서,11,370
2019년 08월 09일 03시,120,29.9,135.8,965,37,133,400,강,중형,북서,8,480
2019년 08월 09일 09시,0,22,141.1,950,43,155,440,강,중형,남,4,null
2019년 08월 09일 09시,12,22.8,141.4,950,43,155,440,강,중형,북북동,8,48
2019년 08월 09일 09시,24,23.7,141.2,950,43,155,440,강,중형,북,8,110
2019년 08월 09일 09시,36,24.3,140.8,955,40,144,430,강,중형,북서,7,140
2019년 08월 09일 09시,48,24.9,139.9,960,39,140,420,강,중형,북서,9,170
2019년 08월 09일 09시,72,26.8,137.3,960,39,140,410,강,중형,북서,14,260
2019년 08월 09일 09시,96,28.4,135.7,965,37,133,400,강,중형,북서,10,370
2019년 08월 09일 09시,120,29.9,135,970,35,126,400,강,중형,북북서,7,480
2019년 08월 09일 15시,0,22.1,141.3,955,40,144,440,강,중형,북,4,null
2019년 08월 09일 15시,12,23.2,141.2,955,40,144,440,강,중형,북,11,48
2019년 08월 09일 15시,24,23.9,140.7,960,39,140,430,강,중형,북서,7,110
2019년 08월 09일 15시,36,24.4,140.1,960,39,140,430,강,중형,북서,7,140
2019년 08월 09일 15시,48,25,139,965,37,133,420,강,중형,서북서,11,170
2019년 08월 09일 15시,72,26.6,136.4,965,37,133,420,강,중형,서북서,13,260
2019년 08월 09일 15시,96,27.9,134.6,970,35,126,410,강,중형,북서,9,370
2019년 08월 09일 15시,120,29.9,134,970,35,126,400,강,중형,북북서,9,480
2019년 08월 09일 21시,0,22.2,141.5,955,40,144,440,강,중형,북동,5,null
2019년 08월 09일 21시,12,23.3,141.2,955,40,144,440,강,중형,북북서,10,48
2019년 08월 09일 21시,24,24.1,140.4,960,39,140,430,강,중형,북서,10,110
2019년 08월 09일 21시,36,24.7,139.6,960,39,140,430,강,중형,서북서,9,140
2019년 08월 09일 21시,48,25.2,138.4,965,37,133,420,강,중형,서북서,11,170
2019년 08월 09일 21시,72,26.8,136.2,965,37,133,420,강,중형,북서,12,260
2019년 08월 09일 21시,96,28.1,134.4,970,35,126,400,강,중형,북서,10,370
2019년 08월 09일 21시,120,30.1,133.9,970,35,126,400,강,중형,북북서,9,480
2019년 08월 10일 03시,0,22.3,141.5,965,37,133,430,강,중형,남동,5,null
2019년 08월 10일 03시,12,23.2,140.6,965,37,133,430,강,중형,북서,11,48
2019년 08월 10일 03시,24,23.9,139.5,965,37,133,430,강,중형,서북서,12,110
2019년 08월 10일 03시,36,24.5,138.3,965,37,133,430,강,중형,서북서,12,140
2019년 08월 10일 03시,48,25.1,137.3,965,37,133,430,강,중형,서북서,10,170
2019년 08월 10일 03시,72,26.5,134.8,970,35,126,400,강,중형,서북서,12,260
2019년 08월 10일 03시,96,28.3,133.2,970,35,126,400,강,중형,북서,11,370
2019년 08월 10일 03시,120,30.4,132.6,970,35,126,400,강,중형,북북서,10,480
2019년 08월 10일 09시,0,22.7,141.3,965,37,133,430,강,중형,북서,5,null
2019년 08월 10일 09시,12,23.4,140.3,965,37,133,430,강,중형,북서,11,50
2019년 08월 10일 09시,24,24.2,138.9,965,37,133,430,강,중형,서북서,13,110
2019년 08월 10일 09시,36,24.9,137.6,965,37,133,430,강,중형,서북서,13,140
2019년 08월 10일 09시,48,25.6,136.3,965,37,133,430,강,중형,서북서,13,170
2019년 08월 10일 09시,72,27.1,134.1,970,35,126,400,강,중형,북서,12,260
2019년 08월 10일 09시,96,29.3,132.8,970,35,126,380,강,중형,북북서,11,370
2019년 08월 10일 09시,120,31.9,133,970,35,126,370,강,중형,북,12,480
2019년 08월 10일 15시,0,23,141,965,37,133,450,강,중형,서북서,8,null
2019년 08월 10일 15시,12,23.7,139.8,965,37,133,450,강,중형,서북서,12,50
