일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 09월 19일 15시,0,22.4,128.7,996,18,65,200,-,소형,북동,5,null
2019년 09월 19일 15시,12,22.9,127.9,990,24,86,270,-,소형,서북서,8,50
2019년 09월 19일 15시,24,23.5,127.1,985,27,97,320,중,중형,북서,9,110
2019년 09월 19일 15시,36,24.8,126.3,975,32,115,340,중,중형,북북서,14,140
2019년 09월 19일 15시,48,27.4,125.8,970,35,126,350,강,중형,북북서,24,170
2019년 09월 19일 15시,60,30.3,126.3,970,35,126,350,강,중형,북,28,215
2019년 09월 19일 15시,72,33.4,128.1,975,32,115,340,중,중형,북북동,31,260
2019년 09월 19일 15시,84,37.1,132.2,980,29,104,300,중,중형,북동,47,320
2019년 09월 19일 15시,96,41.2,137.6,985,27,97,0,-,-,북동,54,0
2019년 09월 19일 21시,0,23.1,128.3,994,18,65,230,-,소형,북서,21,null
2019년 09월 19일 21시,12,23.4,127.6,985,27,97,290,중,소형,서북서,7,50
2019년 09월 19일 21시,24,24.2,126.7,980,29,104,330,중,중형,북서,10,110
2019년 09월 19일 21시,36,26,125.9,970,35,126,350,강,중형,북북서,18,140
2019년 09월 19일 21시,48,28.8,125.9,970,35,126,350,강,중형,북,26,170
2019년 09월 19일 21시,60,31.8,127,975,32,115,340,중,중형,북북동,29,215
2019년 09월 19일 21시,72,35.2,129.9,980,29,104,320,중,중형,북동,39,260
2019년 09월 19일 21시,84,39.2,134.7,985,27,97,290,중,소형,북동,51,315
2019년 09월 19일 21시,96,42.4,140.8,990,24,86,0,-,-,동북동,52,0
2019년 09월 20일 03시,0,23.3,126.9,992,20,72,240,-,소형,서,24,null
2019년 09월 20일 03시,12,23.7,126.5,985,27,97,290,중,소형,북서,5,50
2019년 09월 20일 03시,24,24.9,126,980,29,104,330,중,중형,북북서,12,110
2019년 09월 20일 03시,36,27.2,125.6,970,35,126,350,강,중형,북,22,140
2019년 09월 20일 03시,48,30.1,126.2,970,35,126,350,강,중형,북북동,27,170
2019년 09월 20일 03시,60,32.6,127.4,975,32,115,340,중,중형,북북동,25,215
2019년 09월 20일 03시,72,36.8,131.3,980,29,104,320,중,중형,북동,48,260
2019년 09월 20일 03시,84,39.7,135.2,985,27,97,290,중,소형,동북동,53,315
2019년 09월 20일 03시,96,44,143,990,24,86,0,-,-,동북동,57,0
2019년 09월 20일 09시,0,23.3,127,990,24,86,280,-,소형,동,2,null
2019년 09월 20일 09시,12,24.1,126.3,985,27,97,320,중,중형,북서,10,48
2019년 09월 20일 09시,24,25.9,125.7,975,32,115,340,중,중형,북북서,17,110
2019년 09월 20일 09시,36,28.6,125.8,970,35,126,350,강,중형,북,25,140
2019년 09월 20일 09시,48,31.3,126.6,975,32,115,340,중,중형,북북동,25,170
2019년 09월 20일 09시,60,34.7,129.2,975,32,115,330,중,중형,북동,37,215
2019년 09월 20일 09시,72,38.2,133,980,29,104,300,중,중형,북동,43,260
2019년 09월 20일 09시,84,42,139.3,985,27,97,0,-,-,동북동,57,0
2019년 09월 20일 15시,0,23.3,127,980,29,104,330,중,중형,서북서,2,null
2019년 09월 20일 15시,12,24.9,126,975,32,115,340,중,중형,북북서,17,48
2019년 09월 20일 15시,24,27.3,125.3,970,35,126,350,강,중형,북북서,23,110
2019년 09월 20일 15시,36,29.5,125.1,965,37,133,350,강,중형,북,21,140
2019년 09월 20일 15시,48,33.2,127.5,970,35,126,340,강,중형,북북동,39,170
2019년 09월 20일 15시,60,36.8,131.2,975,32,115,330,중,중형,북동,43,215
2019년 09월 20일 15시,72,40.4,136.4,980,29,104,320,중,중형,북동,51,260
2019년 09월 20일 15시,84,43.5,143.1,985,27,97,0,-,-,동북동,55,0
2019년 09월 20일 21시,0,23.7,127,980,29,104,330,중,중형,북,9,null
2019년 09월 20일 21시,12,26.1,125.8,970,35,126,350,강,중형,북북서,24,48
2019년 09월 20일 21시,24,28.4,125.2,965,37,133,360,강,중형,북,25,110
2019년 09월 20일 21시,36,31.3,126.1,965,37,133,360,강,중형,북북동,27,140
2019년 09월 20일 21시,48,34.8,129.1,975,32,115,350,중,중형,북동,40,170
2019년 09월 20일 21시,60,38.6,133.6,980,29,104,300,중,중형,북동,49,215
2019년 09월 20일 21시,72,42.2,140.1,985,27,97,0,-,-,동북동,57,0
2019년 09월 21일 03시,0,25,126.4,975,32,115,340,중,중형,북북서,26,null
2019년 09월 21일 03시,12,27.4,125.3,965,37,133,360,강,중형,북북서,24,48
2019년 09월 21일 03시,24,29.9,125.1,965,37,133,360,강,중형,북,22,110
2019년 09월 21일 03시,36,33,127.4,970,35,126,350,강,중형,북동,34,140
2019년 09월 21일 03시,48,36.7,131.2,975,32,115,320,중,중형,북동,45,170
2019년 09월 21일 03시,60,40.7,137.1,980,29,104,0,-,-,북동,57,0
2019년 09월 21일 09시,0,26.2,125.8,970,35,126,360,강,중형,북북서,24,null
2019년 09월 21일 09시,12,28.7,125,965,37,133,370,강,중형,북북서,24,50
2019년 09월 21일 09시,24,31.3,126,965,37,133,370,강,중형,북북동,26,110
2019년 09월 21일 09시,36,34.8,129,970,35,126,350,강,중형,북동,40,140
2019년 09월 21일 09시,48,38.9,134.3,975,32,115,300,중,중형,북동,55,170
2019년 09월 21일 09시,60,42.2,139.3,985,27,97,0,-,-,북동,57,0
2019년 09월 21일 12시,0,26.8,125.4,970,35,126,350,강,중형,북북서,26,null
2019년 09월 21일 12시,6,28,125.1,965,37,133,360,강,중형,북북서,23,24
2019년 09월 21일 12시,12,29.3,125.1,965,37,133,360,강,중형,북,24,48
2019년 09월 21일 12시,18,30.6,125.6,965,37,133,360,강,중형,북북동,25,72
2019년 09월 21일 12시,24,32.1,126.6,965,37,133,360,강,중형,북북동,32,110
2019년 09월 21일 12시,30,33.8,128.1,970,35,126,350,강,중형,북동,40,125
2019년 09월 21일 12시,36,35.8,130.2,975,32,115,340,중,중형,북동,49,140
2019년 09월 21일 12시,42,37.9,132.9,980,29,104,310,중,중형,북동,56,155
2019년 09월 21일 12시,48,40,135.8,985,27,97,290,중,소형,북동,57,170
2019년 09월 21일 12시,54,42,139,985,27,97,0,-,-,동북동,60,0
2019년 09월 21일 15시,0,27.3,125.3,965,37,133,350,강,중형,북북서,19,null
2019년 09월 21일 15시,6,28.7,125,965,37,133,360,강,중형,북,26,24
2019년 09월 21일 15시,12,30,125.3,965,37,133,360,강,중형,북,24,48
2019년 09월 21일 15시,18,31.3,126,965,37,133,360,강,중형,북북동,28,72
2019년 09월 21일 15시,24,32.9,127.2,965,37,133,350,강,중형,북동,36,110
2019년 09월 21일 15시,30,34.8,129.1,970,35,126,340,강,중형,북동,44,125
2019년 09월 21일 15시,36,36.8,131.5,975,32,115,320,중,중형,북동,53,140
2019년 09월 21일 15시,42,38.9,134.3,980,29,104,300,중,중형,북동,56,155
2019년 09월 21일 15시,48,40.9,137.3,985,27,97,280,중,소형,동북동,57,170
2019년 09월 21일 15시,54,43.2,140.6,990,24,86,0,-,-,북동,61,0
2019년 09월 21일 18시,0,27.9,125.3,965,37,133,350,강,중형,북,22,null
2019년 09월 21일 18시,6,29.3,125.2,965,37,133,360,강,중형,북,26,24
2019년 09월 21일 18시,12,30.6,125.6,965,37,133,360,강,중형,북북동,25,48
2019년 09월 21일 18시,18,32.1,126.6,965,37,133,360,강,중형,북북동,31,72
2019년 09월 21일 18시,24,33.8,128.1,965,37,133,350,강,중형,북동,40,110
2019년 09월 21일 18시,30,35.8,130.2,970,35,126,330,강,중형,북동,49,125
2019년 09월 21일 18시,36,37.9,132.9,975,32,115,310,중,중형,북동,55,140
2019년 09월 21일 18시,42,39.9,135.8,980,29,104,290,중,소형,북동,57,155
2019년 09월 21일 18시,48,42.2,139.1,985,27,97,0,-,-,동북동,63,0
2019년 09월 21일 21시,0,28.5,125.4,965,37,133,350,강,중형,북,22,null
2019년 09월 21일 21시,6,30,125.5,965,37,133,360,강,중형,북,28,24
2019년 09월 21일 21시,12,31.4,126.1,965,37,133,360,강,중형,북북동,28,48
2019년 09월 21일 21시,18,32.9,127.2,965,37,133,350,강,중형,북동,34,72
2019년 09월 21일 21시,24,34.8,129.1,970,35,126,340,강,중형,북동,44,110
2019년 09월 21일 21시,30,36.8,131.5,975,32,115,320,중,중형,북동,52,125
2019년 09월 21일 21시,36,38.9,134.3,980,29,104,300,중,중형,북동,56,140
2019년 09월 21일 21시,42,41,137.3,985,27,97,270,중,소형,북동,58,155
2019년 09월 21일 21시,48,43.2,140.6,990,24,86,0,-,-,북동,62,0
2019년 09월 22일 00시,0,29.1,125.6,970,37,133,360,강,중형,북북동,23,null
2019년 09월 22일 00시,6,30.6,126,970,37,133,360,강,중형,북북동,28,24
2019년 09월 22일 00시,12,32.1,126.6,970,37,133,350,강,중형,북북동,29,48
2019년 09월 22일 00시,18,33.8,128.1,970,35,126,340,강,중형,북동,40,72
2019년 09월 22일 00시,24,35.8,130.2,975,32,115,330,중,중형,북동,49,110
2019년 09월 22일 00시,30,37.9,132.8,980,29,104,310,중,중형,북동,55,125
2019년 09월 22일 00시,36,39.9,135.8,985,27,97,280,중,소형,북동,57,140
2019년 09월 22일 00시,42,42.2,139.2,990,24,86,0,-,-,동북동,64,0
2019년 09월 22일 03시,0,29.9,125.7,970,37,133,360,강,중형,북,30,null
2019년 09월 22일 03시,6,31.3,126.2,970,37,133,350,강,중형,북북동,28,24
2019년 09월 22일 03시,12,32.9,127.3,970,37,133,340,강,중형,북북동,34,48
2019년 09월 22일 03시,18,34.8,129.1,970,35,126,340,강,중형,북동,44,72
2019년 09월 22일 03시,24,36.8,131.5,975,32,115,320,중,중형,북동,52,110
2019년 09월 22일 03시,30,38.9,134.3,980,29,104,310,중,중형,북동,55,125
2019년 09월 22일 03시,36,41.2,137.7,985,27,97,280,중,소형,북동,64,140
2019년 09월 22일 03시,42,43.2,140.7,990,24,86,0,-,-,동북동,64,0
2019년 09월 22일 06시,0,30.3,126.1,970,35,126,350,강,중형,북동,20,null
2019년 09월 22일 06시,6,32.1,126.8,970,35,126,350,강,중형,북북동,35,24
2019년 09월 22일 06시,12,33.7,128.2,975,32,115,340,중,중형,북동,38,48
2019년 09월 22일 06시,18,35.7,130.4,975,32,115,320,중,중형,북동,49,72
2019년 09월 22일 06시,24,37.7,132.9,980,29,104,310,중,중형,북동,53,110
2019년 09월 22일 06시,30,39.9,136,985,27,97,280,중,소형,북동,61,125
2019년 09월 22일 06시,36,42.1,139.6,990,24,86,0,-,-,동북동,66,0
2019년 09월 22일 09시,0,31,126.4,970,35,126,350,강,중형,북북동,28,null
2019년 09월 22일 09시,6,32.9,127.4,970,35,126,340,강,중형,북북동,39,24
2019년 09월 22일 09시,12,34.5,129.1,975,32,115,330,중,중형,북동,39,48
2019년 09월 22일 09시,18,36.4,131.3,975,32,115,320,중,중형,북동,48,72
2019년 09월 22일 09시,24,38.4,133.9,980,29,104,310,중,중형,북동,54,110
2019년 09월 22일 09시,30,40.9,137.6,985,27,97,0,-,-,북동,69,0
2019년 09월 22일 12시,0,31.7,126.8,970,35,126,350,강,중형,북북동,29,null
2019년 09월 22일 12시,6,33.7,128.2,970,35,126,340,강,중형,북동,42,24
2019년 09월 22일 12시,12,35.4,130.1,975,32,115,320,중,중형,북동,43,48
2019년 09월 22일 12시,18,37.4,132.5,975,32,115,310,중,중형,북동,52,72
2019년 09월 22일 12시,24,39.8,135.9,980,29,104,300,중,중형,북동,67,110
2019년 09월 22일 12시,30,42,139.2,985,27,97,0,-,-,북동,69,0
2019년 09월 22일 15시,0,32.5,127.4,970,35,126,350,강,중형,북동,35,null
2019년 09월 22일 15시,6,34.4,129.1,975,32,115,330,중,중형,북동,44,24
2019년 09월 22일 15시,12,36.2,131.3,975,32,115,320,중,중형,북동,47,48
2019년 09월 22일 15시,18,38.4,134.2,980,29,104,310,중,중형,북동,59,72
2019년 09월 22일 15시,24,40.8,138,985,27,97,0,-,-,동북동,69,0
2019년 09월 22일 18시,0,33.3,128.2,970,35,126,330,강,중형,북동,39,null
2019년 09월 22일 18시,6,35.3,130.4,975,32,115,310,중,중형,북동,50,24
2019년 09월 22일 18시,12,37.4,133.2,975,32,115,290,중,소형,북동,57,48
2019년 09월 22일 18시,18,39.5,136.4,980,29,104,270,중,소형,동북동,61,72
2019년 09월 22일 18시,24,41.7,139.9,985,27,97,0,-,-,동북동,63,0
2019년 09월 22일 21시,0,34.3,129.6,980,29,104,290,중,소형,북동,57,null
2019년 09월 22일 21시,6,36.1,131.6,985,27,97,260,중,소형,북동,45,24
2019년 09월 22일 21시,12,38.3,134.6,985,27,97,230,중,소형,북동,60,48
2019년 09월 22일 21시,18,40.6,138.2,990,24,86,0,-,-,동북동,66,0
2019년 09월 23일 00시,0,35.1,130.8,985,27,97,250,중,소형,동북동,47,null
