일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2011년 08월 25일 09시,0,17.8,141.4,998,18,65,200,약,소형,북북서,13,0
2011년 08월 25일 09시,24,20,140.5,985,27,97,250,중,소형,북북서,11,150
2011년 08월 25일 09시,48,21.7,139.9,975,34,122,300,강,중형,북북서,9,250
2011년 08월 25일 09시,72,23.5,139.5,965,38,137,380,강,중형,북북서,9,400
2011년 08월 25일 09시,96,25.1,139.1,960,40,144,400,강,중형,북북서,8,550
2011년 08월 25일 09시,120,26.7,138.8,960,40,144,400,강,중형,북북서,8,700
2011년 08월 25일 15시,0,19.4,140.8,996,19,68,200,약,소형,북북서,32,0
2011년 08월 25일 15시,24,21.4,140.1,980,31,112,250,중,소형,북북서,10,150
2011년 08월 25일 15시,48,23.4,139.5,965,38,137,300,강,중형,북북서,10,250
2011년 08월 25일 15시,72,25.3,139.1,955,41,148,380,강,중형,북,9,400
2011년 08월 25일 15시,96,27.1,138.9,950,43,155,400,강,중형,북,9,550
2011년 08월 25일 15시,120,28.9,138.7,950,43,155,400,강,중형,북,9,700
2011년 08월 25일 21시,0,20.2,140.1,994,21,76,250,약,소형,북서,20,0
2011년 08월 25일 21시,24,22.1,139.7,980,31,112,300,중,중형,북북서,9,150
2011년 08월 25일 21시,48,23.8,139.4,965,38,137,350,강,중형,북북서,9,250
2011년 08월 25일 21시,72,25.6,139.3,955,41,148,430,강,중형,북,9,400
2011년 08월 25일 21시,96,27.7,139.7,950,43,155,450,강,중형,북,10,550
2011년 08월 25일 21시,120,29.7,140.5,955,41,148,430,강,중형,북북동,10,700
2011년 08월 26일 03시,0,20.5,139.8,990,24,86,300,약,중형,북서,8,0
2011년 08월 26일 03시,24,22.2,139.7,980,31,112,350,중,중형,북,8,150
2011년 08월 26일 03시,48,23.9,139.6,965,38,137,400,강,중형,북,8,250
2011년 08월 26일 03시,72,25.8,139.5,955,41,148,450,강,중형,북,9,400
2011년 08월 26일 03시,96,27.6,139.5,955,41,148,450,강,중형,북,9,550
2011년 08월 26일 03시,120,29.5,139.8,960,40,144,420,강,중형,북,9,700
2011년 08월 26일 09시,0,20.8,139.2,985,27,97,320,중,중형,서북서,12,0
2011년 08월 26일 09시,24,22.4,139.3,970,36,130,380,강,중형,북,8,150
2011년 08월 26일 09시,48,24,139.4,955,41,148,450,강,중형,북,8,250
2011년 08월 26일 09시,72,25.6,139.4,950,43,155,480,강,중형,북,8,400
2011년 08월 26일 09시,96,27.4,139.5,950,43,155,480,강,중형,북,9,550
2011년 08월 26일 09시,120,29.2,139.6,955,41,148,450,강,중형,북,9,700
2011년 08월 26일 15시,0,21.2,139.1,980,31,112,300,중,중형,북북서,8,0
2011년 08월 26일 15시,24,22.6,139.3,965,38,137,350,강,중형,북,7,150
2011년 08월 26일 15시,48,24.1,139.4,950,43,155,380,강,중형,북,7,250
2011년 08월 26일 15시,72,25.7,139.4,945,45,162,400,매우 강,중형,북,8,400
2011년 08월 26일 15시,96,27.3,139.7,950,43,155,380,강,중형,북,8,550
2011년 08월 26일 15시,120,29.2,140,955,41,148,350,강,중형,북,9,700
2011년 08월 26일 21시,0,22.2,139.4,980,31,112,300,중,중형,북북동,12,0
2011년 08월 26일 21시,24,23.5,139.6,960,40,144,370,강,중형,북,7,150
2011년 08월 26일 21시,48,24.9,139.6,945,45,162,400,매우 강,중형,북,7,250
2011년 08월 26일 21시,72,26.5,139.5,940,46,166,420,매우 강,중형,북,8,400
2011년 08월 26일 21시,96,28.1,139.8,950,43,155,380,강,중형,북,8,550
2011년 08월 26일 21시,120,30.4,140.4,955,41,148,350,강,중형,북북동,11,700
2011년 08월 27일 03시,0,22.7,139.4,980,31,112,330,중,중형,북,9,0
2011년 08월 27일 03시,24,24.2,139.6,960,40,144,370,강,중형,북,8,150
2011년 08월 27일 03시,48,25.6,139.5,945,45,162,400,매우 강,중형,북,7,250
2011년 08월 27일 03시,72,27,139.4,940,46,166,420,매우 강,중형,북,7,400
2011년 08월 27일 03시,96,28.8,139.9,950,43,155,380,강,중형,북북동,9,550
2011년 08월 27일 03시,120,31.2,140.8,955,41,148,350,강,중형,북북동,12,700
2011년 08월 27일 09시,0,22.9,139.3,980,31,112,330,중,중형,북북서,5,0
2011년 08월 27일 09시,24,24.3,139.5,960,40,144,370,강,중형,북,7,150
2011년 08월 27일 09시,48,25.7,139.4,945,45,162,400,매우 강,중형,북,7,250
2011년 08월 27일 09시,72,27.1,139.3,940,46,166,420,매우 강,중형,북,7,400
2011년 08월 27일 09시,96,29,139.8,950,43,155,380,강,중형,북북동,9,550
2011년 08월 27일 09시,120,31.4,140.7,955,41,148,350,강,중형,북북동,12,700
2011년 08월 27일 15시,0,23.1,139.4,980,31,112,380,중,중형,북북동,5,0
2011년 08월 27일 15시,24,24,139.5,970,36,130,400,강,중형,북,5,150
2011년 08월 27일 15시,48,25.3,139.6,960,40,144,410,강,중형,북,7,250
2011년 08월 27일 15시,72,26.6,139.6,950,43,155,420,강,중형,북,7,400
2011년 08월 27일 15시,96,28.2,140,955,41,148,410,강,중형,북북동,8,550
2011년 08월 27일 15시,120,30.3,140.8,960,40,144,400,강,중형,북북동,11,700
2011년 08월 27일 21시,0,23.1,139.6,980,31,112,380,중,중형,동북동,4,0
2011년 08월 27일 21시,24,24,139.4,965,38,137,400,강,중형,북북서,5,150
2011년 08월 27일 21시,48,24.9,139.4,955,41,148,450,강,중형,북,5,250
2011년 08월 27일 21시,72,26.6,139.6,950,43,155,480,강,중형,북,8,400
2011년 08월 27일 21시,96,28.6,139.8,955,41,148,450,강,중형,북,10,550
2011년 08월 27일 21시,120,30.6,140.5,960,40,144,400,강,중형,북북동,10,700
2011년 08월 28일 03시,0,23.1,139.6,980,31,112,380,중,중형,북,1,0
2011년 08월 28일 03시,24,24.3,139.4,970,36,130,400,강,중형,북,6,150
2011년 08월 28일 03시,48,25.4,139.3,960,40,144,450,강,중형,북,6,250
2011년 08월 28일 03시,72,27,139.1,960,40,144,450,강,중형,북,8,400
2011년 08월 28일 03시,96,29.1,138.8,970,36,130,380,강,중형,북,10,550
2011년 08월 28일 03시,120,31.9,140,980,31,112,300,중,중형,북북동,14,700
2011년 08월 28일 09시,0,23.2,139.6,980,31,112,380,중,중형,북,2,0
2011년 08월 28일 09시,24,24.4,139.5,970,36,130,400,강,중형,북,6,150
2011년 08월 28일 09시,48,25.6,139.2,960,40,144,450,강,중형,북북서,7,250
2011년 08월 28일 09시,72,27.2,138.9,960,40,144,450,강,중형,북북서,8,400
2011년 08월 28일 09시,96,29.3,138.6,970,36,130,380,강,중형,북,10,550
2011년 08월 28일 09시,120,31.7,139.2,980,31,112,300,중,중형,북북동,12,700
2011년 08월 28일 15시,0,23.2,139.5,980,31,112,380,중,중형,서,2,0
2011년 08월 28일 15시,24,24,139.3,970,36,130,400,강,중형,북북서,4,150
2011년 08월 28일 15시,48,25.2,139,960,40,144,450,강,중형,북북서,6,250
2011년 08월 28일 15시,72,27.1,138.1,960,40,144,450,강,중형,북북서,10,400
2011년 08월 28일 15시,96,29.5,137.5,970,36,130,380,강,중형,북북서,12,550
2011년 08월 28일 15시,120,32.6,137.8,980,31,112,300,중,중형,북,15,700
2011년 08월 28일 21시,0,23.2,139.6,980,31,112,380,중,중형,동,2,0
2011년 08월 28일 21시,24,23.7,139.5,970,36,130,400,강,중형,북,3,150
2011년 08월 28일 21시,48,24.5,139.3,960,40,144,450,강,중형,북북서,4,250
