일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2017년 09월 09일 21시,0,15.1,143.2,1002,18,65,200,약,소형,서,22,0
2017년 09월 09일 21시,24,16.8,137.6,994,21,76,250,약,소형,서북서,26,140
2017년 09월 09일 21시,48,18.3,131.8,980,29,104,280,중,소형,서북서,26,230
2017년 09월 09일 21시,72,19.8,125.8,970,35,126,300,강,중형,서북서,27,320
2017년 09월 09일 21시,96,21.5,120.4,960,39,140,330,강,중형,서북서,25,460
2017년 09월 09일 21시,120,23,117.5,970,35,126,300,강,중형,서북서,14,550
2017년 09월 10일 03시,0,15.4,141.9,1000,18,65,200,약,소형,서북서,24,0
2017년 09월 10일 03시,24,17.2,136.5,990,24,86,250,약,소형,서북서,26,140
2017년 09월 10일 03시,48,18.8,130.6,980,29,104,280,중,소형,서북서,27,230
2017년 09월 10일 03시,72,20.5,124.6,970,35,126,300,강,중형,서북서,27,320
2017년 09월 10일 03시,96,22,120.5,950,43,155,350,강,중형,서북서,19,460
2017년 09월 10일 03시,120,23.4,118,960,39,140,320,강,중형,서북서,12,550
2017년 09월 10일 09시,0,15.4,140.4,996,20,72,200,약,소형,서,27,0
2017년 09월 10일 09시,24,17.9,135.3,990,24,86,250,약,소형,서북서,25,140
2017년 09월 10일 09시,48,20,129.1,970,35,126,300,강,중형,서북서,29,230
2017년 09월 10일 09시,72,21.3,123.6,955,40,144,350,강,중형,서북서,25,320
2017년 09월 10일 09시,96,22.8,119.7,950,43,155,370,강,중형,서북서,18,460
2017년 09월 10일 09시,120,24,117.6,960,39,140,330,강,중형,서북서,10,550
2017년 09월 10일 15시,0,16.2,139.7,992,23,83,220,약,소형,북서,19,0
2017년 09월 10일 15시,24,18.8,134,985,27,97,270,중,소형,서북서,28,140
2017년 09월 10일 15시,48,20.5,127.8,965,37,133,320,강,중형,서북서,28,230
2017년 09월 10일 15시,72,21.9,122.5,945,45,162,370,매우강,중형,서북서,24,320
2017년 09월 10일 15시,96,23.6,119.2,955,40,144,330,강,중형,서북서,16,460
2017년 09월 10일 15시,120,24.9,117.5,965,37,133,280,강,소형,북서,10,550
2017년 09월 10일 21시,0,16.6,138.3,990,24,86,220,약,소형,서북서,26,0
2017년 09월 10일 21시,24,19.5,132.5,980,29,104,270,중,소형,서북서,30,140
2017년 09월 10일 21시,48,20.9,126.2,960,39,140,320,강,중형,서북서,28,230
2017년 09월 10일 21시,72,22.1,121.4,945,45,162,370,매우강,중형,서북서,21,320
2017년 09월 10일 21시,96,23.8,118.6,960,39,140,320,강,중형,서북서,14,460
2017년 09월 10일 21시,120,25.7,117.1,980,29,104,220,중,소형,북서,11,550
2017년 09월 11일 03시,0,17,137.2,990,24,86,220,약,소형,서북서,21,0
2017년 09월 11일 03시,24,20,131,980,29,104,270,중,소형,서북서,30,140
2017년 09월 11일 03시,48,22.3,125,945,45,162,350,매우강,중형,서북서,28,230
2017년 09월 11일 03시,72,23.5,120.7,960,39,140,330,강,중형,서북서,19,320
2017년 09월 11일 03시,96,24.4,118.8,970,35,126,300,강,중형,서북서,9,460
2017년 09월 11일 03시,120,26.1,117.3,990,24,86,150,약,소형,북서,10,550
