일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 08월 02일 09시,0,19.7,153.1,998,18,65,180,-,소형,북서,16,null
2019년 08월 02일 09시,12,22.2,151.4,996,20,72,180,-,소형,북서,27,48
2019년 08월 02일 09시,24,24.6,148.9,994,21,76,190,-,소형,북서,31,110
2019년 08월 02일 09시,36,26.1,146.2,990,24,86,200,-,소형,서북서,26,140
2019년 08월 02일 09시,48,27.8,141.8,985,27,97,210,중,소형,서북서,40,170
2019년 08월 02일 09시,72,29.9,135.5,975,32,115,220,중,소형,서북서,27,260
2019년 08월 02일 09시,96,31.7,129.6,975,32,115,220,중,소형,서북서,25,370
2019년 08월 02일 09시,120,33.4,124.7,975,32,115,220,중,소형,서북서,21,480
2019년 08월 02일 15시,0,21,152,998,19,68,180,-,소형,북서,41,null
2019년 08월 02일 15시,12,23.5,150.2,994,21,76,190,-,소형,북서,28,48
2019년 08월 02일 15시,24,25.4,147.7,992,23,83,200,-,소형,북서,27,110
2019년 08월 02일 15시,36,26.9,144.2,985,27,97,210,중,소형,서북서,32,140
2019년 08월 02일 15시,48,28.3,140.4,980,29,104,220,중,소형,서북서,34,170
2019년 08월 02일 15시,72,30.4,134,975,32,115,230,중,소형,서북서,28,260
2019년 08월 02일 15시,96,32.4,128.6,980,29,104,220,중,소형,서북서,23,370
2019년 08월 02일 15시,120,35.2,124.4,985,27,97,210,중,소형,서북서,21,480
2019년 08월 02일 21시,0,21.8,151.2,998,19,68,190,-,소형,북서,21,null
2019년 08월 02일 21시,12,24.3,148.8,992,23,83,200,-,소형,북서,31,48
2019년 08월 02일 21시,24,26,146.2,990,24,86,210,-,소형,서북서,27,110
2019년 08월 02일 21시,36,27.7,141.9,985,27,97,220,중,소형,서북서,39,140
2019년 08월 02일 21시,48,28.9,138.7,980,29,104,230,중,소형,서북서,28,170
2019년 08월 02일 21시,72,31,132.3,975,32,115,220,중,소형,서북서,28,260
2019년 08월 02일 21시,96,33.3,127.3,985,27,97,200,중,소형,서북서,22,370
2019년 08월 02일 21시,120,35.5,124.3,990,24,86,190,-,소형,북서,15,480
2019년 08월 03일 03시,0,22.7,150.4,996,20,72,190,-,소형,서북서,13,null
2019년 08월 03일 03시,12,25.3,147.5,992,23,83,200,-,소형,북서,34,48
2019년 08월 03일 03시,24,26.9,144,985,27,97,220,중,소형,서북서,32,110
2019년 08월 03일 03시,36,28.3,140.4,980,29,104,230,중,소형,서북서,32,140
2019년 08월 03일 03시,48,29.5,137.2,975,32,115,230,중,소형,서북서,29,170
2019년 08월 03일 03시,72,32.2,130.7,985,27,97,200,중,소형,서북서,29,260
2019년 08월 03일 03시,96,34.3,126.5,990,24,86,180,-,소형,서북서,19,370
2019년 08월 03일 03시,120,36.8,125.1,992,23,83,170,-,소형,북북서,13,480
2019년 08월 03일 09시,0,24.2,148.7,994,21,76,200,-,소형,북서,40,null
2019년 08월 03일 09시,12,26.3,145.7,990,24,86,210,-,소형,북서,32,48
2019년 08월 03일 09시,24,27.6,142.2,985,27,97,250,중,소형,서북서,31,110
2019년 08월 03일 09시,36,28.8,139,980,29,104,270,중,소형,서북서,29,140
2019년 08월 03일 09시,48,30.1,135.7,975,32,115,280,중,소형,서북서,29,170
2019년 08월 03일 09시,72,32.7,129.3,985,27,97,200,중,소형,서북서,28,260
2019년 08월 03일 09시,96,36.2,126,990,24,86,150,-,소형,북서,21,370
2019년 08월 03일 09시,120,39,127.1,998,18,65,120,-,소형,북북동,13,480
2019년 08월 03일 15시,0,25.2,147.6,994,21,76,230,-,소형,서북서,29,null
2019년 08월 03일 15시,12,27.1,144.5,990,24,86,250,-,소형,서북서,31,48
2019년 08월 03일 15시,24,28.3,140.9,985,27,97,260,중,소형,서북서,32,110
2019년 08월 03일 15시,36,29.4,137.3,980,29,104,270,중,소형,서북서,31,140
2019년 08월 03일 15시,48,30.6,134.2,975,32,115,280,중,소형,서북서,27,170
2019년 08월 03일 15시,72,33.5,128.2,985,27,97,230,중,소형,서북서,27,260
2019년 08월 03일 15시,96,37,126,990,24,86,150,-,소형,북북서,18,370
2019년 08월 03일 15시,120,40,128.8,998,19,68,120,-,소형,북동,17,480
2019년 08월 03일 21시,0,26.3,146.1,994,21,76,240,-,소형,북서,32,null
2019년 08월 03일 21시,12,27.7,142.7,990,24,86,250,-,소형,서북서,31,48
2019년 08월 03일 21시,24,28.9,139.2,985,27,97,260,중,소형,서북서,31,110
2019년 08월 03일 21시,36,29.9,135.9,980,29,104,270,중,소형,서북서,28,140
2019년 08월 03일 21시,48,31.2,132.8,975,32,115,280,중,소형,서북서,28,170
2019년 08월 03일 21시,72,34.4,127.2,985,27,97,230,중,소형,서북서,26,260
2019년 08월 03일 21시,96,37.9,126.4,992,23,83,150,-,소형,북북서,17,370
2019년 08월 03일 21시,120,40.5,129.9,998,19,68,120,-,소형,북동,18,480
2019년 08월 04일 03시,0,26.7,144.6,990,24,86,240,-,소형,서북서,28,null
2019년 08월 04일 03시,12,28.2,141.2,985,27,97,250,중,소형,서북서,31,48
2019년 08월 04일 03시,24,29.6,137.8,980,29,104,260,중,소형,서북서,31,110
2019년 08월 04일 03시,36,30.6,134.6,980,29,104,270,중,소형,서북서,27,140
2019년 08월 04일 03시,48,32,131.6,985,27,97,260,중,소형,서북서,27,170
2019년 08월 04일 03시,72,35.4,127.1,994,21,76,150,-,소형,북서,23,260
2019년 08월 04일 03시,96,39.4,128.7,998,19,68,120,-,소형,북북동,20,370
2019년 08월 04일 03시,120,41.4,134.6,1002,15,54,0,-,-,동북동,23,0
2019년 08월 04일 09시,0,27.3,143.2,990,24,86,250,-,소형,서북서,25,null
2019년 08월 04일 09시,12,29,139.6,985,27,97,260,중,소형,서북서,33,50
2019년 08월 04일 09시,24,30.1,136.1,980,29,104,280,중,소형,서북서,30,110
2019년 08월 04일 09시,36,31.2,132.7,980,29,104,270,중,소형,서북서,29,140
2019년 08월 04일 09시,48,32.6,129.7,985,27,97,230,중,소형,서북서,27,170
2019년 08월 04일 09시,72,36.4,127.4,996,20,72,120,-,소형,북북서,20,260
2019년 08월 04일 09시,96,40,130.5,1000,17,61,100,-,소형,북동,20,370
2019년 08월 04일 09시,120,41.7,138.7,1002,15,54,0,-,-,동,30,0
2019년 08월 04일 15시,0,28.7,141.7,990,24,86,250,-,소형,북서,32,null
2019년 08월 04일 15시,12,29.8,137.9,985,27,97,260,중,소형,서북서,33,50
2019년 08월 04일 15시,24,30.6,134.4,980,29,104,270,중,소형,서북서,29,110
2019년 08월 04일 15시,36,31.9,131.2,985,27,97,250,중,소형,서북서,28,140
2019년 08월 04일 15시,48,33.4,128.8,990,24,86,200,-,소형,서북서,23,170
2019년 08월 04일 15시,72,37.5,127.7,996,20,72,180,-,소형,북북서,20,260
2019년 08월 04일 15시,96,40.8,132.3,1000,17,61,120,-,소형,북동,22,370
2019년 08월 04일 15시,120,41.6,139.9,1004,15,54,0,-,-,동,27,0
2019년 08월 04일 21시,0,29.5,140.1,990,24,86,250,-,소형,서북서,25,null
2019년 08월 04일 21시,12,30.4,136.1,985,27,97,260,중,소형,서북서,33,50
2019년 08월 04일 21시,24,31.3,132.7,980,29,104,270,중,소형,서북서,28,110
2019년 08월 04일 21시,36,32.5,129.9,985,27,97,240,중,소형,서북서,25,140
2019년 08월 04일 21시,48,34.3,128.2,990,24,86,200,-,소형,북서,21,170
2019년 08월 04일 21시,72,38.5,128.3,996,20,72,180,-,소형,북,19,260
2019년 08월 04일 21시,96,41.2,134.2,1000,15,54,0,-,-,동북동,24,0
2019년 08월 05일 03시,0,29.9,138.3,985,27,97,250,중,소형,서북서,22,null
2019년 08월 05일 03시,12,30.8,134.3,980,29,104,270,중,소형,서북서,33,50
2019년 08월 05일 03시,24,31.9,131.3,985,27,97,250,중,소형,서북서,26,110
2019년 08월 05일 03시,36,33.2,128.8,990,24,86,220,-,소형,서북서,23,140
2019년 08월 05일 03시,48,35.4,127.8,994,21,76,190,-,소형,북북서,22,170
2019년 08월 05일 03시,60,37.5,127.8,996,18,65,160,-,소형,북,19,215
2019년 08월 05일 03시,72,39.4,129.1,998,15,54,0,-,-,북동,20,0
2019년 08월 05일 09시,0,30.5,136.1,985,27,97,220,중,소형,서,36,null
2019년 08월 05일 09시,12,31.3,132.7,980,29,104,230,중,소형,서북서,28,48
2019년 08월 05일 09시,24,32.5,129.9,990,24,86,200,-,소형,서북서,24,110
2019년 08월 05일 09시,36,34.3,128.3,992,23,83,170,-,소형,북서,21,140
2019년 08월 05일 09시,48,36.4,127.7,996,20,72,160,-,소형,북북서,21,170
2019년 08월 05일 09시,60,38.5,128.5,998,19,68,100,-,소형,북북동,20,215
2019년 08월 05일 09시,72,40,129.7,1002,14,50,0,-,-,북동,20,0
2019년 08월 05일 15시,0,30.8,134.6,985,27,97,230,중,소형,서북서,24,null
2019년 08월 05일 15시,12,31.9,131.2,985,27,97,200,중,소형,서북서,28,48
2019년 08월 05일 15시,24,33.3,129,990,24,86,180,-,소형,서북서,22,110
2019년 08월 05일 15시,36,35.3,127.8,994,21,76,160,-,소형,북북서,21,140
2019년 08월 05일 15시,48,37.5,128,996,20,72,130,-,소형,북,20,170
2019년 08월 05일 15시,60,39.4,129.1,998,18,65,120,-,소형,북북동,19,215
2019년 08월 05일 15시,72,40.6,130.1,1002,14,50,0,-,-,북동,20,0
2019년 08월 05일 21시,0,31.2,133.1,975,32,115,230,중,소형,서,26,null
2019년 08월 05일 21시,12,32.5,130,985,27,97,190,중,소형,서북서,28,48
2019년 08월 05일 21시,24,34.5,128.1,990,24,86,170,-,소형,북서,23,110
2019년 08월 05일 21시,36,37,127.8,994,21,76,140,-,소형,북,23,140
2019년 08월 05일 21시,48,39.4,129.1,996,20,72,120,-,소형,북북동,24,170
2019년 08월 05일 21시,60,41,130.8,998,16,58,0,-,-,북동,19,0
2019년 08월 06일 03시,0,31.8,131.8,975,32,115,190,중,소형,서북서,24,null
2019년 08월 06일 03시,12,33.5,129.7,990,24,86,170,-,소형,북서,23,48
2019년 08월 06일 03시,24,36,128.5,994,21,76,140,-,소형,북북서,25,110
2019년 08월 06일 03시,36,38.6,128.7,996,20,72,120,-,소형,북,24,140
2019년 08월 06일 03시,48,40.6,130.4,998,19,68,0,-,-,북동,22,0
2019년 08월 06일 06시,0,32.3,131.4,985,23,83,170,-,소형,북서,22,null
2019년 08월 06일 06시,6,33,130.2,990,22,79,150,-,소형,서북서,23,24
2019년 08월 06일 06시,12,34.1,129.3,990,21,76,150,-,소형,북서,25,48
2019년 08월 06일 06시,18,35.4,128.7,992,20,72,140,-,소형,북북서,25,72
2019년 08월 06일 06시,24,36.7,128.4,994,19,68,130,-,소형,북,24,110
2019년 08월 06일 06시,30,38,128.5,996,18,65,120,-,소형,북,24,125
2019년 08월 06일 06시,36,39.1,129,996,15,54,0,-,-,북북동,22,0
2019년 08월 06일 09시,0,32.8,130.7,992,20,72,100,-,소형,북서,29,null
2019년 08월 06일 09시,3,33.3,130.1,994,20,72,100,-,소형,북서,28,12
2019년 08월 06일 09시,6,33.9,129.4,996,18,65,100,-,소형,북서,28,24
2019년 08월 06일 09시,9,34.3,129.1,996,18,65,100,-,소형,북서,23,36
2019년 08월 06일 09시,12,34.8,128.9,996,18,65,100,-,소형,북북서,18,48
2019년 08월 06일 09시,15,35.4,128.7,996,18,65,90,-,소형,북북서,21,60
2019년 08월 06일 09시,18,36,128.6,998,18,65,80,-,소형,북북서,24,72
2019년 08월 06일 09시,21,36.7,128.5,998,15,54,0,-,-,북북서,24,0
2019년 08월 06일 12시,0,33.3,130,996,20,72,80,-,소형,북서,29,null
2019년 08월 06일 12시,3,33.9,129.4,996,20,72,80,-,소형,북서,28,12
2019년 08월 06일 12시,6,34.5,129,996,20,72,80,-,소형,북북서,25,24
2019년 08월 06일 12시,9,35.1,128.8,996,19,68,80,-,소형,북북서,25,36
2019년 08월 06일 12시,12,35.8,128.6,998,18,65,70,-,소형,북북서,26,48
2019년 08월 06일 12시,15,36.5,128.5,998,18,65,60,-,소형,북,26,60
2019년 08월 06일 12시,18,37.2,128.5,998,15,54,0,-,-,북,26,0
2019년 08월 06일 15시,0,33.9,129.6,998,19,68,80,-,소형,북북서,25,null
2019년 08월 06일 15시,3,34.5,129,998,19,68,80,-,소형,북서,27,12
2019년 08월 06일 15시,6,35.1,128.8,998,19,68,80,-,소형,북북서,25,24
2019년 08월 06일 15시,9,35.8,128.6,1000,18,65,70,-,소형,북북서,26,36
2019년 08월 06일 15시,12,36.5,128.5,1000,15,54,0,-,-,북,26,0
2019년 08월 06일 18시,0,34.5,129.3,998,19,68,120,-,소형,북북서,24,null
