일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 09월 01일 21시,0,20.5,143.9,1000,17,61,200,-,소형,남남서,20,null
2020년 09월 01일 21시,12,20.9,142.3,992,23,83,250,-,소형,서북서,14,60
2020년 09월 01일 21시,24,21,141,985,27,97,270,중,소형,서,11,120
2020년 09월 01일 21시,36,21.7,139.5,980,29,104,300,중,중형,서북서,14,150
2020년 09월 01일 21시,48,22.2,138.2,970,35,126,330,강,중형,서북서,12,180
2020년 09월 01일 21시,72,23.6,135.9,950,43,155,380,강,중형,서북서,12,250
2020년 09월 01일 21시,96,26,133.5,945,45,162,400,매우 강,중형,북서,15,350
2020년 09월 01일 21시,120,32.3,131.2,950,43,155,360,강,중형,북북서,31,470
2020년 09월 02일 03시,0,19.9,143.5,998,19,68,240,-,소형,서남서,7,null
2020년 09월 02일 03시,12,20.9,141.6,985,27,97,260,중,소형,서북서,19,60
2020년 09월 02일 03시,24,21.3,140.3,980,29,104,280,중,소형,서북서,13,120
2020년 09월 02일 03시,36,21.9,138.9,975,32,115,320,중,중형,서북서,13,150
2020년 09월 02일 03시,48,22.5,137.7,965,37,133,340,강,중형,서북서,11,180
2020년 09월 02일 03시,72,24,135.3,950,43,155,380,강,중형,서북서,13,250
2020년 09월 02일 03시,96,27.4,132.9,945,45,162,400,매우 강,중형,북서,19,350
2020년 09월 02일 03시,120,33,131.4,960,39,140,340,강,중형,북북서,26,470
2020년 09월 02일 09시,0,19.2,142.5,994,21,76,250,-,소형,남서,31,null
2020년 09월 02일 09시,12,20,140.5,980,29,104,270,중,소형,서북서,19,60
2020년 09월 02일 09시,24,20.7,139,975,32,115,300,중,중형,서북서,14,120
2020년 09월 02일 09시,36,21.3,137.9,970,35,126,330,강,중형,서북서,11,150
2020년 09월 02일 09시,48,22.2,136.8,960,39,140,350,강,중형,북서,13,180
2020년 09월 02일 09시,72,24.7,134.7,940,47,169,400,매우 강,중형,북서,15,250
2020년 09월 02일 09시,96,28.8,132.4,940,47,169,400,매우 강,중형,북북서,21,350
2020년 09월 02일 09시,120,34.2,130.9,965,37,133,330,강,중형,북북서,25,470
2020년 09월 02일 15시,0,19.4,141.5,990,24,86,260,-,소형,서,22,null
2020년 09월 02일 15시,12,20.4,139.7,975,32,115,300,중,중형,서북서,18,60
2020년 09월 02일 15시,24,21,138.5,970,35,126,350,강,중형,서북서,12,120
2020년 09월 02일 15시,36,21.4,137.3,965,37,133,400,강,중형,서북서,11,150
2020년 09월 02일 15시,48,22.5,135.8,950,43,155,450,강,중형,북서,16,180
2020년 09월 02일 15시,72,24.9,133.1,930,50,180,500,매우 강,대형,북서,16,250
2020년 09월 02일 15시,96,29.8,130.8,945,45,162,480,매우 강,중형,북북서,24,350
2020년 09월 02일 15시,120,37.3,128.6,975,32,115,400,중,중형,북북서,36,470
2020년 09월 02일 21시,0,19.8,140.7,985,27,97,280,중,소형,서북서,14,null
2020년 09월 02일 21시,12,20.2,138.8,975,32,115,320,중,중형,서북서,17,60
2020년 09월 02일 21시,24,20.5,137.6,965,37,133,380,강,중형,서북서,11,120
2020년 09월 02일 21시,36,21.3,136,950,43,155,430,강,중형,서북서,16,150
2020년 09월 02일 21시,48,22.4,134.2,930,50,180,460,매우 강,중형,서북서,18,180
2020년 09월 02일 21시,72,25.1,131.3,920,53,191,500,매우 강,대형,북서,18,250
2020년 09월 02일 21시,96,30.9,129.4,935,49,176,460,매우 강,중형,북북서,28,350
2020년 09월 02일 21시,120,38.9,127.5,985,27,97,400,중,중형,북북서,38,470
2020년 09월 03일 03시,0,20,139.4,980,29,104,280,중,소형,서북서,19,null
2020년 09월 03일 03시,12,20.3,138.1,970,35,126,350,강,중형,서북서,11,60
2020년 09월 03일 03시,24,20.9,136.8,955,40,144,400,강,중형,서북서,13,120
2020년 09월 03일 03시,36,21.8,135.2,940,47,169,450,매우 강,중형,서북서,16,150
2020년 09월 03일 03시,48,22.9,133.6,930,50,180,480,매우 강,중형,북서,18,180
2020년 09월 03일 03시,72,26.3,130.8,920,53,191,500,매우 강,대형,북서,20,250
2020년 09월 03일 03시,96,32.9,128.8,945,45,162,440,매우 강,중형,북북서,32,350
2020년 09월 03일 03시,120,42.3,127.1,990,24,86,400,-,중형,북,44,470
2020년 09월 03일 09시,0,20.2,138.5,970,35,126,350,강,중형,서북서,16,null
2020년 09월 03일 09시,12,20.6,137.3,955,40,144,380,강,중형,서북서,11,60
2020년 09월 03일 09시,24,21.3,136,945,45,162,420,매우 강,중형,서북서,13,120
2020년 09월 03일 09시,36,22.2,134.4,930,50,180,470,매우 강,중형,서북서,16,150
2020년 09월 03일 09시,48,23.5,132.9,925,51,184,500,매우 강,대형,북서,18,180
2020년 09월 03일 09시,72,27.7,130.2,920,53,191,520,매우 강,대형,북북서,22,250
2020년 09월 03일 09시,96,35.3,128.3,955,40,144,430,강,중형,북북서,36,350
2020년 09월 03일 09시,120,43.8,126.8,994,21,76,350,-,중형,북,44,470
2020년 09월 03일 15시,0,20.6,137.6,965,37,133,340,강,중형,서북서,22,null
2020년 09월 03일 15시,12,21.1,136.1,950,43,155,400,강,중형,서북서,14,60
2020년 09월 03일 15시,24,21.9,134.7,935,49,176,440,매우 강,중형,서북서,14,120
2020년 09월 03일 15시,36,22.7,133.6,925,51,184,500,매우 강,대형,북서,12,150
2020년 09월 03일 15시,48,24.3,132.3,920,53,191,520,매우 강,대형,북서,19,180
2020년 09월 03일 15시,72,29.3,129.7,925,51,184,480,매우 강,중형,북북서,26,250
2020년 09월 03일 15시,96,35.8,128.3,960,39,140,400,강,중형,북북서,31,350
2020년 09월 03일 15시,120,44.8,126.6,998,19,68,0,-,-,북,42,0
2020년 09월 03일 21시,0,21,136.6,955,40,144,370,강,중형,서,20,null
2020년 09월 03일 21시,12,21.7,135,945,45,162,420,매우 강,중형,서북서,15,60
2020년 09월 03일 21시,24,22.7,133.6,930,50,180,470,매우 강,중형,북서,15,120
2020년 09월 03일 21시,36,23.8,132.4,925,51,184,500,매우 강,대형,북서,14,150
2020년 09월 03일 21시,48,25.1,131.6,920,53,191,510,매우 강,대형,북북서,14,180
2020년 09월 03일 21시,72,29.9,129.6,930,50,180,460,매우 강,중형,북북서,23,250
2020년 09월 03일 21시,96,38.1,127.9,965,37,133,340,강,중형,북북서,39,350
2020년 09월 03일 21시,120,45.1,126.6,994,21,76,0,-,-,북북서,29,0
2020년 09월 04일 03시,0,21.2,135.8,950,43,155,390,강,중형,서북서,14,null
2020년 09월 04일 03시,12,22.1,134.4,935,49,176,430,매우 강,중형,서북서,15,60
2020년 09월 04일 03시,24,23.3,132.9,925,51,184,490,매우 강,중형,북서,16,120
2020년 09월 04일 03시,36,24.4,131.8,920,53,191,510,매우 강,대형,북서,14,150
2020년 09월 04일 03시,48,26,131,920,53,191,510,매우 강,대형,북북서,16,180
2020년 09월 04일 03시,72,31.5,129.2,935,49,176,430,매우 강,중형,북북서,26,250
2020년 09월 04일 03시,96,40.1,127.5,975,32,115,320,중,중형,북,40,350
2020년 09월 04일 03시,120,45.4,127.1,994,21,76,0,-,-,북,25,0
2020년 09월 04일 09시,0,21.8,135.1,935,49,176,400,매우 강,중형,서북서,20,null
2020년 09월 04일 09시,12,22.7,133.7,925,51,184,460,매우 강,중형,서북서,15,60
2020년 09월 04일 09시,24,23.8,132.3,920,53,191,510,매우 강,대형,북서,15,120
2020년 09월 04일 09시,36,24.9,131.4,920,53,191,510,매우 강,대형,북서,13,150
2020년 09월 04일 09시,48,27,130.6,925,51,184,490,매우 강,중형,북북서,21,180
2020년 09월 04일 09시,72,33.5,128.7,945,45,162,410,매우 강,중형,북북서,31,250
2020년 09월 04일 09시,96,41.8,127.3,975,32,115,300,중,중형,북,39,350
2020년 09월 04일 09시,120,46.1,128.6,998,19,68,0,-,-,북북동,20,0
2020년 09월 04일 15시,0,22.2,134.3,920,53,191,450,매우 강,중형,북서,17,null
2020년 09월 04일 15시,12,23.2,133,910,56,202,510,초강력,대형,북서,15,60
2020년 09월 04일 15시,24,24.3,131.8,910,56,202,510,초강력,대형,북서,14,120
2020년 09월 04일 15시,36,25.6,131.1,915,55,198,500,초강력,대형,북북서,14,150
2020년 09월 04일 15시,48,28.3,130.2,930,50,180,470,매우 강,중형,북북서,26,180
2020년 09월 04일 15시,72,35.6,128.5,955,40,144,380,강,중형,북북서,34,250
2020년 09월 04일 15시,96,43.4,128.1,980,29,104,0,-,-,북,36,0
2020년 09월 04일 21시,0,22.7,133.5,920,53,191,450,매우 강,중형,서북서,17,null
2020년 09월 04일 21시,12,23.7,132.4,915,55,198,480,초강력,중형,북서,14,60
2020년 09월 04일 21시,24,24.9,131.4,910,56,202,510,초강력,대형,북서,13,120
2020년 09월 04일 21시,36,26.6,130.7,920,53,191,480,매우 강,중형,북북서,17,150
2020년 09월 04일 21시,48,29.8,129.8,935,49,176,450,매우 강,중형,북북서,30,180
2020년 09월 04일 21시,72,37.7,128.3,960,39,140,370,강,중형,북,37,250
2020년 09월 04일 21시,96,44.6,128.1,990,24,86,0,-,-,북,36,0
2020년 09월 05일 03시,0,23.3,132.6,920,53,191,450,매우 강,중형,서북서,20,null
2020년 09월 05일 03시,12,24.3,131.9,910,56,202,510,초강력,대형,북서,11,60
2020년 09월 05일 03시,24,25.6,131.1,915,55,198,480,초강력,중형,북북서,14,120
2020년 09월 05일 03시,36,27.8,130.3,925,51,184,440,매우 강,중형,북북서,21,150
2020년 09월 05일 03시,48,31.5,129.4,940,47,169,420,매우 강,중형,북북서,34,180
2020년 09월 05일 03시,72,39.2,128.2,965,37,133,360,강,중형,북,36,250
2020년 09월 05일 03시,96,47.2,128.1,998,19,68,0,-,-,북,37,0
2020년 09월 05일 09시,0,23.9,132.1,920,53,191,450,매우 강,중형,북북서,15,null
2020년 09월 05일 09시,12,25.1,131.3,910,56,202,510,초강력,대형,북북서,13,60
2020년 09월 05일 09시,24,26.6,130.7,915,55,198,480,초강력,중형,북북서,14,120
2020년 09월 05일 09시,36,29.3,129.9,925,51,184,430,매우 강,중형,북북서,26,150
2020년 09월 05일 09시,48,33.7,129.6,945,45,162,400,매우 강,중형,북,41,180
2020년 09월 05일 09시,60,39,129.6,955,40,144,360,강,중형,북,49,215
2020년 09월 05일 09시,72,43.2,129.6,970,35,126,320,강,중형,북,39,250
2020년 09월 05일 09시,84,45.9,129.6,990,24,86,0,-,-,북,25,0
2020년 09월 05일 15시,0,24.7,131.5,915,55,198,500,초강력,대형,북,19,null
2020년 09월 05일 15시,12,26,130.7,920,53,191,480,매우 강,중형,북북서,14,60
2020년 09월 05일 15시,24,28,130.1,925,51,184,450,매우 강,중형,북북서,19,120
2020년 09월 05일 15시,36,31.4,129.9,935,49,176,420,매우 강,중형,북,31,150
2020년 09월 05일 15시,48,36.4,129.9,955,40,144,380,강,중형,북,46,180
2020년 09월 05일 15시,60,41.2,129.9,970,35,126,340,강,중형,북,44,215
2020년 09월 05일 15시,72,45,130.2,985,27,97,0,-,-,북,35,0
2020년 09월 05일 21시,0,25.4,131,920,53,191,450,매우 강,중형,북북서,16,null
