일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2015년 07월 13일 09시,0,13.1,179.5,990,24,86,200,약,소형,서북서,21,0
2015년 07월 13일 09시,24,14.3,175.2,985,27,97,220,중,소형,서북서,20,140
2015년 07월 13일 09시,48,15.9,171,980,29,104,230,중,소형,서북서,20,230
2015년 07월 13일 09시,72,17.4,166.9,975,32,115,250,중,소형,서북서,19,320
2015년 07월 13일 09시,96,18.8,162.7,965,37,133,270,강,소형,서북서,20,460
2015년 07월 13일 09시,120,19.9,158.4,960,39,140,300,강,중형,서북서,20,550
2015년 07월 13일 15시,0,13.4,178.5,990,24,86,200,약,소형,서북서,19,0
2015년 07월 13일 15시,24,14.4,174,980,29,104,220,중,소형,서북서,21,140
2015년 07월 13일 15시,48,15.7,169.6,975,32,115,250,중,소형,서북서,20,230
2015년 07월 13일 15시,72,17.3,165.2,970,35,126,270,강,소형,서북서,21,320
2015년 07월 13일 15시,96,18.7,161,960,39,140,280,강,소형,서북서,20,460
2015년 07월 13일 15시,120,20.3,156.5,955,40,144,320,강,중형,서북서,21,550
2015년 07월 13일 21시,0,14,177.9,985,27,97,200,중,소형,북서,16,0
2015년 07월 13일 21시,24,15.2,172.7,980,29,104,210,중,소형,서북서,24,140
2015년 07월 13일 21시,48,16.8,168,970,35,126,220,강,소형,서북서,22,230
2015년 07월 13일 21시,72,18.6,163,965,37,133,240,강,소형,서북서,23,320
2015년 07월 13일 21시,96,19.8,158.9,960,39,140,260,강,소형,서북서,19,460
2015년 07월 13일 21시,120,20.7,155.1,955,40,144,280,강,소형,서북서,17,550
2015년 07월 14일 03시,0,14.6,176.7,985,27,97,200,중,소형,서북서,24,0
2015년 07월 14일 03시,24,16.2,171.5,975,32,115,220,중,소형,서북서,24,140
2015년 07월 14일 03시,48,17.7,166.8,965,37,133,230,강,소형,서북서,22,230
2015년 07월 14일 03시,72,19,162,960,39,140,240,강,소형,서북서,22,320
2015년 07월 14일 03시,96,20,157.6,955,40,144,250,강,소형,서북서,20,460
2015년 07월 14일 03시,120,20.8,153,950,43,155,260,강,소형,서북서,22,550
2015년 07월 14일 09시,0,15.1,175.5,970,35,126,250,강,소형,서북서,23,0
2015년 07월 14일 09시,24,16.7,170.7,960,39,140,270,강,소형,서북서,23,140
2015년 07월 14일 09시,48,18.2,165.6,950,43,155,300,강,중형,서북서,24,230
2015년 07월 14일 09시,72,19.2,161,945,45,162,320,매우강,중형,서북서,21,320
2015년 07월 14일 09시,96,20.2,157,940,47,169,350,매우강,중형,서북서,18,460
2015년 07월 14일 09시,120,21.4,152.5,940,47,169,350,매우강,중형,서북서,20,550
2015년 07월 14일 15시,0,15.9,174.3,970,35,126,260,강,소형,서북서,26,0
2015년 07월 14일 15시,24,17.4,169.2,955,40,144,280,강,소형,서북서,24,140
2015년 07월 14일 15시,48,18.7,164,950,43,155,310,강,중형,서북서,24,230
2015년 07월 14일 15시,72,19.7,159.2,945,45,162,330,매우강,중형,서,21,320
