일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2014년 07월 29일 12시,0,12.4,148.2,998,18,65,180,약,소형,북북서,12,0
2014년 07월 29일 12시,24,12.9,146.8,992,22,79,200,약,소형,서북서,7,150
2014년 07월 29일 12시,48,13.8,145.4,985,27,97,220,중,소형,서북서,8,250
2014년 07월 29일 12시,72,14.8,143.8,980,31,112,240,중,소형,서북서,8,400
2014년 07월 29일 12시,96,16.1,141.9,975,34,122,250,강,소형,북서,10,550
2014년 07월 29일 12시,120,17.9,140,970,36,130,260,강,소형,북서,12,700
2014년 07월 29일 15시,0,12.7,147.5,998,18,65,180,약,소형,서북서,28,0
2014년 07월 29일 15시,24,13.3,146.6,990,24,86,200,약,소형,서북서,4,150
2014년 07월 29일 15시,48,13.9,145.3,985,27,97,220,중,소형,서북서,7,250
2014년 07월 29일 15시,72,14.8,143.7,965,38,137,240,강,소형,서북서,8,400
2014년 07월 29일 15시,96,16.1,141.6,960,40,144,250,강,소형,서북서,11,550
2014년 07월 29일 15시,120,18.1,139.8,955,41,148,260,강,소형,북서,12,700
2014년 07월 29일 21시,0,12.9,147.4,994,21,76,180,약,소형,북북서,4,0
2014년 07월 29일 21시,24,13.4,145.8,990,24,86,200,약,소형,서북서,8,150
2014년 07월 29일 21시,48,14.1,144.4,985,27,97,220,중,소형,서북서,7,250
2014년 07월 29일 21시,72,15.2,142.7,965,38,137,240,강,소형,서북서,9,400
2014년 07월 29일 21시,96,17.2,140.5,960,40,144,250,강,소형,북서,14,550
2014년 07월 29일 21시,120,19.1,138.9,955,41,148,260,강,소형,북서,11,700
2014년 07월 30일 03시,0,13.2,146.7,994,21,76,190,약,소형,서북서,14,0
2014년 07월 30일 03시,24,14.2,144.3,985,27,97,220,중,소형,서북서,12,150
2014년 07월 30일 03시,48,15.7,141.8,980,31,112,240,중,소형,서북서,13,250
2014년 07월 30일 03시,72,17.3,140,960,40,144,260,강,소형,북서,11,400
2014년 07월 30일 03시,96,19.3,138.4,955,41,148,280,강,소형,북서,12,550
2014년 07월 30일 03시,120,21.4,137,950,43,155,300,강,중형,북북서,12,700
2014년 07월 30일 09시,0,13.4,145.4,992,22,79,190,약,소형,서,24,0
2014년 07월 30일 09시,24,14.4,142.9,985,27,97,220,중,소형,서북서,12,150
2014년 07월 30일 09시,48,16,140.5,980,31,112,230,중,소형,북서,13,250
2014년 07월 30일 09시,72,17.4,139.3,970,36,130,250,강,소형,북서,8,400
2014년 07월 30일 09시,96,19.1,138.4,960,40,144,280,강,소형,북북서,9,550
2014년 07월 30일 09시,120,21.7,137.4,950,43,155,300,강,중형,북북서,13,700
2014년 07월 30일 15시,0,14.2,144.5,992,22,79,250,약,소형,북서,22,0
2014년 07월 30일 15시,24,15,142.2,985,27,97,270,중,소형,서북서,12,150
2014년 07월 30일 15시,48,16.2,139.9,980,31,112,280,중,소형,서북서,12,250
2014년 07월 30일 15시,72,17.6,139.1,970,36,130,300,강,중형,북북서,7,400
2014년 07월 30일 15시,96,19.5,138.3,955,41,148,330,강,중형,북북서,9,550
2014년 07월 30일 15시,120,22.2,137.3,950,43,155,350,강,중형,북북서,13,700
2014년 07월 30일 21시,0,14.4,143.8,992,22,79,250,약,소형,서북서,13,0
2014년 07월 30일 21시,24,15.2,141.1,985,27,97,270,중,소형,서북서,13,150
2014년 07월 30일 21시,48,16.4,139.5,980,31,112,280,중,소형,북서,9,250
2014년 07월 30일 21시,72,18,138.7,970,36,130,300,강,중형,북북서,8,400
2014년 07월 30일 21시,96,19.9,137.9,955,41,148,330,강,중형,북북서,10,550
2014년 07월 30일 21시,120,22.3,137.1,950,43,155,350,강,중형,북북서,12,700
2014년 07월 31일 03시,0,14.5,143.2,990,24,86,250,약,소형,서,11,0
2014년 07월 31일 03시,24,15.4,140.6,980,31,112,280,중,소형,서북서,12,150
2014년 07월 31일 03시,48,16.7,139.1,975,34,122,290,강,소형,북서,9,250
2014년 07월 31일 03시,72,18.2,138.3,965,38,137,310,강,중형,북북서,8,400
2014년 07월 31일 03시,96,20.5,137.5,955,41,148,330,강,중형,북북서,11,550
2014년 07월 31일 03시,120,22.9,136.5,950,43,155,350,강,중형,북북서,12,700
2014년 07월 31일 09시,0,15,142,990,24,86,250,약,소형,서북서,23,0
2014년 07월 31일 09시,24,15.7,140.2,980,31,112,300,중,중형,서북서,12,150
2014년 07월 31일 09시,48,17.5,138.5,970,36,130,330,강,중형,북서,11,250
2014년 07월 31일 09시,72,19.3,137.6,960,40,144,350,강,중형,북북서,10,400
2014년 07월 31일 09시,96,21.3,136.6,955,41,148,370,강,중형,북북서,10,550
2014년 07월 31일 09시,120,23.7,135.6,960,40,144,350,강,중형,북북서,12,700
2014년 07월 31일 15시,0,15.4,141,990,24,86,250,약,소형,서북서,19,0
2014년 07월 31일 15시,24,16.1,139.2,980,31,112,300,중,중형,서북서,9,150
2014년 07월 31일 15시,48,17.2,137.7,970,36,130,330,강,중형,북서,8,250
2014년 07월 31일 15시,72,18.6,136.4,960,40,144,350,강,중형,북서,9,400
2014년 07월 31일 15시,96,20.7,135.2,955,41,148,370,강,중형,북북서,11,550
2014년 07월 31일 15시,120,23.6,133.6,960,40,144,350,강,중형,북북서,15,700
2014년 07월 31일 21시,0,15.2,140.5,990,24,86,250,약,소형,서남서,10,0
2014년 07월 31일 21시,24,16.1,138.7,980,31,112,280,중,소형,서북서,8,150
2014년 07월 31일 21시,48,17.1,137.3,970,36,130,320,강,중형,서북서,8,250
2014년 07월 31일 21시,72,18.5,136.1,960,40,144,330,강,중형,북서,8,400
2014년 07월 31일 21시,96,20.9,134.8,955,41,148,370,강,중형,북북서,13,550
2014년 07월 31일 21시,120,24.3,133.5,955,41,148,370,강,중형,북북서,16,700
2014년 08월 01일 03시,0,14.8,140,990,24,86,280,약,소형,남서,12,0
2014년 08월 01일 03시,24,15.7,138,980,31,112,300,중,중형,서북서,9,150
2014년 08월 01일 03시,48,16.8,136.7,965,38,137,320,강,중형,북서,8,250
2014년 08월 01일 03시,72,18.8,135.5,955,41,148,350,강,중형,북북서,11,400
2014년 08월 01일 03시,96,21.5,134.2,950,43,155,370,강,중형,북북서,14,550
2014년 08월 01일 03시,120,24.9,133.1,955,41,148,350,강,중형,북북서,16,700
