,행정구역,year,month,count,면적(km²),인구밀도
0,가창면,2010,10,9002,111.17,80.97508320590087
1,가창면,2010,11,8969,111.17,80.67824053251776
2,가창면,2010,12,8936,111.17,80.38139785913465
3,가창면,2011,1,8892,111.17,79.98560762795718
4,가창면,2011,2,8731,111.17,78.53737519114868
5,가창면,2011,3,8599,111.17,77.35000449761627
6,가창면,2011,4,8574,111.17,77.12512368444725
7,가창면,2011,5,8557,111.17,76.97220473149231
8,가창면,2011,6,8537,111.17,76.79230008095709
9,가창면,2011,7,8517,111.17,76.61239543042187
10,가창면,2011,8,8502,111.17,76.47746694252046
11,가창면,2011,9,8475,111.17,76.23459566429793
12,가창면,2011,10,8481,111.17,76.28856705945849
13,가창면,2011,11,8509,111.17,76.54043357020778
14,가창면,2011,12,8495,111.17,76.41450031483313
15,가창면,2012,1,8497,111.17,76.43249077988666
16,가창면,2012,2,8474,111.17,76.22560043177116
17,가창면,2012,3,8433,111.17,75.85679589817397
18,가창면,2012,4,8425,111.17,75.78483403795988
19,가창면,2012,5,8396,111.17,75.52397229468382
20,가창면,2012,6,8379,111.17,75.37105334172888
21,가창면,2012,7,8356,111.17,75.16416299361339
22,가창면,2012,8,8375,111.17,75.33507241162184
23,가창면,2012,9,8407,111.17,75.62291985247819
24,가창면,2012,10,8409,111.17,75.6409103175317
25,가창면,2012,11,8418,111.17,75.72186741027255
26,가창면,2012,12,8407,111.17,75.62291985247819
27,가창면,2013,1,8412,111.17,75.66789601511199
28,가창면,2013,2,8391,111.17,75.47899613205001
29,가창면,2013,3,8371,111.17,75.2990914815148
30,가창면,2013,4,8376,111.17,75.3440676441486
31,가창면,2013,5,8371,111.17,75.2990914815148
32,가창면,2013,6,8347,111.17,75.08320590087254
33,가창면,2013,7,8337,111.17,74.99325357560492
34,가창면,2013,8,8317,111.17,74.81334892506972
35,가창면,2013,9,8332,111.17,74.94827741297112
36,가창면,2013,10,8306,111.17,74.71440136727534
37,가창면,2013,11,8283,111.17,74.50751101915985
38,가창면,2013,12,8276,111.17,74.44454439147252
39,가창면,2014,1,8274,111.17,74.42655392641899
40,가창면,2014,2,8251,111.17,74.2196635783035
41,가창면,2014,3,8232,111.17,74.04875416029505
42,가창면,2014,4,8205,111.17,73.8058828820725
43,가창면,2014,5,8226,111.17,73.99478276513447
44,가창면,2014,6,8229,111.17,74.02176846271476
45,가창면,2014,7,8233,111.17,74.0577493928218
46,가창면,2014,8,8225,111.17,73.98578753260772
47,가창면,2014,9,8243,111.17,74.14770171808941
48,가창면,2014,10,8257,111.17,74.27363497346407
49,가창면,2014,11,8277,111.17,74.45353962399928
50,가창면,2014,12,8274,111.17,74.42655392641899
51,가창면,2015,1,8289,111.17,74.56148241432041
52,가창면,2015,2,8300,111.17,74.66042997211478
53,가창면,2015,3,8294,111.17,74.60645857695421
54,가창면,2015,4,8310,111.17,74.75038229738239
55,가창면,2015,5,8333,111.17,74.95727264549788
56,가창면,2015,6,8340,111.17,75.02023927318521
57,가창면,2015,7,8355,111.17,75.15516776108662
58,가창면,2015,8,8349,111.17,75.10119636592606
59,가창면,2015,9,8357,111.17,75.17315822614015
60,가창면,2015,10,8397,111.17,75.53296752721057
61,가창면,2015,11,8391,111.17,75.47899613205001
62,가창면,2015,12,8397,111.17,75.53296752721057
63,가창면,2016,1,8372,111.17,75.30808671404155
64,가창면,2016,2,8339,111.17,75.01124404065845
65,가창면,2016,3,8322,111.17,74.85832508770352
66,가창면,2016,4,8330,111.17,74.93028694791761
67,가창면,2016,5,8343,111.17,75.0472249707655
68,가창면,2016,6,8321,111.17,74.84932985517675
69,가창면,2016,7,8307,111.17,74.7233965998021
70,가창면,2016,8,8303,111.17,74.68741566969506
71,가창면,2016,9,8283,111.17,74.50751101915985
72,가창면,2016,10,8274,111.17,74.42655392641899
73,가창면,2016,11,8243,111.17,74.14770171808941
74,가창면,2016,12,8198,111.17,73.74291625438518
75,가창면,2017,1,8203,111.17,73.78789241701898
76,가창면,2017,2,8191,111.17,73.67994962669785
77,가창면,2017,3,8203,111.17,73.78789241701898
78,가창면,2017,4,8205,111.17,73.8058828820725
79,가창면,2017,5,8191,111.17,73.67994962669785
80,가창면,2017,6,8166,111.17,73.45506881352883
81,가창면,2017,7,8137,111.17,73.19420707025276
82,가창면,2017,8,8118,111.17,73.02329765224431
83,가창면,2017,9,8127,111.17,73.10425474498516
84,가창면,2017,10,8123,111.17,73.06827381487811
85,가창면,2017,11,8137,111.17,73.19420707025276
86,가창면,2017,12,8109,111.17,72.94234055950346
87,가창면,2018,1,8075,111.17,72.6365026535936
88,가창면,2018,2,8039,111.17,72.3126742826302
89,가창면,2018,3,8058,111.17,72.48358370063866
90,가창면,2018,4,8038,111.17,72.30367905010344
91,가창면,2018,5,8033,111.17,72.25870288746964
92,가창면,2018,6,8015,111.17,72.09678870198795
93,가창면,2018,7,7980,111.17,71.78195556355132
94,가창면,2018,8,7992,111.17,71.88989835387244
95,가창면,2018,9,7970,111.17,71.6920032382837
96,가창면,2018,10,7978,111.17,71.76396509849779
97,가창면,2018,11,7992,111.17,71.88989835387244
98,가창면,2018,12,7990,111.17,71.87190788881892
99,가창면,2019,1,7992,111.17,71.88989835387244
100,가창면,2019,2,8049,111.17,72.40262660789782
101,가창면,2019,3,8047,111.17,72.38463614284429
102,가창면,2019,4,8054,111.17,72.44760277053162
103,가창면,2019,5,8029,111.17,72.2227219573626
104,가창면,2019,6,8000,111.17,71.96186021408653
105,가창면,2019,7,8011,111.17,72.0608077718809
106,가창면,2019,8,8021,111.17,72.1507600971485
107,가창면,2019,9,8019,111.17,72.13276963209499
108,가창면,2019,10,8002,111.17,71.97985067914006
109,가창면,2019,11,8008,111.17,72.03382207430062
110,가창면,2019,12,7986,111.17,71.83592695871188
111,가창면,2020,1,7972,111.17,71.70999370333723
112,가창면,2020,2,7978,111.17,71.76396509849779
113,가창면,2020,3,7962,111.17,71.62004137806962
114,가창면,2020,4,7958,111.17,71.58406044796259
115,가창면,2020,5,7959,111.17,71.59305568048934
116,가창면,2020,6,7955,111.17,71.5570747503823
117,가창면,2020,7,7945,111.17,71.46712242511468
