,행정구역,year,month,count,면적(km²),인구밀도
0,가창면,2010,10,9002,111.17,80
1,가창면,2010,11,8969,111.17,80
2,가창면,2010,12,8936,111.17,80
3,가창면,2011,1,8892,111.17,79
4,가창면,2011,2,8731,111.17,78
5,가창면,2011,3,8599,111.17,77
6,가창면,2011,4,8574,111.17,77
7,가창면,2011,5,8557,111.17,76
8,가창면,2011,6,8537,111.17,76
9,가창면,2011,7,8517,111.17,76
10,가창면,2011,8,8502,111.17,76
11,가창면,2011,9,8475,111.17,76
12,가창면,2011,10,8481,111.17,76
13,가창면,2011,11,8509,111.17,76
14,가창면,2011,12,8495,111.17,76
15,가창면,2012,1,8497,111.17,76
16,가창면,2012,2,8474,111.17,76
17,가창면,2012,3,8433,111.17,75
18,가창면,2012,4,8425,111.17,75
19,가창면,2012,5,8396,111.17,75
20,가창면,2012,6,8379,111.17,75
21,가창면,2012,7,8356,111.17,75
22,가창면,2012,8,8375,111.17,75
23,가창면,2012,9,8407,111.17,75
24,가창면,2012,10,8409,111.17,75
25,가창면,2012,11,8418,111.17,75
26,가창면,2012,12,8407,111.17,75
27,가창면,2013,1,8412,111.17,75
28,가창면,2013,2,8391,111.17,75
29,가창면,2013,3,8371,111.17,75
30,가창면,2013,4,8376,111.17,75
31,가창면,2013,5,8371,111.17,75
32,가창면,2013,6,8347,111.17,75
33,가창면,2013,7,8337,111.17,74
34,가창면,2013,8,8317,111.17,74
35,가창면,2013,9,8332,111.17,74
36,가창면,2013,10,8306,111.17,74
37,가창면,2013,11,8283,111.17,74
38,가창면,2013,12,8276,111.17,74
39,가창면,2014,1,8274,111.17,74
40,가창면,2014,2,8251,111.17,74
41,가창면,2014,3,8232,111.17,74
42,가창면,2014,4,8205,111.17,73
43,가창면,2014,5,8226,111.17,73
44,가창면,2014,6,8229,111.17,74
45,가창면,2014,7,8233,111.17,74
46,가창면,2014,8,8225,111.17,73
47,가창면,2014,9,8243,111.17,74
48,가창면,2014,10,8257,111.17,74
49,가창면,2014,11,8277,111.17,74
50,가창면,2014,12,8274,111.17,74
51,가창면,2015,1,8289,111.17,74
52,가창면,2015,2,8300,111.17,74
53,가창면,2015,3,8294,111.17,74
54,가창면,2015,4,8310,111.17,74
55,가창면,2015,5,8333,111.17,74
56,가창면,2015,6,8340,111.17,75
57,가창면,2015,7,8355,111.17,75
58,가창면,2015,8,8349,111.17,75
59,가창면,2015,9,8357,111.17,75
60,가창면,2015,10,8397,111.17,75
61,가창면,2015,11,8391,111.17,75
62,가창면,2015,12,8397,111.17,75
63,가창면,2016,1,8372,111.17,75
64,가창면,2016,2,8339,111.17,75
65,가창면,2016,3,8322,111.17,74
66,가창면,2016,4,8330,111.17,74
67,가창면,2016,5,8343,111.17,75
68,가창면,2016,6,8321,111.17,74
69,가창면,2016,7,8307,111.17,74
70,가창면,2016,8,8303,111.17,74
71,가창면,2016,9,8283,111.17,74
72,가창면,2016,10,8274,111.17,74
73,가창면,2016,11,8243,111.17,74
74,가창면,2016,12,8198,111.17,73
75,가창면,2017,1,8203,111.17,73
76,가창면,2017,2,8191,111.17,73
77,가창면,2017,3,8203,111.17,73
78,가창면,2017,4,8205,111.17,73
79,가창면,2017,5,8191,111.17,73
80,가창면,2017,6,8166,111.17,73
81,가창면,2017,7,8137,111.17,73
82,가창면,2017,8,8118,111.17,73
83,가창면,2017,9,8127,111.17,73
84,가창면,2017,10,8123,111.17,73
85,가창면,2017,11,8137,111.17,73
86,가창면,2017,12,8109,111.17,72
87,가창면,2018,1,8075,111.17,72
88,가창면,2018,2,8039,111.17,72
89,가창면,2018,3,8058,111.17,72
90,가창면,2018,4,8038,111.17,72
91,가창면,2018,5,8033,111.17,72
92,가창면,2018,6,8015,111.17,72
93,가창면,2018,7,7980,111.17,71
94,가창면,2018,8,7992,111.17,71
95,가창면,2018,9,7970,111.17,71
96,가창면,2018,10,7978,111.17,71
97,가창면,2018,11,7992,111.17,71
98,가창면,2018,12,7990,111.17,71
99,가창면,2019,1,7992,111.17,71
100,가창면,2019,2,8049,111.17,72
101,가창면,2019,3,8047,111.17,72
102,가창면,2019,4,8054,111.17,72
103,가창면,2019,5,8029,111.17,72
104,가창면,2019,6,8000,111.17,71
105,가창면,2019,7,8011,111.17,72
106,가창면,2019,8,8021,111.17,72
107,가창면,2019,9,8019,111.17,72
108,가창면,2019,10,8002,111.17,71
109,가창면,2019,11,8008,111.17,72
110,가창면,2019,12,7986,111.17,71
111,가창면,2020,1,7972,111.17,71
112,가창면,2020,2,7978,111.17,71
113,가창면,2020,3,7962,111.17,71
114,가창면,2020,4,7958,111.17,71
115,가창면,2020,5,7959,111.17,71
116,가창면,2020,6,7955,111.17,71
117,가창면,2020,7,7945,111.17,71
118,가창면,2020,8,7928,111.17,71
119,가창면,2020,9,7911,111.17,71
120,가창면,2020,10,7904,111.17,71
121,가창면,2020,11,7889,111.17,70
122,가창면,2020,12,7886,111.17,70
123,가창면,2021,1,7846,111.17,70
124,가창면,2021,2,7828,111.17,70
125,가창면,2021,3,7822,111.17,70
126,가창면,2021,4,7829,111.17,70
127,가창면,2021,5,7840,111.17,70
128,가창면,2021,6,7821,111.17,70
129,가창면,2021,7,7807,111.17,70
130,가창면,2021,8,7804,111.17,70
131,가창면,2021,9,7792,111.17,70
132,가창면,2021,10,7780,111.17,69
133,가창면,2021,11,7746,111.17,69
134,가창면,2021,12,7744,111.17,69
135,가창면,2022,1,7762,111.17,69
136,가창면,2022,2,7757,111.17,69
137,가창면,2022,3,7737,111.17,69
138,가창면,2022,4,7709,111.17,69
139,감삼동,2010,10,26398,1.18,22371
