,행정구역,count,month,year
0,동인1.2.4가동,"6,091",10,2010
1,동인3가동,"4,649",10,2010
2,삼덕동,"4,523",10,2010
3,성내1동,"4,525",10,2010
4,성내2동,"5,097",10,2010
5,성내3동,"4,181",10,2010
6,대신동,"5,374",10,2010
7,남산1동,"4,287",10,2010
8,남산2동,"5,061",10,2010
9,남산3동,"5,535",10,2010
10,남산4동,"14,956",10,2010
11,대봉1동,"7,760",10,2010
12,대봉2동,"4,301",10,2010
13,동인1.2.4가동,"6,083",11,2010
14,동인3가동,"4,658",11,2010
15,삼덕동,"4,513",11,2010
16,성내1동,"4,512",11,2010
17,성내2동,"5,075",11,2010
18,성내3동,"4,177",11,2010
19,대신동,"5,358",11,2010
20,남산1동,"4,306",11,2010
21,남산2동,"5,025",11,2010
22,남산3동,"5,507",11,2010
23,남산4동,"14,935",11,2010
24,대봉1동,"7,758",11,2010
25,대봉2동,"4,300",11,2010
26,동인1.2.4가동,"6,120",12,2010
27,동인3가동,"4,652",12,2010
28,삼덕동,"4,505",12,2010
29,성내1동,"4,501",12,2010
30,성내2동,"5,088",12,2010
31,성내3동,"4,171",12,2010
32,대신동,"5,324",12,2010
33,남산1동,"4,279",12,2010
34,남산2동,"4,993",12,2010
35,남산3동,"5,508",12,2010
36,남산4동,"14,933",12,2010
37,대봉1동,"7,705",12,2010
38,대봉2동,"4,326",12,2010
39,동인1.2.4가동,"6,112",1,2011
40,동인동,0,1,2011
41,동인3가동,"4,645",1,2011
42,삼덕동,"4,509",1,2011
43,성내1동,"4,518",1,2011
44,성내2동,"5,112",1,2011
45,성내3동,"4,136",1,2011
46,대신동,"5,334",1,2011
47,남산1동,"4,287",1,2011
48,남산2동,"4,988",1,2011
49,남산3동,"5,472",1,2011
50,남산4동,"14,887",1,2011
51,대봉1동,"7,729",1,2011
52,대봉2동,"4,331",1,2011
53,동인1.2.4가동,"6,112",2,2011
54,동인동,0,2,2011
55,동인3가동,"4,661",2,2011
56,삼덕동,"4,512",2,2011
57,성내1동,"4,538",2,2011
58,성내2동,"5,151",2,2011
59,성내3동,"4,155",2,2011
