"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 달성군 (2771000000)","178,129","62,963","          2.83","177,966","62,940","          2.83","177,786","62,867","          2.83"
"대구광역시 달성군 화원읍(2771025000)","56,715","18,544","          3.06","56,666","18,551","          3.05","56,581","18,527","          3.05"
"대구광역시 달성군 논공읍(2771025300)","3,733","1,588","          2.35","3,732","1,595","          2.34","3,710","1,590","          2.33"
"대구광역시 달성군 논공읍공단출장소(2771025400)","19,911","7,119","          2.80","19,932","7,124","          2.80","19,884","7,120","          2.79"
"대구광역시 달성군 다사읍(2771025600)","37,271","12,475","          2.99","37,278","12,483","          2.99","37,312","12,476","          2.99"
"대구광역시 달성군 다사읍서재출장소(2771025700)","17,836","5,822","          3.06","17,867","5,838","          3.06","17,926","5,846","          3.07"
"대구광역시 달성군 가창면(2771031000)","9,002","3,609","          2.49","8,969","3,599","          2.49","8,936","3,586","          2.49"
"대구광역시 달성군 하빈면(2771033000)","4,453","1,920","          2.32","4,455","1,920","          2.32","4,437","1,916","          2.32"
"대구광역시 달성군 옥포면(2771034000)","10,834","4,162","          2.60","10,780","4,145","          2.60","10,747","4,129","          2.60"
"대구광역시 달성군 현풍면(2771036000)","10,800","4,259","          2.54","10,801","4,254","          2.54","10,838","4,265","          2.54"
"대구광역시 달성군 유가면(2771037000)","3,089","1,349","          2.29","3,010","1,314","          2.29","2,951","1,295","          2.28"
"대구광역시 달성군 구지면(2771038000)","4,485","2,116","          2.12","4,476","2,117","          2.11","4,464","2,117","          2.11"
