"행정구역","2011년01월_거주자 인구수","2011년01월_세대수","2011년01월_세대당 인구","2011년02월_거주자 인구수","2011년02월_세대수","2011년02월_세대당 인구","2011년03월_거주자 인구수","2011년03월_세대수","2011년03월_세대당 인구","2011년04월_거주자 인구수","2011년04월_세대수","2011년04월_세대당 인구","2011년05월_거주자 인구수","2011년05월_세대수","2011년05월_세대당 인구","2011년06월_거주자 인구수","2011년06월_세대수","2011년06월_세대당 인구","2011년07월_거주자 인구수","2011년07월_세대수","2011년07월_세대당 인구","2011년08월_거주자 인구수","2011년08월_세대수","2011년08월_세대당 인구","2011년09월_거주자 인구수","2011년09월_세대수","2011년09월_세대당 인구","2011년10월_거주자 인구수","2011년10월_세대수","2011년10월_세대당 인구","2011년11월_거주자 인구수","2011년11월_세대수","2011년11월_세대당 인구","2011년12월_거주자 인구수","2011년12월_세대수","2011년12월_세대당 인구"
"대구광역시 중구 (2711000000)","76,060","33,935","          2.24","76,052","33,990","          2.24","75,910","33,952","          2.24","75,648","33,886","          2.23","75,562","33,851","          2.23","75,473","33,838","          2.23","75,377","33,820","          2.23","75,319","33,828","          2.23","75,231","33,834","          2.22","75,189","33,841","          2.22","75,128","33,833","          2.22","74,927","33,806","          2.22"
"대구광역시 중구 동인1.2.4가동(2711051500)","6,112","2,952","          2.07","6,112","2,952","          2.07","6,123","2,952","          2.07","6,071","2,935","          2.07","6,051","2,927","          2.07","6,056","2,935","          2.06","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00"
"대구광역시 중구 동인동(2711051700)","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","10,635","5,097","          2.09","10,580","5,086","          2.08","10,605","5,106","          2.08","10,603","5,106","          2.08","10,546","5,083","          2.07","10,531","5,084","          2.07"
"대구광역시 중구 동인3가동(2711052000)","4,645","2,179","          2.13","4,661","2,186","          2.13","4,634","2,178","          2.13","4,611","2,173","          2.12","4,597","2,177","          2.11","4,608","2,176","          2.12","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00"
"대구광역시 중구 삼덕동(2711054500)","4,509","2,355","          1.91","4,512","2,379","          1.90","4,516","2,388","          1.89","4,496","2,395","          1.88","4,487","2,381","          1.88","4,482","2,384","          1.88","4,482","2,380","          1.88","4,462","2,377","          1.88","4,453","2,379","          1.87","4,485","2,387","          1.88","4,509","2,408","          1.87","4,476","2,391","          1.87"
"대구광역시 중구 성내1동(2711056500)","4,518","2,258","          2.00","4,538","2,277","          1.99","4,502","2,263","          1.99","4,482","2,261","          1.98","4,466","2,257","          1.98","4,457","2,253","          1.98","4,439","2,251","          1.97","4,420","2,245","          1.97","4,389","2,235","          1.96","4,388","2,243","          1.96","4,418","2,258","          1.96","4,414","2,265","          1.95"
"대구광역시 중구 성내2동(2711057500)","5,112","2,607","          1.96","5,151","2,625","          1.96","5,177","2,644","          1.96","5,180","2,647","          1.96","5,211","2,658","          1.96","5,227","2,665","          1.96","5,264","2,671","          1.97","5,279","2,686","          1.97","5,307","2,699","          1.97","5,292","2,693","          1.97","5,264","2,686","          1.96","5,242","2,673","          1.96"
"대구광역시 중구 성내3동(2711058500)","4,136","2,064","          2.00","4,155","2,069","          2.01","4,128","2,066","          2.00","4,125","2,063","          2.00","4,087","2,052","          1.99","4,068","2,047","          1.99","4,065","2,049","          1.98","4,022","2,033","          1.98","4,022","2,033","          1.98","3,995","2,022","          1.98","3,987","2,015","          1.98","3,957","2,010","          1.97"
"대구광역시 중구 대신동(2711059500)","5,334","2,170","          2.46","5,317","2,169","          2.45","5,302","2,159","          2.46","5,278","2,153","          2.45","5,262","2,156","          2.44","5,245","2,157","          2.43","5,248","2,156","          2.43","5,237","2,163","          2.42","5,243","2,162","          2.43","5,234","2,158","          2.43","5,218","2,154","          2.42","5,192","2,152","          2.41"
"대구광역시 중구 남산1동(2711064000)","4,287","2,115","          2.03","4,285","2,121","          2.02","4,267","2,110","          2.02","4,257","2,107","          2.02","4,266","2,107","          2.02","4,249","2,095","          2.03","4,223","2,088","          2.02","4,257","2,101","          2.03","4,246","2,103","          2.02","4,267","2,110","          2.02","4,251","2,108","          2.02","4,240","2,101","          2.02"
