"행정구역","2017년01월_거주자 인구수","2017년01월_세대수","2017년01월_세대당 인구","2017년02월_거주자 인구수","2017년02월_세대수","2017년02월_세대당 인구","2017년03월_거주자 인구수","2017년03월_세대수","2017년03월_세대당 인구","2017년04월_거주자 인구수","2017년04월_세대수","2017년04월_세대당 인구","2017년05월_거주자 인구수","2017년05월_세대수","2017년05월_세대당 인구","2017년06월_거주자 인구수","2017년06월_세대수","2017년06월_세대당 인구","2017년07월_거주자 인구수","2017년07월_세대수","2017년07월_세대당 인구","2017년08월_거주자 인구수","2017년08월_세대수","2017년08월_세대당 인구","2017년09월_거주자 인구수","2017년09월_세대수","2017년09월_세대당 인구","2017년10월_거주자 인구수","2017년10월_세대수","2017년10월_세대당 인구","2017년11월_거주자 인구수","2017년11월_세대수","2017년11월_세대당 인구","2017년12월_거주자 인구수","2017년12월_세대수","2017년12월_세대당 인구"
"대구광역시 달성군 (2771000000)","219,328","84,482","          2.60","221,826","85,549","          2.59","224,346","86,728","          2.59","226,190","87,526","          2.58","228,042","88,365","          2.58","229,348","89,061","          2.58","230,578","89,642","          2.57","233,173","90,828","          2.57","235,769","91,995","          2.56","238,248","93,153","          2.56","241,001","94,355","          2.55","242,474","95,118","          2.55"
"대구광역시 달성군 화원읍(2771025000)","49,827","17,807","          2.80","49,664","17,805","          2.79","49,457","17,770","          2.78","49,300","17,727","          2.78","49,271","17,741","          2.78","49,238","17,761","          2.77","49,220","17,764","          2.77","49,110","17,779","          2.76","49,204","17,859","          2.76","49,689","18,086","          2.75","50,029","18,255","          2.74","50,181","18,361","          2.73"
"대구광역시 달성군 논공읍(2771025300)","3,322","1,647","          2.02","3,311","1,648","          2.01","3,297","1,643","          2.01","3,301","1,642","          2.01","3,283","1,645","          2.00","3,272","1,643","          1.99","3,261","1,640","          1.99","3,242","1,641","          1.98","3,239","1,640","          1.98","3,241","1,646","          1.97","3,223","1,640","          1.97","3,215","1,633","          1.97"
"대구광역시 달성군 논공읍공단출장소(2771025400)","15,906","6,445","          2.47","15,645","6,385","          2.45","15,582","6,385","          2.44","15,496","6,367","          2.43","15,462","6,371","          2.43","15,432","6,358","          2.43","15,400","6,350","          2.43","15,357","6,339","          2.42","15,325","6,332","          2.42","15,297","6,337","          2.41","15,228","6,317","          2.41","15,161","6,305","          2.40"
"대구광역시 달성군 다사읍(2771025600)","46,058","15,935","          2.89","46,075","15,982","          2.88","46,074","15,985","          2.88","46,132","16,002","          2.88","46,182","16,030","          2.88","46,164","16,052","          2.88","46,129","16,070","          2.87","45,971","16,048","          2.86","45,886","16,052","          2.86","45,929","16,099","          2.85","46,509","16,362","          2.84","46,754","16,492","          2.83"
"대구광역시 달성군 다사읍서재출장소(2771025700)","28,091","9,931","          2.83","28,436","10,076","          2.82","29,276","10,418","          2.81","29,703","10,589","          2.81","30,181","10,770","          2.80","30,432","10,876","          2.80","30,751","11,007","          2.79","32,933","11,836","          2.78","34,857","12,587","          2.77","36,133","13,100","          2.76","37,131","13,497","          2.75","37,653","13,717","          2.74"
"대구광역시 달성군 가창면(2771031000)","8,203","3,571","          2.30","8,191","3,561","          2.30","8,203","3,572","          2.30","8,205","3,576","          2.29","8,191","3,572","          2.29","8,166","3,571","          2.29","8,137","3,565","          2.28","8,118","3,571","          2.27","8,127","3,580","          2.27","8,123","3,589","          2.26","8,137","3,586","          2.27","8,109","3,584","          2.26"
"대구광역시 달성군 하빈면(2771033000)","4,156","2,034","          2.04","4,140","2,030","          2.04","4,127","2,036","          2.03","4,124","2,038","          2.02","4,123","2,034","          2.03","4,117","2,036","          2.02","4,100","2,041","          2.01","4,079","2,041","          2.00","4,040","2,032","          1.99","4,017","2,022","          1.99","3,978","2,013","          1.98","3,976","2,019","          1.97"
"대구광역시 달성군 옥포면(2771034000)","17,730","7,503","          2.36","18,077","7,637","          2.37","18,981","7,994","          2.37","19,799","8,309","          2.38","20,464","8,595","          2.38","20,984","8,822","          2.38","21,404","8,986","          2.38","21,653","9,092","          2.38","21,840","9,186","          2.38","21,963","9,264","          2.37","22,056","9,302","          2.37","22,196","9,364","          2.37"
"대구광역시 달성군 현풍면(2771036000)","17,114","8,018","          2.13","17,783","8,298","          2.14","18,214","8,530","          2.14","18,594","8,709","          2.14","19,016","8,902","          2.14","19,407","9,156","          2.12","19,722","9,310","          2.12","19,922","9,427","          2.11","20,101","9,535","          2.11","20,177","9,595","          2.10","20,162","9,620","          2.10","20,211","9,669","          2.09"
"대구광역시 달성군 유가면(2771037000)","22,360","8,315","          2.69","23,585","8,707","          2.71","23,994","8,863","          2.71","24,232","8,960","          2.70","24,430","9,029","          2.71","24,533","9,059","          2.71","24,707","9,106","          2.71","24,866","9,174","          2.71","25,031","9,221","          2.71","25,474","9,406","          2.71","26,204","9,696","          2.70","26,571","9,858","          2.70"
"대구광역시 달성군 구지면(2771038000)","6,561","3,276","          2.00","6,919","3,420","          2.02","7,141","3,532","          2.02","7,304","3,607","          2.02","7,439","3,676","          2.02","7,603","3,727","          2.04","7,747","3,803","          2.04","7,922","3,880","          2.04","8,119","3,971","          2.04","8,205","4,009","          2.05","8,344","4,067","          2.05","8,447","4,116","          2.05"
