"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 남구 (2720000000)","141,478","75,045","          1.89","141,290","75,046","          1.88","141,179","75,330","          1.87","140,540","75,144","          1.87"
"대구광역시 남구 이천동(2720051500)","11,919","5,492","          2.17","11,877","5,475","          2.17","11,811","5,460","          2.16","11,746","5,440","          2.16"
"대구광역시 남구 봉덕1동(2720053000)","9,003","5,164","          1.74","9,023","5,184","          1.74","9,007","5,175","          1.74","8,973","5,163","          1.74"
"대구광역시 남구 봉덕2동(2720054000)","12,382","5,399","          2.29","12,341","5,388","          2.29","12,289","5,373","          2.29","12,241","5,353","          2.29"
"대구광역시 남구 봉덕3동(2720055000)","16,401","8,237","          1.99","16,412","8,253","          1.99","16,316","8,227","          1.98","16,248","8,207","          1.98"
"대구광역시 남구 대명1동(2720056000)","11,254","5,816","          1.94","11,236","5,820","          1.93","11,202","5,818","          1.93","11,136","5,808","          1.92"
"대구광역시 남구 대명2동(2720057100)","10,097","5,983","          1.69","10,112","6,014","          1.68","10,236","6,155","          1.66","10,184","6,148","          1.66"
"대구광역시 남구 대명3동(2720058600)","10,717","6,208","          1.73","10,728","6,226","          1.72","10,754","6,289","          1.71","10,710","6,275","          1.71"
"대구광역시 남구 대명4동(2720059000)","10,938","5,924","          1.85","10,893","5,897","          1.85","10,872","5,897","          1.84","10,802","5,877","          1.84"
"대구광역시 남구 대명5동(2720060000)","6,157","3,517","          1.75","6,094","3,479","          1.75","6,194","3,617","          1.71","6,133","3,589","          1.71"
"대구광역시 남구 대명6동(2720061000)","9,473","5,144","          1.84","9,474","5,157","          1.84","9,450","5,154","          1.83","9,440","5,153","          1.83"
"대구광역시 남구 대명9동(2720064000)","15,538","8,442","          1.84","15,518","8,446","          1.84","15,478","8,453","          1.83","15,422","8,439","          1.83"
"대구광역시 남구 대명10동(2720065000)","9,013","4,987","          1.81","9,001","4,982","          1.81","8,999","4,984","          1.81","8,956","4,972","          1.80"
"대구광역시 남구 대명11동(2720066000)","8,586","4,732","          1.81","8,581","4,725","          1.82","8,571","4,728","          1.81","8,549","4,720","          1.81"
