행정구역,2010-10,2010-11,2010-12
1,성당1동,"9,046","9,018","9,037"
2,성당2동,"18,362","18,281","18,131"
3,두류1동,"6,875","6,852","6,822"
4,두류2동,"11,933","11,914","11,846"
5,두류3동,"11,265","11,248","11,260"
6,감삼동,"26,398","26,495","26,473"
7,죽전동,"17,326","17,278","17,296"
8,장기동,"19,071","19,040","19,064"
9,용산1동,"35,995","36,031","36,008"
10,용산2동,"35,330","35,331","35,305"
11,이곡1동,"28,114","28,073","28,041"
12,이곡2동,"20,420","20,383","20,319"
13,신당동,"39,644","39,533","39,453"
14,본리동,"23,806","23,889","23,814"
15,월성1동,"34,033","34,653","35,528"
16,월성2동,"21,748","21,675","21,621"
17,진천동,"52,779","52,775","52,740"
18,상인1동,"43,801","43,916","44,066"
19,상인2동,"23,988","24,069","24,212"
20,상인3동,"16,173","16,139","16,080"
21,도원동,"43,067","43,067","42,982"
22,송현1동,"23,509","23,553","23,523"
23,송현2동,"23,341","23,299","23,276"
24,본동,"16,336","16,318","16,299"
