행정구역,2010-10,2010-11,2010-12
1,범어1동,"18,241","18,333","18,462"
2,범어2동,"12,618","12,699","12,759"
3,범어3동,"11,234","11,319","11,529"
4,범어4동,"20,533","20,487","20,399"
5,만촌1동,"25,780","25,768","25,775"
6,만촌2동,"13,977","13,966","13,858"
7,만촌3동,"23,117","23,089","22,871"
8,수성1가동,"18,627","18,627","18,591"
9,수성2.3가동,"11,584","11,776","12,014"
10,수성4가동,"17,746","17,809","17,783"
11,황금1동,"26,062","26,055","26,062"
12,황금2동,"13,227","13,187","13,145"
13,중동,"13,725","13,669","13,637"
14,상동,"16,403","16,391","16,396"
15,파동,"13,976","13,935","13,911"
16,두산동,"11,997","12,060","12,094"
17,지산1동,"27,089","27,113","27,006"
18,지산2동,"24,168","24,237","24,197"
19,범물1동,"15,375","15,344","15,379"
20,범물2동,"19,298","19,334","19,302"
21,고산1동,"36,506","36,465","36,362"
22,고산2동,"30,789","30,741","30,777"
23,고산3동,"36,119","36,203","36,063"
