행정구역,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12
1,고성동,"7,337","7,326","7,318","7,315","7,293","7,258","7,224","7,233","7,197","7,201","7,209","7,192"
2,칠성동,"17,405","17,419","17,407","17,305","17,284","17,287","17,289","17,281","17,221","17,188","17,163","17,145"
3,침산1동,"6,218","6,221","6,182","6,156","6,114","6,072","6,036","6,028","5,974","5,957","5,957","5,924"
4,침산2동,"17,102","17,119","17,102","17,074","17,077","17,100","17,111","17,080","17,059","17,102","17,080","17,030"
5,침산3동,"21,196","21,188","21,153","21,108","21,110","21,127","21,106","21,078","21,009","20,984","20,979","20,957"
6,산격1동,"13,202","13,158","13,143","13,113","13,076","13,050","12,984","12,942","12,912","12,908","12,883","12,859"
7,산격2동,"13,819","13,823","13,726","13,721","13,687","13,662","13,663","13,682","13,658","13,613","13,602","13,568"
8,산격3동,"10,291","10,253","10,213","10,197","10,183","10,120","10,070","10,069","10,026","10,011","10,002","9,981"
9,산격4동,"11,037","10,981","10,946","10,912","10,892","10,848","10,809","10,742","10,692","10,665","10,660","10,638"
10,대현1동,"7,217","7,231","7,190","7,167","7,154","7,154",0,0,0,0,0,0
11,대현동,0,0,0,0,0,0,"18,462","18,447","18,389","18,352","18,313","18,305"
12,대현2동,"11,295","11,281","11,301","11,318","11,347","11,315",0,0,0,0,0,0
13,복현1동,"7,942","7,932","7,906","7,890","7,882","7,823","7,810","7,758","7,752","7,713","7,686","7,653"
14,복현2동,"27,484","27,407","27,281","27,262","27,396","27,552","27,765","28,241","28,520","28,635","28,726","28,752"
15,검단동,"9,204","9,170","9,127","9,111","9,091","9,065","9,070","9,077","9,092","9,092","9,074","9,047"
16,무태조야동,"32,389","32,298","32,340","32,242","32,212","32,126","32,102","32,083","32,063","32,007","31,990","32,020"
17,관문동,"17,733","17,921","18,021","18,157","18,154","18,251","18,258","18,260","18,281","18,282","18,251","18,226"
18,태전1동,"24,141","24,111","24,161","24,133","24,074","24,066","24,037","24,065","24,100","24,125","24,123","24,082"
19,태전2동,"26,345","26,365","26,400","26,435","26,444","26,448","26,420","26,402","26,360","26,322","26,341","26,316"
20,구암동,"43,253","43,197","43,183","43,071","43,007","42,956","43,001","43,054","42,936","42,978","42,891","42,794"
21,관음동,"22,271","22,218","22,199","22,114","22,059","22,052","22,015","21,975","21,976","21,974","21,991","21,936"
22,읍내동,"29,042","29,157","29,167","29,287","29,405","29,463","29,572","29,584","29,664","29,648","29,723","29,733"
23,동천동,"33,072","32,956","33,017","33,045","33,031","33,020","33,002","33,007","33,046","33,026","33,013","32,943"
24,노원동,"13,130","13,039","13,018","12,956","12,886","12,832","12,836","12,794","12,770","12,713","12,626","12,568"
25,국우동,"26,724","26,708","26,683","26,667","26,744","26,815","26,788","26,823","26,869","26,823","26,807","26,829"
