행정구역,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12
1,범어1동,"18,631","18,790","18,879","18,907","19,000","19,021","19,039","18,996","19,011","18,890","18,834","18,798"
2,범어2동,"12,833","12,797","12,797","12,774","12,748","12,742","12,768","12,759","12,763","12,804","12,814","12,809"
3,범어3동,"11,508","11,396","11,229","11,135","11,097","11,072","11,108","11,153","11,221","11,315","11,392","11,478"
4,범어4동,"20,371","20,350","20,086","19,968","19,950","19,916","19,953","19,986","20,089","20,167","20,168","20,106"
5,만촌1동,"25,736","25,793","25,682","25,709","25,610","25,655","25,628","25,576","25,534","25,507","25,446","25,487"
6,만촌2동,"13,822","13,822","13,868","13,876","13,827","13,804","13,766","13,755","13,768","13,788","13,734","13,671"
7,만촌3동,"22,921","22,929","22,771","22,737","22,616","22,604","22,626","22,638","22,690","22,769","22,714","22,598"
8,수성1가동,"18,605","18,584","18,504","18,492","18,483","18,492","18,505","18,533","18,517","18,518","18,504","18,494"
9,수성2.3가동,"12,145","12,321","12,316","12,465","12,599","12,616","12,706","12,817","12,838","12,926","13,028","13,148"
10,수성4가동,"17,832","17,861","17,875","17,808","17,789","17,774","17,763","17,651","17,627","17,638","17,689","17,656"
11,황금1동,"26,127","26,174","26,133","26,143","26,158","26,117","26,092","26,160","26,183","26,186","26,138","26,076"
12,황금2동,"13,105","13,124","13,016","13,014","12,980","13,015","13,003","13,053","13,022","13,009","13,006","13,036"
13,중동,"13,656","13,662","13,625","13,708","13,736","13,680","13,651","13,648","13,701","13,703","13,621","13,616"
14,상동,"16,401","16,451","16,496","16,457","16,496","16,465","16,473","16,465","16,482","16,552","16,613","16,721"
15,파동,"13,869","13,833","13,833","13,789","13,782","13,762","13,739","13,700","13,670","13,641","13,582","13,536"
16,두산동,"12,137","12,228","12,307","12,426","12,590","12,656","12,738","12,856","12,927","13,032","13,159","13,335"
17,지산1동,"26,992","26,993","27,052","26,998","26,883","26,872","26,836","26,833","26,799","26,749","26,667","26,691"
18,지산2동,"24,160","24,136","24,102","24,093","23,981","23,956","23,909","23,913","23,858","23,835","23,801","23,807"
19,범물1동,"15,367","15,308","15,294","15,267","15,233","15,241","15,204","15,165","15,131","15,090","15,083","15,099"
20,범물2동,"19,255","19,251","19,246","19,211","19,219","19,232","19,257","19,204","19,217","19,230","19,256","19,214"
21,고산1동,"36,456","36,555","36,531","36,522","36,489","36,484","36,435","36,448","36,339","36,229","36,183","36,058"
22,고산2동,"30,806","30,767","30,695","30,677","30,680","30,691","30,659","30,611","30,554","30,561","30,478","30,403"
23,고산3동,"36,073","36,116","36,062","36,058","36,106","36,146","36,152","36,111","36,054","35,996","35,985","35,880"
