행정구역,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12
1,동인동,"10,547","10,541","10,478","10,489","10,511","10,481","10,476","10,482","10,490","10,508","10,494","10,474"
2,삼덕동,"4,442","4,439","4,439","4,447","4,461","4,464","4,484","4,515","4,545","4,531","4,507","4,528"
3,성내1동,"4,453","4,512","4,487","4,463","4,454","4,479","4,480","4,464","4,451","4,445","4,469","4,473"
4,성내2동,"5,237","5,226","5,218","5,212","5,196","5,170","5,184","5,155","5,169","5,130","5,071","5,105"
5,성내3동,"3,958","3,940","3,927","3,906","3,907","3,897","3,893","3,891","3,885","3,858","3,864","3,845"
6,대신동,"5,207","5,184","5,169","5,168","5,139","5,110","5,086","5,079","5,065","5,051","5,026","5,013"
7,남산1동,"4,230","4,193","4,180","4,175","4,161","4,156","4,170","4,165","4,166","4,139","4,138","4,144"
8,남산2동,"4,877","4,845","4,832","4,812","4,803","4,810","4,796","4,813","4,812","4,807","4,814","4,775"
9,남산3동,"5,336","5,300","5,290","5,294","5,292","5,287","5,300","5,288","5,296","5,280","5,285","5,261"
10,남산4동,"14,696","14,648","14,578","14,555","14,528","14,523","14,501","14,493","14,504","14,481","14,421","14,435"
11,대봉1동,"7,645","7,652","7,697","7,699","7,692","7,684","7,660","7,622","7,625","7,635","7,640","7,642"
12,대봉2동,"4,191","4,166","4,130","4,147","4,141","4,155","4,167","4,164","4,134","4,123","4,137","4,140"
