행정구역,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12
1,신암1동,"13,122","13,070","13,062","13,048","13,011","12,973","12,910","12,884","12,867","12,823","12,797","12,748"
2,신암2동,"10,812","10,799","10,795","10,769","10,739","10,721","10,708","11,119","11,837","12,326","12,510","12,643"
3,신암3동,"9,884","9,824","9,799","9,813","9,793","9,785","9,756","9,770","9,689","9,668","9,677","9,646"
4,신암4동,"18,813","18,806","18,847","18,825","18,809","18,735","18,705","18,715","18,652","18,561","18,486","18,371"
5,신암5동,"8,929","8,933","8,871","8,874","8,893","8,883","8,857","8,840","8,811","8,781","8,737","8,731"
6,신천1.2동,"14,928","14,914","14,910","14,846","14,831","14,826","14,792","14,735","14,734","14,743","14,720","14,741"
7,신천3동,"12,914","12,910","12,947","12,991","12,997","12,977","12,960","12,944","12,989","12,989","12,968","12,968"
8,신천4동,"9,451","9,425","9,459","9,451","9,452","9,428","9,422","9,401","9,402","9,337","9,280","9,257"
9,효목1동,"16,301","16,268","16,290","16,262","16,257","16,251","16,234","16,198","16,186","16,168","16,112","16,075"
10,효목2동,"17,384","17,352","17,297","17,298","17,275","17,232","17,193","17,192","17,136","17,129","17,104","17,057"
11,도평동,"5,359","5,295","5,247","5,254","5,287","5,273","5,285","5,275","5,309","5,358","5,386","5,356"
12,불로.봉무동,"15,571","15,639","15,697","15,680","15,673","16,421","17,259","17,538","17,657","17,746","17,727","17,832"
13,지저동,"11,609","11,610","11,602","11,626","11,644","11,632","11,576","11,552","11,542","11,501","11,485","11,408"
14,동촌동,"14,142","14,142","14,094","14,102","14,149","14,140","14,111","14,133","14,128","14,110","14,069","14,055"
15,방촌동,"21,309","21,308","21,299","21,319","21,316","21,267","21,236","21,196","21,179","21,119","21,178","21,180"
16,해안동,"18,465","18,359","18,360","18,393","18,303","18,328","18,287","18,235","18,238","18,232","18,253","18,201"
17,안심1동,"43,272","43,399","43,427","43,506","43,536","43,509","43,558","43,501","43,503","43,545","43,588","43,540"
18,안심2동,"10,832","10,823","10,788","10,815","10,805","10,781","10,722","10,672","10,669","10,622","10,607","10,585"
19,안심3.4동,"49,457","49,533","49,636","49,680","49,658","49,697","49,772","49,795","49,822","49,811","49,933","49,997"
20,공산동,"16,280","16,321","16,267","16,269","16,278","16,197","16,128","16,208","16,218","16,248","16,250","16,247"
