행정구역,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12
1,고성동,"6,902","6,889","6,893","6,877","6,866","6,846","6,831","6,774","6,770","6,727","6,708","6,693"
2,칠성동,"20,273","20,329","20,322","20,382","20,404","20,392","20,389","20,395","20,361","20,303","20,283","20,281"
3,침산1동,"5,680","5,658","5,636","5,639","5,614","5,591","5,593","5,585","5,572","5,525","5,477","5,441"
4,침산2동,"17,033","17,068","17,042","17,040","16,954","16,889","16,869","16,834","16,821","16,684","16,641","16,634"
5,침산3동,"20,625","20,637","20,675","20,674","20,694","20,661","20,666","20,654","20,650","21,426","21,895","22,083"
6,산격1동,"12,334","12,275","12,231","12,233","12,201","12,190","12,183","12,174","12,156","12,145","12,095","12,060"
7,산격2동,"13,448","13,449","13,451","13,459","13,453","13,396","13,366","13,335","13,316","13,302","13,293","13,261"
8,산격3동,"9,951","10,001","9,998","10,007","9,978","9,940","9,878","9,822","9,842","9,735","9,722","9,680"
9,산격4동,"10,305","10,290","10,253","10,252","10,269","10,222","10,234","10,217","10,178","10,145","10,133","10,095"
10,대현동,"17,608","17,620","17,687","17,763","17,849","17,942","17,996","17,958","17,875","17,842","17,795","17,792"
11,복현1동,"7,463","7,491","7,537","7,550","7,546","7,525","7,501","7,443","7,441","7,439","7,396","7,407"
12,복현2동,"28,826","28,802","28,808","28,807","28,773","28,678","28,620","28,623","28,665","28,662","28,650","28,609"
13,검단동,"8,894","8,862","8,830","8,810","8,769","8,751","8,733","8,736","8,706","8,690","8,659","8,644"
14,무태조야동,"31,911","31,868","31,880","31,841","31,783","31,681","31,575","31,473","31,438","31,426","31,397","31,358"
15,관문동,"18,049","17,985","18,013","18,008","17,974","17,965","17,962","17,951","17,956","17,923","17,895","17,903"
16,태전1동,"23,857","23,802","23,834","23,815","23,812","23,792","23,773","23,729","23,722","23,660","23,647","23,567"
17,태전2동,"26,164","26,188","26,130","26,044","25,999","25,912","25,853","25,886","25,780","25,807","25,871","25,794"
18,구암동,"42,437","42,381","42,334","42,344","42,290","42,222","42,127","42,170","42,218","42,105","42,068","41,903"
19,관음동,"21,799","21,762","21,739","21,707","21,681","21,600","21,591","21,579","21,572","21,536","21,518","21,487"
20,읍내동,"29,938","29,966","29,974","30,036","29,987","29,932","29,834","29,776","29,736","29,708","29,587","29,551"
21,동천동,"32,892","32,912","32,916","32,822","32,797","32,734","32,759","32,722","32,736","32,678","32,646","32,574"
22,노원동,"11,951","11,920","11,846","11,853","11,832","11,817","11,799","11,779","11,746","11,702","11,677","11,638"
23,국우동,"26,898","26,857","26,937","26,965","26,982","26,981","26,954","26,941","26,908","26,910","26,909","26,895"
