행정구역,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12
1,성당동,"26,645","26,591","26,496","26,496","26,456","26,390","26,332","26,278","26,316","26,300","26,266","26,195"
2,두류1.2동,"17,764","17,724","17,723","17,692","17,669","17,664","17,657","17,639","17,658","17,550","17,511","17,482"
3,두류3동,"10,618","10,605","10,596","10,579","10,588","10,594","10,590","10,596","10,573","10,531","10,555","10,541"
4,감삼동,"29,646","29,656","29,715","29,710","29,666","29,618","29,562","29,582","29,552","29,468","29,480","29,411"
5,죽전동,"16,810","16,784","16,771","16,682","16,629","16,554","16,540","16,534","16,529","16,471","16,497","16,479"
6,장기동,"18,469","18,442","18,386","18,314","18,239","18,238","18,220","18,078","17,981","17,940","17,874","17,853"
7,용산1동,"35,393","35,375","35,395","35,407","35,308","35,235","35,217","35,220","35,145","35,166","35,098","35,107"
8,용산2동,"33,697","33,662","33,561","33,546","33,513","33,458","33,463","33,488","33,464","33,382","33,366","33,336"
9,이곡1동,"26,881","26,797","26,753","26,784","26,708","26,662","26,543","26,459","26,474","26,441","26,413","26,358"
10,이곡2동,"19,047","19,031","18,973","18,941","18,922","18,906","18,872","18,882","18,902","18,858","18,811","18,791"
11,신당동,"36,798","36,649","36,625","36,467","36,472","36,379","36,431","36,372","36,302","36,242","36,192","36,079"
12,본리동,"24,740","24,605","24,534","24,500","24,498","24,484","24,509","24,606","24,554","24,556","24,554","24,431"
13,월성1동,"42,392","42,472","42,473","42,417","42,494","42,486","42,546","42,507","42,502","42,563","42,564","42,433"
14,월성2동,"19,752","19,653","19,566","19,529","19,451","19,431","19,417","19,381","19,339","19,322","19,268","19,195"
15,진천동,"61,219","63,246","63,899","64,117","64,212","64,138","64,245","64,294","64,370","64,318","64,283","64,244"
16,상인1동,"44,434","44,192","44,046","44,035","44,029","44,042","44,065","44,049","44,051","44,001","43,936","43,836"
17,상인2동,"23,949","23,826","23,686","23,571","23,558","23,542","23,539","23,617","23,625","23,651","23,610","23,500"
18,상인3동,"14,332","14,278","14,194","14,132","14,068","13,992","13,958","13,909","13,894","13,849","13,811","13,730"
19,도원동,"40,784","41,220","41,666","41,738","41,742","41,773","41,721","41,722","41,713","41,667","41,608","41,479"
20,송현1동,"22,654","22,609","22,605","22,522","22,470","22,425","22,356","22,343","22,308","22,345","22,271","22,239"
21,송현2동,"22,111","22,032","21,991","22,012","21,973","21,939","21,951","21,906","21,862","21,821","21,793","21,689"
22,본동,"15,468","15,408","15,374","15,368","15,387","15,340","15,331","15,306","15,315","15,269","15,243","15,224"
