행정구역,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
1,이천동,"13,378","13,358","13,339","13,327","13,249","13,195","13,103","13,043","12,987","12,906","12,857","12,750"
2,봉덕1동,"9,169","9,161","9,168","9,163","9,188","9,175","9,210","9,204","9,159","9,130","9,124","9,111"
3,봉덕2동,"10,586","10,521","10,467","10,433","10,411","10,423","10,377","10,441","10,657","10,734","10,761","10,785"
4,봉덕3동,"16,000","15,993","15,948","15,958","15,958","15,934","15,911","15,930","15,934","16,139","16,457","16,695"
5,대명1동,"11,727","11,689","11,655","11,622","11,611","11,619","11,603","11,602","11,641","11,629","11,601","11,598"
6,대명2동,"11,630","11,626","11,593","11,564","11,565","11,548","11,546","11,518","11,476","11,462","11,361","11,320"
7,대명3동,"12,597","12,515","12,450","12,347","12,081","11,770","11,564","11,469","11,400","11,304","11,186","11,109"
8,대명4동,"11,190","11,202","11,216","11,236","11,306","11,341","11,356","11,336","11,353","11,323","11,299","11,249"
9,대명5동,"8,068","8,125","8,088","8,075","8,100","8,175","8,175","8,181","8,151","8,140","8,115","8,090"
10,대명6동,"10,101","9,872","9,670","9,617","9,617","9,645","9,598","9,616","9,555","9,554","9,560","9,584"
11,대명9동,"15,521","15,516","15,591","15,637","15,648","15,651","15,702","15,705","15,717","15,734","15,717","15,702"
12,대명10동,"9,332","9,333","9,387","9,394","9,382","9,359","9,352","9,316","9,297","9,297","9,316","9,306"
13,대명11동,"8,579","8,539","8,565","8,586","8,566","8,535","8,531","8,556","8,529","8,483","8,508","8,480"
