행정구역,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
1,신암1동,"7,925","7,847","7,822","7,815","7,788","7,790","7,670","7,668","7,649","7,606","7,590","7,564"
2,신암2동,"11,447","11,376","11,280","11,083","10,916","10,784","10,729","10,693","10,681","10,619","10,607","10,564"
3,신암3동,"8,835","8,813","8,783","8,797","8,769","8,750","8,770","8,706","8,654","8,713","9,341","9,657"
4,신암4동,"13,691","13,519","13,324","13,244","13,159","13,094","13,130","13,060","13,007","12,895","12,816","12,768"
5,신암5동,"6,647","6,603","6,600","6,585","6,567","6,544","6,522","6,531","6,513","6,495","6,497","6,486"
6,신천1.2동,"13,533","13,510","13,453","13,434","13,440","13,408","13,362","13,337","13,322","13,249","13,198","13,120"
7,신천3동,"12,612","12,588","12,604","12,553","12,467","12,453","12,421","12,451","12,424","12,395","12,314","12,300"
8,신천4동,"7,605","7,568","7,597","7,618","7,604","7,512","7,477","7,437","7,413","7,419","7,410","7,393"
9,효목1동,"14,278","14,219","14,227","14,199","14,150","14,137","14,080","14,013","14,010","13,985","13,981","13,949"
10,효목2동,"15,078","15,024","15,003","14,996","14,955","14,918","14,845","14,747","14,555","14,291","14,065","13,883"
11,도평동,"4,233","4,221","4,225","4,234","4,203","4,184","4,176","4,164","4,152","4,148","4,156","4,150"
12,불로.봉무동,"26,964","26,882","26,855","26,811","26,680","26,573","21,839","21,743","21,738","21,677","21,675","21,592"
13,지저동,"10,277","10,247","10,214","10,167","10,134","10,099","14,930","14,932","14,893","14,862","14,810","14,792"
14,동촌동,"16,133","16,079","16,088","16,098","16,075","16,066","15,851","15,835","15,819","15,788","15,751","15,781"
15,방촌동,"18,772","18,707","18,669","18,600","18,537","18,451","18,418","18,363","18,283","18,260","18,205","18,182"
16,해안동,"15,498","15,440","15,424","15,363","15,331","15,260","15,203","15,184","15,146","15,109","15,118","15,052"
17,안심1동,"44,045","44,058","44,103","43,989","43,939","43,779","43,727","43,695","43,617","43,520","43,420","43,230"
18,안심2동,"10,396","10,346","10,298","10,265","10,278","10,743","11,143","11,265","11,309","11,347","11,286","11,281"
19,안심3동,0,0,0,0,0,0,"21,450","21,443","21,388","21,379","21,380","21,337"
20,안심3.4동,"69,135","69,040","69,150","69,421","69,537","69,573",0,0,0,0,0,0
21,안심4동,0,0,0,0,0,0,"29,515","29,515","29,453","29,409","29,367","29,277"
22,혁신동,0,0,0,0,0,0,"18,779","18,845","18,859","18,846","18,821","18,863"
23,공산동,"14,773","14,716","15,199","15,351","15,483","15,623","15,730","16,819","17,493","17,699","17,777","17,845"
