행정구역,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12
1,성당동,"23,894","23,794","23,672","23,598","23,541","23,492","23,403","23,376","23,308","23,292","23,221","23,131"
2,두류1.2동,"14,406","14,399","14,382","14,321","14,325","14,301","14,331","14,281","14,311","14,281","14,273","14,261"
3,두류3동,"8,464","8,434","8,377","8,359","8,333","8,318","8,338","8,339","8,312","8,268","8,263","8,211"
4,감삼동,"27,431","27,306","27,107","27,036","27,043","27,067","27,016","26,969","26,922","26,849","26,801","26,600"
5,죽전동,"13,877","13,812","13,743","13,711","13,679","13,649","13,669","13,662","13,629","13,608","13,532","13,529"
6,장기동,"17,546","17,494","17,493","17,440","17,409","17,386","17,320","17,281","17,267","17,198","17,153","17,100"
7,용산1동,"31,622","31,505","31,400","31,355","31,241","31,209","31,168","31,134","31,125","31,059","31,028","30,871"
8,용산2동,"29,372","29,297","29,235","29,144","29,114","29,065","29,031","29,046","29,000","28,923","28,875","28,773"
9,이곡1동,"23,530","23,486","23,382","23,325","23,274","23,253","23,237","23,217","23,162","23,138","23,114","23,014"
10,이곡2동,"16,678","16,692","16,676","16,608","16,603","16,559","16,556","16,517","16,486","16,450","16,449","16,434"
11,신당동,"31,686","31,715","31,840","31,846","31,885","31,865","31,837","31,779","31,863","31,769","31,684","31,525"
12,본리동,"21,937","21,917","21,847","21,783","21,765","21,726","21,669","21,572","21,508","21,373","21,151","20,866"
13,월성1동,"43,675","43,646","43,555","43,511","43,462","43,450","43,397","43,366","43,340","43,306","37,569","37,326"
14,월성2동,"16,330","16,281","16,255","16,210","16,182","16,142","16,122","16,047","16,047","16,001","15,923","15,871"
15,진천동,"76,678","76,405","76,349","76,305","76,279","76,306","76,243","76,258","76,226","76,172","51,758","51,502"
16,유천동,0,0,0,0,0,0,0,0,0,0,"30,194","31,780"
17,상인1동,"39,059","38,857","38,659","38,483","38,300","38,089","37,845","37,462","37,205","36,900","36,518","36,158"
18,상인2동,"20,107","20,039","20,003","19,962","19,983","20,023","20,004","20,024","20,004","19,975","19,894","19,725"
19,상인3동,"11,352","11,325","11,251","11,212","11,242","11,193","11,174","11,126","11,107","11,084","11,113","11,101"
20,도원동,"36,290","36,170","36,097","36,057","35,980","35,922","35,871","35,783","35,777","35,696","35,610","35,499"
21,송현1동,"19,575","19,528","19,495","19,440","19,361","19,368","19,382","19,356","19,320","19,290","19,271","19,249"
22,송현2동,"18,299","18,294","18,287","18,257","18,244","18,222","18,204","18,205","18,181","18,180","18,107","18,040"
23,본동,"12,942","12,901","12,886","12,839","12,795","12,756","12,680","12,569","12,504","12,461","12,413","12,300"
