행정구역,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12
1,내당1동,"8,544","8,507","8,503","8,496","8,448","8,436","8,420","8,423","8,408","8,393","8,388","8,344"
2,내당2.3동,"10,024","10,032","9,969","9,935","9,929","9,910","9,876","9,846","9,845","9,811","9,743","9,700"
3,내당4동,"16,808","16,808","16,757","16,722","16,717","16,701","16,659","16,652","16,622","16,618","16,557","16,534"
4,비산1동,"9,667","9,678","9,663","9,660","9,659","9,659","9,660","9,682","9,686","9,680","9,676","9,669"
5,비산2.3동,"9,442","9,441","9,405","9,374","9,354","9,324","9,310","9,287","9,293","9,232","9,213","9,191"
6,비산4동,"9,859","9,815","9,819","9,814","9,797","9,775","9,763","9,762","9,720","9,702","9,708","9,698"
7,비산5동,"6,298","6,286","6,239","6,216","6,192","6,143","6,121","6,107","6,102","6,091","6,062","6,026"
8,비산6동,"7,784","7,775","7,769","7,740","7,726","7,717","7,709","7,685","7,665","7,666","7,626","7,606"
9,비산7동,"10,937","10,890","10,824","10,732","10,649","10,534","10,383","10,203","10,104","10,054","9,991","9,929"
10,평리1동,"7,887","7,877","7,860","7,842","7,866","7,848","7,837","7,841","7,840","7,836","7,804","7,760"
11,평리2동,"8,090","8,050","8,024","8,026","8,015","7,980","7,958","7,976","7,967","7,970","7,976","7,981"
12,평리3동,"9,965","9,921","9,945","9,916","9,921","9,915","9,898","9,920","9,892","9,870","9,855","9,833"
13,평리4동,"18,159","18,131","18,098","18,046","18,029","18,024","18,011","18,009","17,997","17,961","17,966","17,903"
14,평리5동,"1,755","1,751","1,737","1,748","1,727","1,721","1,717","1,718","1,720","1,707","1,702","1,693"
15,평리6동,"5,165","5,158","5,115","5,090","5,064","5,029","4,967","4,807","4,607","4,338","4,062","3,889"
16,상중이동,"20,323","20,247","20,144","20,141","20,118","20,076","20,070","20,056","20,038","20,053","20,002","19,943"
17,원대동,"7,779","7,741","7,726","7,700","7,683","7,657","7,603","7,598","7,595","7,565","7,575","7,538"
