행정구역,2022-1,2022-2,2022-3,2022-4
1,성당동,"23,092","22,995","22,916","22,782"
2,두류1.2동,"14,266","14,272","14,219","14,132"
3,두류3동,"8,193","8,166","8,131","8,083"
4,감삼동,"26,440","26,220","26,022","25,828"
5,죽전동,"13,494","13,471","13,455","13,380"
6,장기동,"17,070","17,056","17,009","16,964"
7,용산1동,"30,837","30,772","30,595","30,566"
8,용산2동,"28,737","28,632","28,556","28,475"
9,이곡1동,"22,974","22,892","22,827","22,787"
10,이곡2동,"16,427","16,383","16,284","16,204"
11,신당동,"31,426","31,425","31,830","31,751"
12,본리동,"20,651","20,447","20,342","20,263"
13,월성1동,"37,186","37,109","37,011","36,967"
14,월성2동,"15,819","15,783","15,707","15,657"
15,진천동,"51,348","51,254","51,098","50,949"
16,유천동,"32,710","33,277","33,443","33,505"
17,상인1동,"36,041","35,903","35,838","35,647"
18,상인2동,"19,668","19,631","19,537","19,521"
19,상인3동,"11,049","11,038","11,018","10,979"
20,도원동,"35,413","35,316","35,162","35,054"
21,송현1동,"19,244","19,229","19,207","19,177"
22,송현2동,"17,985","17,957","17,914","17,854"
23,본동,"12,225","12,174","12,150","12,118"
