행정구역,2022-1,2022-2,2022-3,2022-4
1,신암1동,"8,668","8,806","8,866","8,901"
2,신암2동,"10,313","10,270","10,259","10,237"
3,신암3동,"11,593","11,668","11,611","11,527"
4,신암4동,"11,263","11,221","11,218","11,190"
5,신암5동,"6,261","6,229","6,236","6,207"
6,신천1.2동,"12,846","12,820","12,777","12,722"
7,신천3동,"11,630","11,565","11,534","11,749"
8,신천4동,"7,940","8,211","8,268","8,318"
9,효목1동,"13,578","13,536","13,490","13,433"
10,효목2동,"13,121","13,098","13,070","13,043"
11,도평동,"3,965","3,982","3,980","3,973"
12,불로.봉무동,"21,225","21,157","21,146","21,073"
13,지저동,"14,378","14,389","14,360","14,316"
14,동촌동,"15,488","15,506","15,496","15,497"
15,방촌동,"18,715","18,699","18,689","18,657"
16,해안동,"15,043","15,080","15,040","15,025"
17,안심1동,"42,020","41,876","41,834","41,758"
18,안심2동,"10,960","10,939","10,929","10,932"
19,안심3동,"21,711","21,869","21,936","21,941"
20,안심4동,"28,836","28,789","28,707","28,605"
21,혁신동,"18,667","18,541","18,594","18,616"
22,공산동,"21,639","21,641","21,622","21,578"
