행정구역,2022-1,2022-2,2022-3,2022-4
1,고성동,"4,839","4,830","4,839","4,816"
2,칠성동,"23,413","23,336","23,309","23,218"
3,침산1동,"4,058","4,065","4,051","4,031"
4,침산2동,"18,676","18,570","18,527","18,473"
5,침산3동,"19,784","19,725","19,695","19,632"
6,산격1동,"9,124","9,115","9,062","9,019"
7,산격2동,"10,750","10,702","10,688","10,674"
8,산격3동,"8,881","8,863","9,344","9,407"
9,산격4동,"8,352","8,337","8,294","8,265"
10,대현동,"17,498","17,436","17,513","17,350"
11,복현1동,"7,438","7,470","7,713","7,702"
12,복현2동,"30,700","30,837","31,032","30,960"
13,검단동,"6,429","6,394","6,372","6,355"
14,무태조야동,"36,344","36,279","36,248","36,122"
15,관문동,"36,466","36,441","36,383","36,340"
16,태전1동,"21,904","21,912","22,186","22,202"
17,태전2동,"24,350","24,277","24,251","24,227"
18,구암동,"34,872","34,802","34,720","34,615"
19,관음동,"16,371","16,311","16,286","16,261"
20,읍내동,"26,797","26,706","26,581","26,502"
21,동천동,"27,789","27,703","27,640","27,558"
22,노원동,"11,439","11,413","11,349","11,299"
23,국우동,"29,125","29,474","29,593","29,745"
